task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1703820383.352404,1703820385.3880982,2.035694122314453,2,19330025472,13755573760
ForwardPass,1703820385.3883886,1703820386.317727,0.9293384552001953,2,19330025472,15048110592
SendActivation,1703820386.318113,1703820386.3421695,0.024056434631347656,2,19330025472,15048110592
RecvActivation,1703820386.3424408,1703820386.3543913,0.011950492858886719,2,19330025472,15233121792
ForwardPass,1703820386.354647,1703820386.636675,0.2820279598236084,2,19330025472,16524511744
RecvGrad,1703820386.6369472,1703820388.2204711,1.5835239887237549,2,19330025472,16709290496
SendActivation,1703820388.2208602,1703820388.2336845,0.012824296951293945,2,19330025472,16709290496
BackwardPass,1703820388.2339497,1703820389.0387084,0.8047587871551514,2,23841480704,17088230912
SendGrad,1703820389.039038,1703820389.0497851,0.010747194290161133,2,23841480704,16718440960
RecvActivation,1703820389.0501494,1703820389.0631053,0.012955904006958008,2,23841480704,16903681536
ForwardPass,1703820389.0633366,1703820389.3464503,0.2831137180328369,2,23841480704,18196447744
RecvGrad,1703820389.3467464,1703820389.4444935,0.0977470874786377,2,23841480704,18196447744
SendActivation,1703820389.4447374,1703820389.4577324,0.012995004653930664,2,23841480704,18196447744
BackwardPass,1703820389.4579673,1703820390.2581701,0.8002028465270996,2,23841480704,17089377792
SendGrad,1703820390.2585094,1703820390.3709664,0.1124570369720459,2,23841480704,16720046592
RecvActivation,1703820390.3712254,1703820390.383329,0.012103557586669922,2,23841480704,16905057792
ForwardPass,1703820390.3837576,1703820390.665492,0.2817344665527344,2,23841480704,18196447744
RecvGrad,1703820390.6657639,1703820390.6780264,0.012262582778930664,2,23841480704,18196447744
SendActivation,1703820390.6782575,1703820390.69104,0.012782573699951172,2,23841480704,18196447744
BackwardPass,1703820390.6912746,1703820391.49497,0.8036954402923584,2,23841480704,17088460288
SendGrad,1703820391.495284,1703820391.5059302,0.01064610481262207,2,23841480704,16718899712
RecvGrad,1703820391.5061743,1703820391.9064615,0.4002871513366699,2,23841480704,16718899712
BackwardPass,1703820391.9068103,1703820392.7092774,0.8024671077728271,2,23841480704,15611600384
SendGrad,1703820392.7096126,1703820392.7201753,0.010562658309936523,2,23841480704,15242039808
ReduceTiedGrads,1703820392.7204285,1703820392.7204623,3.3855438232421875e-05,2,23841480704,15242039808
ReduceGrads,1703820392.7304075,1703820392.7395067,0.009099245071411133,2,23841480704,15242039808
OptimizerStep,1703820392.7397401,1703820394.674692,1.9349517822265625,2,23841480704,15242039808
RecvActivation,1703820395.024704,1703820395.7102616,0.6855576038360596,2,23841480704,15429816320
ForwardPass,1703820395.710524,1703820395.990838,0.28031396865844727,2,23841480704,16721435648
SendActivation,1703820395.991125,1703820396.004186,0.013060808181762695,2,23841480704,16721435648
RecvActivation,1703820396.004435,1703820396.068245,0.06380987167358398,2,23841480704,16906446848
ForwardPass,1703820396.068479,1703820396.3512456,0.28276658058166504,2,23841480704,18197378048
RecvGrad,1703820396.3515372,1703820397.2163665,0.8648293018341064,2,23841480704,18197378048
SendActivation,1703820397.2166967,1703820397.2295372,0.012840509414672852,2,23841480704,18197378048
BackwardPass,1703820397.2297761,1703820398.0293367,0.799560546875,2,23843082752,17090308096
SendGrad,1703820398.029945,1703820398.040451,0.010506153106689453,2,23843082752,16720747520
RecvActivation,1703820398.0406756,1703820398.0537455,0.013069868087768555,2,23843082752,16905758720
ForwardPass,1703820398.0539691,1703820398.3364995,0.2825303077697754,2,23843082752,18197836800
RecvGrad,1703820398.3367767,1703820398.4430082,0.1062314510345459,2,23843082752,18197836800
SendActivation,1703820398.4432456,1703820398.4557557,0.012510061264038086,2,23843082752,18197836800
BackwardPass,1703820398.4559906,1703820399.2564886,0.8004980087280273,2,23844229632,17091225600
SendGrad,1703820399.2568712,1703820399.3611336,0.1042623519897461,2,23844229632,16721894400
RecvActivation,1703820399.3613935,1703820399.3736825,0.012289047241210938,2,23844229632,16906905600
ForwardPass,1703820399.3739278,1703820399.6552942,0.28136634826660156,2,23844229632,18198754304
RecvGrad,1703820399.65559,1703820399.668823,0.013232946395874023,2,23844229632,18198754304
SendActivation,1703820399.6690772,1703820399.6816206,0.012543439865112305,2,23844229632,18198754304
BackwardPass,1703820399.6821723,1703820400.484283,0.8021106719970703,2,23844475392,17091684352
SendGrad,1703820400.4845939,1703820400.4951682,0.0105743408203125,2,23844475392,16722123776
RecvGrad,1703820400.495413,1703820400.8966675,0.40125441551208496,2,23844475392,16722123776
BackwardPass,1703820400.8969836,1703820401.696284,0.7993004322052002,2,23844475392,15615873024
SendGrad,1703820401.696619,1703820401.7070713,0.0104522705078125,2,23844475392,15246312448
ReduceTiedGrads,1703820401.7073228,1703820401.7073565,3.361701965332031e-05,2,23844475392,15246312448
ReduceGrads,1703820401.7075787,1703820401.7151735,0.0075948238372802734,2,23844475392,15246312448
OptimizerStep,1703820401.7153928,1703820403.6595879,1.944195032119751,2,23844475392,15246312448
RecvActivation,1703820403.7054772,1703820404.394506,0.6890287399291992,2,23844475392,15431323648
ForwardPass,1703820404.3947635,1703820404.6769142,0.2821507453918457,2,23844475392,16722484224
SendActivation,1703820404.6772096,1703820404.6905866,0.013376951217651367,2,23844475392,16722484224
RecvActivation,1703820404.6911516,1703820404.7535675,0.06241583824157715,2,23844475392,16907495424
ForwardPass,1703820404.7537928,1703820405.0358877,0.28209495544433594,2,23844475392,18198426624
