task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1703746962.3284667,1703746965.377361,3.0488944053649902,3,36833775104,25872632832
ForwardPass,1703746965.3776631,1703746966.3919847,1.0143215656280518,3,36833775104,27343273984
SendActivation,1703746966.392333,1703746966.4075627,0.01522970199584961,3,36833775104,27343273984
RecvActivation,1703746966.4079041,1703746966.4105449,0.0026407241821289062,3,36833775104,27527312384
ForwardPass,1703746966.4107835,1703746966.7670586,0.3562750816345215,3,36833775104,28995856384
RecvGrad,1703746966.7673376,1703746968.601871,1.834533452987671,3,36833775104,29179357184
SendActivation,1703746968.602201,1703746968.6043758,0.002174854278564453,3,36833775104,29179357184
BackwardPass,1703746968.6047122,1703746969.6312406,1.0265283584594727,3,37297938944,30725583872
SendGrad,1703746969.6315448,1703746969.6321774,0.0006325244903564453,3,37297938944,30356996096
RecvActivation,1703746969.6324077,1703746969.6356487,0.0032410621643066406,3,37297938944,30541034496
ForwardPass,1703746969.635894,1703746969.9939897,0.358095645904541,3,37297938944,32012724224
RecvGrad,1703746969.9942615,1703746969.9951637,0.0009021759033203125,3,37297938944,32012724224
SendActivation,1703746969.9954033,1703746969.9974515,0.0020482540130615234,3,37297938944,32012724224
BackwardPass,1703746969.9976752,1703746971.0281484,1.030473232269287,3,37297938944,30727681024
SendGrad,1703746971.0284336,1703746971.0358524,0.00741887092590332,3,37297938944,30360141824
RecvActivation,1703746971.0360932,1703746971.0389855,0.0028922557830810547,3,37297938944,30544180224
ForwardPass,1703746971.0392158,1703746971.3962235,0.3570077419281006,3,37297938944,32012724224
RecvGrad,1703746971.3964953,1703746971.3973973,0.0009019374847412109,3,37297938944,32012724224
SendActivation,1703746971.3976395,1703746971.400141,0.0025014877319335938,3,37297938944,32012724224
BackwardPass,1703746971.400383,1703746972.4364245,1.036041498184204,3,37297938944,30724535296
SendGrad,1703746972.4461942,1703746972.4470072,0.0008130073547363281,3,37297938944,30356996096
RecvGrad,1703746972.4472587,1703746972.4888694,0.0416107177734375,3,37297938944,30356996096
BackwardPass,1703746972.4890885,1703746973.5222611,1.033172607421875,3,37297938944,29071952896
SendGrad,1703746973.522585,1703746973.523255,0.0006701946258544922,3,37297938944,28704413696
ReduceTiedGrads,1703746973.5235174,1703746973.5235586,4.124641418457031e-05,3,37297938944,28704413696
ReduceGrads,1703746973.5237844,1703746973.5408986,0.01711416244506836,3,37297938944,28704413696
OptimizerStep,1703746973.5411243,1703746976.6080523,3.066927909851074,3,40037881856,28704413696
RecvActivation,1703746977.6158803,1703746978.6528351,1.0369548797607422,3,40037881856,28890603008
ForwardPass,1703746978.653095,1703746979.0104296,0.35733461380004883,3,40037881856,30359147008
SendActivation,1703746979.0107036,1703746979.0129807,0.0022771358489990234,3,40037881856,30359147008
RecvActivation,1703746979.0134852,1703746979.0177367,0.0042514801025390625,3,40037881856,30543185408
ForwardPass,1703746979.017966,1703746979.3768768,0.35891079902648926,3,40037881856,32012777984
RecvGrad,1703746979.3771417,1703746980.1030617,0.7259199619293213,3,40037881856,32012777984
SendActivation,1703746980.1033328,1703746980.1151073,0.011774539947509766,3,40037881856,32012777984
BackwardPass,1703746980.1153324,1703746981.1418962,1.0265638828277588,3,40037881856,30727734784
SendGrad,1703746981.1421971,1703746981.1428177,0.0006206035614013672,3,40037881856,30360195584
RecvActivation,1703746981.1430435,1703746981.1461227,0.0030791759490966797,3,40037881856,30544233984
ForwardPass,1703746981.1463497,1703746981.5046475,0.35829782485961914,3,40037881856,32012777984
RecvGrad,1703746981.5049284,1703746981.5058284,0.0009000301361083984,3,40037881856,32012777984
SendActivation,1703746981.5060546,1703746981.5081267,0.0020720958709716797,3,40037881856,32012777984
BackwardPass,1703746981.5085926,1703746982.5424006,1.0338079929351807,3,40037881856,30726686208
SendGrad,1703746982.5426908,1703746982.5505843,0.007893562316894531,3,40037881856,30359147008
RecvActivation,1703746982.5508094,1703746982.5537267,0.0029172897338867188,3,40037881856,30543185408
ForwardPass,1703746982.5539632,1703746982.9133124,0.35934925079345703,3,40037881856,32011729408
RecvGrad,1703746982.9135911,1703746982.9145014,0.0009102821350097656,3,40037881856,32011729408
SendActivation,1703746982.9147315,1703746982.9168346,0.002103090286254883,3,40037881856,32011729408
BackwardPass,1703746982.9170737,1703746983.9508867,1.0338129997253418,3,40037881856,30726686208
SendGrad,1703746983.9512007,1703746983.951854,0.0006532669067382812,3,40037881856,30359147008
RecvGrad,1703746983.9520907,1703746984.004601,0.05251026153564453,3,40037881856,30359147008
BackwardPass,1703746984.0048246,1703746985.0368261,1.0320014953613281,3,40037881856,29074103808
SendGrad,1703746985.0371099,1703746985.037727,0.0006172657012939453,3,40037881856,28706564608
ReduceTiedGrads,1703746985.0379958,1703746985.038024,2.8133392333984375e-05,3,40037881856,28706564608
ReduceGrads,1703746985.038529,1703746985.0529392,0.014410257339477539,3,40037881856,28706564608
OptimizerStep,1703746985.0531569,1703746988.1230595,3.0699026584625244,3,40040032768,28706564608
RecvActivation,1703746988.1521168,1703746989.1824071,1.0302903652191162,3,40040032768,28890603008
ForwardPass,1703746989.1826499,1703746989.537916,0.35526609420776367,3,40040032768,30359147008
SendActivation,1703746989.5381823,1703746989.5403566,0.00217437744140625,3,40040032768,30359147008
RecvActivation,1703746989.5406032,1703746989.5524755,0.011872291564941406,3,40040032768,30543185408
ForwardPass,1703746989.5527103,1703746989.9088652,0.3561549186706543,3,40040032768,32011729408
RecvGrad,1703746989.909134,1703746990.6222558,0.7131218910217285,3,40040032768,32011729408
SendActivation,1703746990.6225245,1703746990.6245763,0.002051830291748047,3,40040032768,32011729408
BackwardPass,1703746990.6247995,1703746991.6459448,1.0211453437805176,3,40040032768,30726686208
SendGrad,1703746991.646524,1703746991.6471334,0.0006093978881835938,3,40040032768,30359147008
RecvActivation,1703746991.6473486,1703746991.6505697,0.0032210350036621094,3,40040032768,30543185408
ForwardPass,1703746991.6507878,1703746992.0101168,0.3593289852142334,3,40040032768,32011729408
RecvGrad,1703746992.0103772,1703746992.0112796,0.0009024143218994141,3,40040032768,32011729408
SendActivation,1703746992.0115008,1703746992.0134952,0.0019943714141845703,3,40040032768,32011729408
BackwardPass,1703746992.013721,1703746993.0457895,1.0320684909820557,3,40040032768,30726686208
SendGrad,1703746993.046084,1703746993.0495865,0.0035026073455810547,3,40040032768,30359147008
RecvActivation,1703746993.0498142,1703746993.0527873,0.0029730796813964844,3,40040032768,30543185408
ForwardPass,1703746993.0530124,1703746993.411631,0.35861873626708984,3,40040032768,32011729408
RecvGrad,1703746993.411885,1703746993.412791,0.0009059906005859375,3,40040032768,32011729408
SendActivation,1703746993.4130244,1703746993.4152114,0.002187013626098633,3,40040032768,32011729408
BackwardPass,1703746993.4156928,1703746994.4469001,1.0312073230743408,3,40040032768,30726686208
SendGrad,1703746994.447224,1703746994.4478676,0.0006437301635742188,3,40040032768,30359147008
RecvGrad,1703746994.4481158,1703746994.504913,0.05679726600646973,3,40040032768,30359147008
BackwardPass,1703746994.5051436,1703746995.535591,1.030447244644165,3,40040032768,29074103808
SendGrad,1703746995.5358834,1703746995.5365016,0.0006182193756103516,3,40040032768,28706564608
ReduceTiedGrads,1703746995.536756,1703746995.53678,2.4080276489257812e-05,3,40040032768,28706564608
ReduceGrads,1703746995.537005,1703746995.55141,0.014405012130737305,3,40040032768,28706564608
OptimizerStep,1703746995.5516412,1703746998.6130953,3.0614540576934814,3,40040032768,28706564608
RecvActivation,1703746998.643128,1703746999.6738358,1.030707836151123,3,40040032768,28890603008
ForwardPass,1703746999.6740842,1703747000.0294597,0.3553755283355713,3,40040032768,30359147008
SendActivation,1703747000.029808,1703747000.032171,0.002362966537475586,3,40040032768,30359147008
RecvActivation,1703747000.0327535,1703747000.0430558,0.010302305221557617,3,40040032768,30543185408
ForwardPass,1703747000.0432844,1703747000.4024763,0.35919189453125,3,40040032768,32011729408
RecvGrad,1703747000.4027371,1703747001.1167555,0.7140183448791504,3,40040032768,32011729408
SendActivation,1703747001.1170654,1703747001.1191943,0.0021288394927978516,3,40040032768,32011729408
BackwardPass,1703747001.1194222,1703747002.1467674,1.0273451805114746,3,40040032768,30727734784
SendGrad,1703747002.1470726,1703747002.1476972,0.0006246566772460938,3,40040032768,30359147008
RecvActivation,1703747002.1479223,1703747002.1511688,0.0032465457916259766,3,40040032768,30543185408
ForwardPass,1703747002.1514013,1703747002.5099428,0.35854148864746094,3,40040032768,32012777984
RecvGrad,1703747002.5101972,1703747002.5110967,0.0008995532989501953,3,40040032768,32012777984
SendActivation,1703747002.5113165,1703747002.513274,0.001957416534423828,3,40040032768,32012777984
BackwardPass,1703747002.5135357,1703747003.543634,1.0300981998443604,3,40040032768,30727734784
SendGrad,1703747003.5442438,1703747003.554264,0.010020256042480469,3,40040032768,30360195584
RecvActivation,1703747003.554485,1703747003.5573988,0.0029137134552001953,3,40040032768,30544233984
ForwardPass,1703747003.5576222,1703747003.9165473,0.35892510414123535,3,40040032768,32012777984
RecvGrad,1703747003.9168098,1703747003.9177232,0.0009133815765380859,3,40040032768,32012777984
SendActivation,1703747003.917945,1703747003.919969,0.0020241737365722656,3,40040032768,32012777984
RecvActivation,1703746962.3707268,1703746964.3481195,1.9773926734924316,2,36833775104,25872632832
ForwardPass,1703746964.3484123,1703746965.3600826,1.0116703510284424,2,36833775104,27343273984
SendActivation,1703746965.3604147,1703746965.3768008,0.016386032104492188,2,36833775104,27343273984
RecvActivation,1703746965.3771317,1703746965.379781,0.0026493072509765625,2,36833775104,27527312384
ForwardPass,1703746965.3800223,1703746965.738498,0.3584756851196289,2,36833775104,28995856384
SendActivation,1703746965.7387667,1703746966.409984,0.6712174415588379,2,36833775104,28995856384
RecvActivation,1703746966.4102848,1703746966.4129057,0.0026209354400634766,2,36833775104,29179894784
ForwardPass,1703746966.4132226,1703746966.772853,0.3596303462982178,2,36833775104,30648438784
RecvGrad,1703746966.7731225,1703746969.632652,2.859529495239258,2,36833775104,30831939584
SendActivation,1703746969.6329494,1703746969.6350882,0.002138853073120117,2,36833775104,30831939584
BackwardPass,1703746969.6353312,1703746970.6696932,1.0343620777130127,2,38950521344,32378166272
SendGrad,1703746970.6700172,1703746970.6706393,0.0006220340728759766,2,38950521344,32009578496
RecvActivation,1703746970.6709957,1703746970.6745226,0.003526926040649414,2,38950521344,32193616896
ForwardPass,1703746970.674749,1703746971.035025,0.3602759838104248,2,38950521344,33662160896
RecvGrad,1703746971.035285,1703746971.03619,0.0009050369262695312,2,38950521344,33662160896
SendActivation,1703746971.0364077,1703746971.038427,0.0020194053649902344,2,38950521344,33662160896
BackwardPass,1703746971.0386593,1703746972.0769851,1.0383257865905762,2,38950521344,32377117696
SendGrad,1703746972.077278,1703746972.07794,0.0006620883941650391,2,38950521344,32009578496
RecvGrad,1703746972.0782073,1703746972.4474227,0.3692154884338379,2,38950521344,32009578496
BackwardPass,1703746972.4571059,1703746973.4918547,1.0347487926483154,2,38950521344,30724535296
SendGrad,1703746973.492126,1703746973.4928339,0.0007078647613525391,2,38950521344,30356996096
RecvGrad,1703746973.4930668,1703746973.5235925,0.030525684356689453,2,38950521344,30356996096
BackwardPass,1703746973.5238137,1703746974.5620127,1.0381989479064941,2,38950521344,29071952896
SendGrad,1703746974.5622811,1703746974.5629423,0.0006611347198486328,2,38950521344,28704413696
ReduceTiedGrads,1703746974.5631835,1703746974.5632226,3.910064697265625e-05,2,38950521344,28704413696
ReduceGrads,1703746974.5634296,1703746974.5804522,0.01702260971069336,2,38950521344,28704413696
OptimizerStep,1703746974.5806906,1703746976.608068,2.0273773670196533,2,40037881856,28704413696
RecvActivation,1703746977.6174018,1703746978.2908685,0.673466682434082,2,40037881856,28890603008
ForwardPass,1703746978.2911186,1703746978.6495593,0.358440637588501,2,40037881856,30360195584
SendActivation,1703746978.6500807,1703746978.6522744,0.0021936893463134766,2,40037881856,30360195584
RecvActivation,1703746978.6525142,1703746978.657019,0.004504680633544922,2,40037881856,30544233984
ForwardPass,1703746978.6572442,1703746979.0148401,0.35759592056274414,2,40037881856,32012777984
SendActivation,1703746979.0151706,1703746979.017176,0.002005338668823242,2,40037881856,32012777984
RecvActivation,1703746979.0174363,1703746979.023867,0.006430625915527344,2,40037881856,32196816384
ForwardPass,1703746979.0240912,1703746979.3868709,0.3627796173095703,2,40037881856,33665360384
RecvGrad,1703746979.3871262,1703746981.143245,1.7561187744140625,2,40037881856,33665360384
SendActivation,1703746981.1435065,1703746981.1455562,0.002049684524536133,2,40037881856,33665360384
BackwardPass,1703746981.145783,1703746982.1828923,1.037109375,2,40037881856,32379268608
SendGrad,1703746982.1831746,1703746982.1838093,0.0006346702575683594,2,40037881856,32011729408
RecvActivation,1703746982.184045,1703746982.1872785,0.0032334327697753906,2,40037881856,32195767808
ForwardPass,1703746982.1875007,1703746982.5497594,0.3622586727142334,2,40037881856,33666408960
RecvGrad,1703746982.5500169,1703746982.5509202,0.0009033679962158203,2,40037881856,33666408960
SendActivation,1703746982.5511372,1703746982.5531657,0.0020284652709960938,2,40037881856,33666408960
BackwardPass,1703746982.5534034,1703746983.594439,1.0410356521606445,2,40037881856,32381365760
SendGrad,1703746983.594717,1703746983.595362,0.0006449222564697266,2,40037881856,32013826560
RecvGrad,1703746983.5955963,1703746983.9522715,0.3566751480102539,2,40037881856,32013826560
BackwardPass,1703746983.9525013,1703746984.9869237,1.0344223976135254,2,40037881856,30728783360
SendGrad,1703746984.9871814,1703746984.9878,0.0006184577941894531,2,40037881856,30361244160
RecvGrad,1703746984.9880302,1703746985.0380628,0.050032615661621094,2,40037881856,30361244160
BackwardPass,1703746985.038283,1703746986.0773685,1.0390853881835938,2,40037881856,29074103808
SendGrad,1703746986.07766,1703746986.078283,0.0006229877471923828,2,40037881856,28706564608
ReduceTiedGrads,1703746986.0785303,1703746986.0788054,0.0002751350402832031,2,40037881856,28706564608
ReduceGrads,1703746986.0790143,1703746986.0934281,0.014413833618164062,2,40037881856,28706564608
OptimizerStep,1703746986.093647,1703746988.1230154,2.0293684005737305,2,40040032768,28706564608
RecvActivation,1703746988.1515553,1703746988.8217092,0.6701538562774658,2,40040032768,28890603008
ForwardPass,1703746988.8219478,1703746989.1790962,0.3571484088897705,2,40040032768,30360195584
SendActivation,1703746989.1793528,1703746989.181849,0.0024962425231933594,2,40040032768,30360195584
RecvActivation,1703746989.1820958,1703746989.18779,0.005694150924682617,2,40040032768,30544233984
ForwardPass,1703746989.1880267,1703746989.549523,0.3614964485168457,2,40040032768,32012777984
SendActivation,1703746989.549773,1703746989.5519145,0.0021414756774902344,2,40040032768,32012777984
RecvActivation,1703746989.5521538,1703746989.5566955,0.004541635513305664,2,40040032768,32196816384
ForwardPass,1703746989.5571513,1703746989.9186528,0.36150145530700684,2,40040032768,33665360384
RecvGrad,1703746989.918914,1703746991.6475592,1.7286450862884521,2,40040032768,33665360384
SendActivation,1703746991.6478424,1703746991.6500106,0.0021681785583496094,2,40040032768,33665360384
BackwardPass,1703746991.6502416,1703746992.6838913,1.0336496829986572,2,40040032768,32379268608
SendGrad,1703746992.6841674,1703746992.6847994,0.0006320476531982422,2,40040032768,32011729408
RecvActivation,1703746992.6850297,1703746992.688391,0.003361225128173828,2,40040032768,32195767808
ForwardPass,1703746992.688627,1703746993.0487468,0.3601198196411133,2,40040032768,33667457536
RecvGrad,1703746993.0490139,1703746993.0499222,0.0009083747863769531,2,40040032768,33667457536
SendActivation,1703746993.0501463,1703746993.0522273,0.0020809173583984375,2,40040032768,33667457536
BackwardPass,1703746993.0524573,1703746994.091316,1.0388586521148682,2,40040032768,32382414336
SendGrad,1703746994.0916271,1703746994.0923102,0.0006830692291259766,2,40040032768,32014875136
RecvGrad,1703746994.0928166,1703746994.4483094,0.35549283027648926,2,40040032768,32014875136
BackwardPass,1703746994.448546,1703746995.4833333,1.0347874164581299,2,40040032768,30729831936
SendGrad,1703746995.4835925,1703746995.4842086,0.0006160736083984375,2,40040032768,30362292736
RecvGrad,1703746995.4844382,1703746995.5368361,0.052397966384887695,2,40040032768,30362292736
BackwardPass,1703746995.5370553,1703746996.576087,1.039031744003296,2,40040032768,29074103808
SendGrad,1703746996.5763965,1703746996.5770366,0.0006401538848876953,2,40040032768,28706564608
ReduceTiedGrads,1703746996.577277,1703746996.577304,2.6941299438476562e-05,2,40040032768,28706564608
ReduceGrads,1703746996.5775335,1703746996.5920188,0.014485359191894531,2,40040032768,28706564608
OptimizerStep,1703746996.5922453,1703746998.6129923,2.020746946334839,2,40040032768,28706564608
RecvActivation,1703746998.642143,1703746999.3108485,0.6687054634094238,2,40040032768,28890603008
ForwardPass,1703746999.3111029,1703746999.6706212,0.35951828956604004,2,40040032768,30359147008
SendActivation,1703746999.670991,1703746999.6732795,0.0022885799407958984,2,40040032768,30359147008
RecvActivation,1703746999.673554,1703746999.678956,0.005402088165283203,2,40040032768,30543185408
ForwardPass,1703746999.679179,1703747000.040092,0.3609130382537842,2,40040032768,32013826560
SendActivation,1703747000.0403683,1703747000.0424955,0.0021271705627441406,2,40040032768,32013826560
RecvActivation,1703747000.0427353,1703747000.047393,0.004657745361328125,2,40040032768,32197864960
ForwardPass,1703747000.047623,1703747000.410199,0.3625760078430176,2,40040032768,33666408960
RecvGrad,1703747000.4104614,1703747002.1481678,1.7377064228057861,2,40040032768,33666408960
SendActivation,1703747002.1484876,1703747002.1506104,0.0021228790283203125,2,40040032768,33666408960
BackwardPass,1703747002.1508365,1703747003.1868842,1.0360476970672607,2,40040032768,32381365760
SendGrad,1703747003.1871648,1703747003.1878004,0.0006356239318847656,2,40040032768,32013826560
RecvActivation,1703747003.1880207,1703747003.1915205,0.003499746322631836,2,40040032768,32197864960
ForwardPass,1703747003.1920273,1703747003.5534098,0.36138248443603516,2,40040032768,33666408960
RecvGrad,1703747003.5536804,1703747003.5545983,0.0009179115295410156,2,40040032768,33666408960
SendActivation,1703747003.554816,1703747003.5568397,0.0020236968994140625,2,40040032768,33666408960
BackwardPass,1703747003.5570638,1703747004.5965717,1.0395078659057617,2,40040032768,32379268608
SendGrad,1703747004.5968392,1703747004.5974615,0.0006222724914550781,2,40040032768,32011729408
