task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1703746324.088393,1703746328.442856,4.35446310043335,3,26309839360,18956460032
ForwardPass,1703746328.4431717,1703746329.64032,1.197148323059082,3,26309839360,21159544832
SendActivation,1703746329.6407135,1703746329.6582558,0.017542362213134766,3,26309839360,21159544832
RecvActivation,1703746329.6585908,1703746329.6621792,0.003588438034057617,3,26309839360,21527621632
ForwardPass,1703746329.6624284,1703746330.1669946,0.5045661926269531,3,28524664832,23730706432
RecvGrad,1703746330.167284,1703746332.4939044,2.32662034034729,3,28524664832,24097708032
SendActivation,1703746332.4942083,1703746332.4972394,0.003031015396118164,3,28524664832,24097708032
BackwardPass,1703746332.4974797,1703746333.9543698,1.4568901062011719,3,37671355904,24285458432
SendGrad,1703746333.9546866,1703746333.9561095,0.001422882080078125,3,37671355904,23550380032
RecvActivation,1703746333.9563599,1703746333.9609497,0.00458979606628418,3,37671355904,23918456832
ForwardPass,1703746333.9612436,1703746334.4631186,0.5018749237060547,3,37671355904,26121541632
RecvGrad,1703746334.4634185,1703746334.659603,0.19618463516235352,3,37671355904,26121541632
SendActivation,1703746334.659963,1703746334.6628041,0.0028412342071533203,3,37671355904,26121541632
BackwardPass,1703746334.6630273,1703746336.1218145,1.458787202835083,3,37671355904,24285458432
SendGrad,1703746336.1220822,1703746336.3412004,0.2191181182861328,3,37671355904,23550380032
RecvActivation,1703746336.3414476,1703746336.3452647,0.0038170814514160156,3,37671355904,23918456832
ForwardPass,1703746336.3455055,1703746336.847111,0.5016055107116699,3,37671355904,26121541632
RecvGrad,1703746336.8474085,1703746336.8490193,0.0016107559204101562,3,37671355904,26121541632
SendActivation,1703746336.849265,1703746336.8521333,0.002868175506591797,3,37671355904,26121541632
BackwardPass,1703746336.8523777,1703746338.3182647,1.4658870697021484,3,37671355904,24285458432
SendGrad,1703746338.3187397,1703746338.3200808,0.001341104507446289,3,37671355904,23550380032
RecvGrad,1703746338.3203084,1703746339.0254233,0.7051148414611816,3,37671355904,23550380032
BackwardPass,1703746339.0256543,1703746340.4852378,1.4595835208892822,3,37671355904,21714296832
SendGrad,1703746340.4855146,1703746340.4888418,0.0033271312713623047,3,37671355904,20979218432
ReduceTiedGrads,1703746340.4890819,1703746340.4891248,4.291534423828125e-05,3,37671355904,20979218432
ReduceGrads,1703746340.489335,1703746340.5016677,0.012332677841186523,3,37671355904,20979218432
OptimizerStep,1703746340.5018973,1703746347.6687343,7.166836977005005,3,37671355904,20979218432
RecvActivation,1703746348.7574196,1703746351.0068812,2.2494616508483887,3,37671355904,21352677888
ForwardPass,1703746351.0071256,1703746351.5083835,0.5012578964233398,3,37671355904,23555762688
SendActivation,1703746351.5086439,1703746351.5125916,0.003947734832763672,3,37671355904,23555762688
RecvActivation,1703746351.5128384,1703746351.8270545,0.31421613693237305,3,37671355904,23923839488
ForwardPass,1703746351.8272889,1703746352.3270557,0.49976682662963867,3,37671355904,26126924288
RecvGrad,1703746352.3273077,1703746353.678216,1.3509082794189453,3,37671355904,26126924288
SendActivation,1703746353.6785007,1703746353.691855,0.013354301452636719,3,37671355904,26126924288
BackwardPass,1703746353.6920779,1703746355.1487582,1.4566802978515625,3,37676738560,24290841088
SendGrad,1703746355.1490214,1703746355.1503603,0.001338958740234375,3,37676738560,23555762688
RecvActivation,1703746355.1505854,1703746355.155026,0.0044405460357666016,3,37676738560,23923839488
ForwardPass,1703746355.1552725,1703746355.6594737,0.5042011737823486,3,37676738560,26126924288
RecvGrad,1703746355.6599596,1703746355.8578699,0.19791030883789062,3,37676738560,26126924288
SendActivation,1703746355.858109,1703746355.860862,0.002753019332885742,3,37676738560,26126924288
BackwardPass,1703746355.861084,1703746357.3221962,1.4611122608184814,3,37676738560,24290841088
SendGrad,1703746357.3224564,1703746357.5345435,0.21208715438842773,3,37676738560,23555762688
RecvActivation,1703746357.5347745,1703746357.5388389,0.004064321517944336,3,37676738560,23923839488
ForwardPass,1703746357.539063,1703746358.0459228,0.5068597793579102,3,37676738560,26126924288
RecvGrad,1703746358.0461802,1703746358.047818,0.0016376972198486328,3,37676738560,26126924288
SendActivation,1703746358.048037,1703746358.0507708,0.0027337074279785156,3,37676738560,26126924288
BackwardPass,1703746358.0509908,1703746359.517493,1.4665021896362305,3,37676738560,24290841088
SendGrad,1703746359.5177574,1703746359.5190694,0.0013120174407958984,3,37676738560,23555762688
RecvGrad,1703746359.5193193,1703746360.2162912,0.6969718933105469,3,37676738560,23555762688
BackwardPass,1703746360.2168226,1703746361.6775303,1.460707664489746,3,37676738560,21719679488
SendGrad,1703746361.6777782,1703746361.6791022,0.0013239383697509766,3,37676738560,20984601088
ReduceTiedGrads,1703746361.6793363,1703746361.679375,3.8623809814453125e-05,3,37676738560,20984601088
ReduceGrads,1703746361.679608,1703746361.6901004,0.010492324829101562,3,37676738560,20984601088
OptimizerStep,1703746361.6903214,1703746368.8617244,7.171402931213379,3,37676738560,20984601088
RecvActivation,1703746368.9653795,1703746371.2228224,2.2574429512023926,3,37676738560,21352677888
ForwardPass,1703746371.2230623,1703746371.7257063,0.5026440620422363,3,37676738560,23555762688
SendActivation,1703746371.7259893,1703746371.7290602,0.003070831298828125,3,37676738560,23555762688
RecvActivation,1703746371.7293148,1703746372.0513208,0.3220059871673584,3,37676738560,23923839488
ForwardPass,1703746372.0515678,1703746372.55485,0.5032823085784912,3,37676738560,26126924288
RecvGrad,1703746372.5551348,1703746373.8849068,1.3297719955444336,3,37676738560,26126924288
SendActivation,1703746373.885712,1703746373.8887901,0.0030782222747802734,3,37676738560,26126924288
BackwardPass,1703746373.8890371,1703746375.3423445,1.4533073902130127,3,37676738560,24290841088
SendGrad,1703746375.3426158,1703746375.343977,0.0013611316680908203,3,37676738560,23555762688
RecvActivation,1703746375.3442,1703746375.3482978,0.004097938537597656,3,37676738560,23923839488
ForwardPass,1703746375.3485672,1703746375.854879,0.5063116550445557,3,37676738560,26126924288
RecvGrad,1703746375.8551316,1703746376.052379,0.19724726676940918,3,37676738560,26126924288
SendActivation,1703746376.052618,1703746376.0554848,0.0028667449951171875,3,37676738560,26126924288
BackwardPass,1703746376.0557055,1703746377.5145783,1.4588727951049805,3,37676738560,24290841088
SendGrad,1703746377.5148492,1703746377.7253745,0.2105252742767334,3,37676738560,23555762688
RecvActivation,1703746377.7256145,1703746377.7293956,0.0037810802459716797,3,37676738560,23923839488
ForwardPass,1703746377.7296488,1703746378.2301824,0.5005335807800293,3,37676738560,26126924288
RecvGrad,1703746378.2306783,1703746378.2322943,0.0016160011291503906,3,37676738560,26126924288
SendActivation,1703746378.232509,1703746378.2353241,0.00281524658203125,3,37676738560,26126924288
BackwardPass,1703746378.235541,1703746379.6945498,1.4590086936950684,3,37676738560,24290841088
SendGrad,1703746379.6948066,1703746379.6961324,0.001325845718383789,3,37676738560,23555762688
RecvGrad,1703746379.6963696,1703746380.3997025,0.7033329010009766,3,37676738560,23555762688
BackwardPass,1703746380.399939,1703746381.8571434,1.4572043418884277,3,37676738560,21719679488
SendGrad,1703746381.8574078,1703746381.858712,0.0013041496276855469,3,37676738560,20984601088
ReduceTiedGrads,1703746381.8589666,1703746381.8590071,4.0531158447265625e-05,3,37676738560,20984601088
ReduceGrads,1703746381.8592265,1703746381.8696427,0.010416269302368164,3,37676738560,20984601088
OptimizerStep,1703746381.8698633,1703746389.0191615,7.149298191070557,3,37676738560,20984601088
RecvActivation,1703746389.1207902,1703746391.3743474,2.2535572052001953,3,37676738560,21352677888
ForwardPass,1703746391.3745866,1703746391.8761983,0.5016117095947266,3,37676738560,23555762688
SendActivation,1703746391.8764577,1703746391.8798172,0.003359556198120117,3,37676738560,23555762688
RecvActivation,1703746391.8800616,1703746392.2116928,0.3316311836242676,3,37676738560,23923839488
ForwardPass,1703746392.2119439,1703746392.7126858,0.5007419586181641,3,37676738560,26126924288
RecvGrad,1703746392.7129385,1703746394.0377722,1.324833631515503,3,37676738560,26126924288
SendActivation,1703746394.0380447,1703746394.0408893,0.002844572067260742,3,37676738560,26126924288
BackwardPass,1703746394.041122,1703746395.4936912,1.4525692462921143,3,37676738560,24290841088
SendGrad,1703746395.4939625,1703746395.4952736,0.0013110637664794922,3,37676738560,23555762688
