task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1703836984.656923,1703836990.5902705,5.933347463607788,5,50140310528,35510041088
ForwardPass,1703836990.5905895,1703836991.8349407,1.2443511486053467,5,50140310528,37576689152
SendActivation,1703836991.8352916,1703836991.8548281,0.019536495208740234,5,50140310528,37576689152
RecvActivation,1703836991.8551023,1703836991.8585632,0.0034608840942382812,5,50140310528,37872292352
ForwardPass,1703836991.8587992,1703836992.4279432,0.5691440105438232,5,50140310528,39937367552
RecvGrad,1703836992.4282203,1703836994.566744,2.138523817062378,5,50140310528,40232279552
SendActivation,1703836994.567081,1703836994.569776,0.0026950836181640625,5,50140310528,40232279552
BackwardPass,1703836994.570025,1703836996.2785392,1.7085142135620117,5,52822691840,42266997248
SendGrad,1703836996.2788706,1703836996.2799938,0.001123189926147461,5,52822691840,41675695616
RecvActivation,1703836996.2802358,1703836996.2843869,0.004151105880737305,5,52822691840,41971298816
ForwardPass,1703836996.2846391,1703836996.8558457,0.5712065696716309,5,52822691840,44037946880
RecvGrad,1703836996.8561292,1703836996.8574698,0.001340627670288086,5,52822691840,44037946880
SendActivation,1703836996.857716,1703836996.8603275,0.002611398696899414,5,52822691840,44037946880
BackwardPass,1703836996.8605814,1703836998.5661433,1.705561876296997,5,52824264704,42268570112
SendGrad,1703836998.5665872,1703836998.56764,0.0010528564453125,5,52824264704,41677268480
RecvActivation,1703836998.5678685,1703836998.571598,0.003729581832885742,5,52824264704,41972871680
ForwardPass,1703836998.5718226,1703836999.143367,0.5715444087982178,5,52824264704,44039519744
RecvGrad,1703836999.1436334,1703836999.1450171,0.0013837814331054688,5,52824264704,44039519744
SendActivation,1703836999.1452506,1703836999.1478264,0.0025758743286132812,5,52824264704,44039519744
BackwardPass,1703836999.1480591,1703837000.857722,1.709662914276123,5,52824264704,42267783680
SendGrad,1703837000.858026,1703837000.8590717,0.0010457038879394531,5,52824264704,41677268480
RecvGrad,1703837000.85933,1703837001.201607,0.34227705001831055,5,52824264704,41677268480
BackwardPass,1703837001.213435,1703837002.9176676,1.7042326927185059,5,52824264704,39249910272
SendGrad,1703837002.9179807,1703837002.9191213,0.001140594482421875,5,52824264704,38658608640
ReduceTiedGrads,1703837002.9194052,1703837002.9194584,5.316734313964844e-05,5,52824264704,38658608640
ReduceGrads,1703837002.9196782,1703837002.9427218,0.02304363250732422,5,52824264704,38658608640
OptimizerStep,1703837002.9429574,1703837011.36693,8.423972606658936,5,53884423680,38658608640
RecvActivation,1703837013.1528146,1703837015.9292228,2.7764081954956055,5,53884423680,38956977152
ForwardPass,1703837015.9294994,1703837016.5020413,0.5725419521331787,5,53884423680,41023625216
SendActivation,1703837016.5023181,1703837016.5050638,0.0027456283569335938,5,53884423680,41023625216
RecvActivation,1703837016.5053394,1703837016.5221786,0.016839265823364258,5,53884423680,41320014848
ForwardPass,1703837016.52243,1703837017.0929952,0.5705652236938477,5,53884423680,43385090048
RecvGrad,1703837017.093497,1703837018.547653,1.4541559219360352,5,53884423680,43385090048
SendActivation,1703837018.547914,1703837018.5618854,0.013971328735351562,5,53884423680,43385090048
BackwardPass,1703837018.5621111,1703837020.2626393,1.7005281448364258,5,53884423680,41613353984
SendGrad,1703837020.2629313,1703837020.264003,0.0010716915130615234,5,53884423680,41022838784
RecvActivation,1703837020.2642355,1703837020.2681506,0.003915071487426758,5,53884423680,41318441984
ForwardPass,1703837020.2683804,1703837020.8428583,0.5744779109954834,5,53884423680,43383517184
RecvGrad,1703837020.8431132,1703837020.8444436,0.0013303756713867188,5,53884423680,43383517184
SendActivation,1703837020.8446624,1703837020.847337,0.002674579620361328,5,53884423680,43383517184
BackwardPass,1703837020.84757,1703837022.557333,1.7097630500793457,5,53884423680,41613353984
SendGrad,1703837022.5576265,1703837022.558735,0.001108407974243164,5,53884423680,41022052352
RecvActivation,1703837022.5589776,1703837022.5627458,0.0037682056427001953,5,53884423680,41317655552
ForwardPass,1703837022.5632358,1703837023.1364489,0.5732131004333496,5,53884423680,43384303616
RecvGrad,1703837023.1367028,1703837023.1380568,0.0013539791107177734,5,53884423680,43384303616
SendActivation,1703837023.1382782,1703837023.1409104,0.00263214111328125,5,53884423680,43384303616
BackwardPass,1703837023.1411345,1703837024.8517866,1.7106521129608154,5,53884423680,41614926848
SendGrad,1703837024.852075,1703837024.8531446,0.0010695457458496094,5,53884423680,41023625216
RecvGrad,1703837024.8533976,1703837025.1943312,0.34093356132507324,5,53884423680,41023625216
BackwardPass,1703837025.1945667,1703837026.8998306,1.7052638530731201,5,53884423680,39251889152
SendGrad,1703837026.9000957,1703837026.9012175,0.0011217594146728516,5,53884423680,38661373952
ReduceTiedGrads,1703837026.9014752,1703837026.9015036,2.8371810913085938e-05,5,53884423680,38661373952
ReduceGrads,1703837026.9017193,1703837026.921247,0.019527673721313477,5,53884423680,38661373952
OptimizerStep,1703837026.9214904,1703837035.2922266,8.370736122131348,5,53887188992,38661373952
RecvActivation,1703837035.3259444,1703837038.092321,2.766376495361328,5,53887188992,38956977152
ForwardPass,1703837038.092564,1703837038.6639738,0.5714097023010254,5,53887188992,41022838784
SendActivation,1703837038.6642435,1703837038.6671343,0.0028908252716064453,5,53887188992,41022838784
RecvActivation,1703837038.667378,1703837038.6820483,0.014670372009277344,5,53887188992,41319228416
ForwardPass,1703837038.6822844,1703837039.254814,0.5725295543670654,5,53887188992,43384303616
RecvGrad,1703837039.2551064,1703837040.6952384,1.4401319026947021,5,53887188992,43384303616
SendActivation,1703837040.6954947,1703837040.6981678,0.0026731491088867188,5,53887188992,43384303616
BackwardPass,1703837040.6983995,1703837042.3831353,1.6847357749938965,5,53887188992,41613353984
SendGrad,1703837042.3834171,1703837042.3844895,0.0010724067687988281,5,53887188992,41022838784
RecvActivation,1703837042.3847098,1703837042.3888185,0.0041086673736572266,5,53887188992,41318441984
ForwardPass,1703837042.389044,1703837042.9600415,0.5709974765777588,5,53887188992,43383517184
RecvGrad,1703837042.9605665,1703837042.9619474,0.00138092041015625,5,53887188992,43383517184
SendActivation,1703837042.9621675,1703837042.9648163,0.0026488304138183594,5,53887188992,43383517184
BackwardPass,1703837042.9650404,1703837044.6652586,1.7002182006835938,5,53887188992,41613353984
SendGrad,1703837044.6655407,1703837044.6666017,0.0010609626770019531,5,53887188992,41022052352
RecvActivation,1703837044.6668289,1703837044.6705265,0.003697633743286133,5,53887188992,41317655552
