task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1703820844.564599,1703820847.1531146,2.588515520095825,2,22551696384,16359207424
ForwardPass,1703820847.1534166,1703820848.472341,1.3189244270324707,2,24145480192,19312921088
SendActivation,1703820848.4726481,1703820848.5081046,0.03545641899108887,2,24145480192,19312921088
RecvActivation,1703820848.508436,1703820848.531213,0.022777080535888672,2,24145480192,19682943488
ForwardPass,1703820848.5314517,1703820849.1905835,0.6591317653656006,2,27466922496,22635280896
RecvGrad,1703820849.1910625,1703820851.5718584,2.380795955657959,2,27466922496,23003920896
SendActivation,1703820851.5722396,1703820851.5976818,0.025442123413085938,2,27466922496,23003920896
BackwardPass,1703820851.598033,1703820853.447481,1.8494479656219482,2,36411558912,22154055168
SendGrad,1703820853.4478254,1703820853.4684527,0.020627260208129883,2,36411558912,21414475264
RecvActivation,1703820853.4686959,1703820853.4925737,0.023877859115600586,2,36411558912,21784956416
ForwardPass,1703820853.4928393,1703820854.1498127,0.6569733619689941,2,36411558912,24738211328
RecvGrad,1703820854.1501088,1703820854.1760163,0.025907516479492188,2,36411558912,24738211328
SendActivation,1703820854.1762745,1703820854.2016034,0.025328874588012695,2,36411558912,24738211328
BackwardPass,1703820854.201989,1703820856.0559556,1.8539667129516602,2,36411558912,22154513920
SendGrad,1703820856.0562928,1703820856.0871663,0.030873537063598633,2,36411558912,21415851520
RecvActivation,1703820856.0874076,1703820856.1103237,0.022916078567504883,2,36411558912,21785873920
ForwardPass,1703820856.110571,1703820856.7663145,0.6557435989379883,2,36411558912,24736376320
RecvGrad,1703820856.7666106,1703820856.793045,0.02643442153930664,2,36411558912,24736376320
SendActivation,1703820856.7932882,1703820856.8190415,0.025753259658813477,2,36411558912,24736376320
BackwardPass,1703820856.819333,1703820858.673375,1.8540418148040771,2,36411558912,22152678912
SendGrad,1703820858.685119,1703820858.7057076,0.02058863639831543,2,36411558912,21412640256
RecvGrad,1703820858.7059531,1703820859.2243803,0.5184271335601807,2,36411558912,21412640256
BackwardPass,1703820859.224697,1703820861.0847814,1.8600842952728271,2,36411558912,18831236608
SendGrad,1703820861.085154,1703820861.105727,0.020572900772094727,2,36411558912,18092115456
ReduceTiedGrads,1703820861.1059995,1703820861.1060543,5.4836273193359375e-05,2,36411558912,18092115456
ReduceGrads,1703820861.1062796,1703820861.116707,0.010427474975585938,2,36411558912,18092115456
OptimizerStep,1703820861.1169407,1703820864.6524105,3.5354697704315186,2,36411558912,18092115456
RecvActivation,1703820865.0365524,1703820866.3052113,1.2686588764190674,2,36411558912,18468691968
ForwardPass,1703820866.3054872,1703820866.9605117,0.655024528503418,2,36411558912,21421488128
SendActivation,1703820866.9608233,1703820866.9885361,0.02771282196044922,2,36411558912,21421488128
RecvActivation,1703820866.9890707,1703820867.0158846,0.026813983917236328,2,36411558912,21791510528
ForwardPass,1703820867.016112,1703820867.6747882,0.6586761474609375,2,36411558912,24742930432
RecvGrad,1703820867.675065,1703820869.394343,1.7192778587341309,2,36411558912,24742930432
SendActivation,1703820869.394765,1703820869.420254,0.025489091873168945,2,36411558912,24742930432
BackwardPass,1703820869.4204834,1703820871.2733388,1.8528554439544678,2,36416572928,22159233024
SendGrad,1703820871.2737205,1703820871.294234,0.020513534545898438,2,36416572928,21420111872
RecvActivation,1703820871.2944736,1703820871.3193564,0.024882793426513672,2,36416572928,21790134272
ForwardPass,1703820871.3195913,1703820871.9791746,0.659583330154419,2,36416572928,24742930432
RecvGrad,1703820871.9794824,1703820872.0055263,0.02604389190673828,2,36416572928,24742930432
SendActivation,1703820872.0057678,1703820872.0309255,0.025157690048217773,2,36416572928,24742930432
BackwardPass,1703820872.0314867,1703820873.8870103,1.8555235862731934,2,36416572928,22160150528
SendGrad,1703820873.8874266,1703820873.9171984,0.029771804809570312,2,36416572928,21421488128
RecvActivation,1703820873.9174387,1703820873.9406297,0.023190975189208984,2,36416572928,21792428032
ForwardPass,1703820873.9408822,1703820874.6001933,0.659311056137085,2,36416572928,24742930432
RecvGrad,1703820874.600491,1703820874.6262834,0.025792360305786133,2,36416572928,24742930432
SendActivation,1703820874.626522,1703820874.6520941,0.02557206153869629,2,36416572928,24742930432
BackwardPass,1703820874.6523626,1703820876.5050793,1.8527166843414307,2,36416572928,22159233024
SendGrad,1703820876.505462,1703820876.525905,0.020442962646484375,2,36416572928,21420111872
RecvGrad,1703820876.5261757,1703820877.0685318,0.542356014251709,2,36416572928,21420111872
BackwardPass,1703820877.0688088,1703820878.9289827,1.8601739406585693,2,36416572928,18838708224
SendGrad,1703820878.9293237,1703820878.9497907,0.020467042922973633,2,36416572928,18098669568
ReduceTiedGrads,1703820878.9500513,1703820878.9500873,3.600120544433594e-05,2,36416572928,18098669568
ReduceGrads,1703820878.9506626,1703820878.9595144,0.008851766586303711,2,36416572928,18098669568
OptimizerStep,1703820878.9597354,1703820882.4986675,3.5389320850372314,2,36416572928,18098669568
RecvActivation,1703820882.5653493,1703820883.835992,1.2706427574157715,2,36416572928,18471043072
ForwardPass,1703820883.8362768,1703820884.4913926,0.6551158428192139,2,36416572928,21423380480
SendActivation,1703820884.4916968,1703820884.517802,0.026105165481567383,2,36416572928,21423380480
RecvActivation,1703820884.5180619,1703820884.545788,0.027726173400878906,2,36416572928,21793402880
ForwardPass,1703820884.5460246,1703820885.2019894,0.6559648513793945,2,36416572928,24746657792
RecvGrad,1703820885.2023976,1703820886.9215417,1.7191441059112549,2,36416572928,24746657792
SendActivation,1703820886.9219127,1703820886.9479141,0.026001453399658203,2,36416572928,24746657792
BackwardPass,1703820886.9481456,1703820888.8013315,1.8531858921051025,2,36419513856,22163910656
SendGrad,1703820888.802079,1703820888.8226972,0.020618200302124023,2,36419513856,21424789504
RecvActivation,1703820888.8229256,1703820888.8478417,0.02491617202758789,2,36419513856,21794811904
ForwardPass,1703820888.8480668,1703820889.505981,0.6579141616821289,2,36419513856,24747608064
RecvGrad,1703820889.5062656,1703820889.5324183,0.026152610778808594,2,36419513856,24747608064
SendActivation,1703820889.5326457,1703820889.5581276,0.0254819393157959,2,36419513856,24747608064
BackwardPass,1703820889.5583665,1703820891.4108057,1.8524391651153564,2,36420431360,22162993152
SendGrad,1703820891.41116,1703820891.433077,0.021917104721069336,2,36420431360,21424330752
RecvActivation,1703820891.4333081,1703820891.4562976,0.022989511489868164,2,36420431360,21794353152
ForwardPass,1703820891.4565432,1703820892.114026,0.6574828624725342,2,36420431360,24746690560
RecvGrad,1703820892.1144164,1703820892.1406,0.026183605194091797,2,36420431360,24746690560
SendActivation,1703820892.140843,1703820892.166397,0.025554180145263672,2,36420431360,24746690560
BackwardPass,1703820892.1669767,1703820894.0163848,1.8494081497192383,2,36420431360,22162534400
SendGrad,1703820894.016686,1703820894.036978,0.020292043685913086,2,36420431360,21423872000
RecvGrad,1703820894.0372212,1703820894.5672011,0.529979944229126,2,36420431360,21423872000
BackwardPass,1703820894.567545,1703820896.423559,1.8560140132904053,2,36420431360,18840174592
SendGrad,1703820896.4238837,1703820896.4443986,0.020514965057373047,2,36420431360,18101512192
ReduceTiedGrads,1703820896.4446552,1703820896.4447086,5.340576171875e-05,2,36420431360,18101512192
ReduceGrads,1703820896.4449313,1703820896.4538121,0.008880853652954102,2,36420431360,18101512192
OptimizerStep,1703820896.454042,1703820899.977811,3.5237691402435303,2,36420431360,18101512192
RecvActivation,1703820900.0455728,1703820901.3224244,1.2768516540527344,2,36420431360,18471534592
ForwardPass,1703820901.3227265,1703820901.9784658,0.6557393074035645,2,36420431360,21424330752
SendActivation,1703820901.9787872,1703820902.005912,0.027124881744384766,2,36420431360,21424330752
RecvActivation,1703820902.0065746,1703820902.0329924,0.02641773223876953,2,36420431360,21794353152
ForwardPass,1703820902.0332189,1703820902.6907742,0.657555341720581,2,36420431360,24745773056
RecvGrad,1703820902.6911683,1703820904.4106514,1.7194831371307373,2,36420431360,24745773056
SendActivation,1703820904.4110482,1703820904.4366343,0.02558612823486328,2,36420431360,24745773056
BackwardPass,1703820904.4368844,1703820906.2855585,1.8486740589141846,2,36420431360,22162075648
SendGrad,1703820906.2859318,1703820906.3064842,0.020552396774291992,2,36420431360,21422954496
RecvActivation,1703820906.306734,1703820906.3310766,0.02434253692626953,2,36420431360,21792976896
ForwardPass,1703820906.3313167,1703820906.9891398,0.6578230857849121,2,36420431360,24746690560
RecvGrad,1703820906.9894347,1703820907.0157328,0.026298046112060547,2,36420431360,24746690560
SendActivation,1703820907.0159597,1703820907.0413594,0.02539968490600586,2,36420431360,24746690560
BackwardPass,1703820907.0416079,1703820908.8958817,1.854273796081543,2,36420431360,22163910656
SendGrad,1703820908.89662,1703820908.9228828,0.026262760162353516,2,36420431360,21425248256
RecvActivation,1703820908.9231143,1703820908.9460437,0.02292943000793457,2,36420431360,21795270656
ForwardPass,1703820908.946272,1703820909.6035326,0.6572606563568115,2,36420431360,24745773056
RecvGrad,1703820909.6038957,1703820909.6298335,0.025937795639038086,2,36420431360,24745773056
SendActivation,1703820909.630077,1703820909.6555972,0.02552032470703125,2,36420431360,24745773056
RecvActivation,1703820844.5689785,1703820845.8192635,1.2502849102020264,1,22551696384,16359207424
ForwardPass,1703820845.8195887,1703820847.1191647,1.2995760440826416,1,24145480192,19312921088
SendActivation,1703820847.1194777,1703820847.1523528,0.03287506103515625,1,24145480192,19312921088
RecvActivation,1703820847.152704,1703820847.1800923,0.027388334274291992,1,24145480192,19682943488
ForwardPass,1703820847.180332,1703820847.8376691,0.6573371887207031,1,27466922496,22635280896
SendActivation,1703820847.8380132,1703820848.5304554,0.6924421787261963,1,27466922496,22635280896
RecvActivation,1703820848.530725,1703820848.559516,0.028790950775146484,1,27466922496,23005303296
ForwardPass,1703820848.5598462,1703820849.217296,0.6574497222900391,1,30787447296,25955805696
RecvGrad,1703820849.2175732,1703820853.469102,4.251528739929199,1,30787447296,26324445696
SendActivation,1703820853.4695506,1703820853.491819,0.022268295288085938,1,30787447296,26324445696
BackwardPass,1703820853.492067,1703820855.3508055,1.8587384223937988,1,39731166208,25475038720
