task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1703820729.6403203,1703820732.346705,2.7063846588134766,2,19330025472,14129317376
ForwardPass,1703820732.3470104,1703820733.550852,1.2038416862487793,2,21546950144,16714391040
SendActivation,1703820733.5512104,1703820733.5850062,0.033795833587646484,2,21546950144,16714391040
RecvActivation,1703820733.5852854,1703820733.6084075,0.023122072219848633,2,21546950144,17084413440
ForwardPass,1703820733.6088364,1703820734.1737638,0.564927339553833,2,24499752448,19667193344
RecvGrad,1703820734.1741655,1703820736.644649,2.4704835414886475,2,24499752448,20036750848
SendActivation,1703820736.6450226,1703820736.6675234,0.02250075340270996,2,24499752448,20036750848
BackwardPass,1703820736.6677923,1703820738.255241,1.5874485969543457,2,33444388864,19307703808
SendGrad,1703820738.2556927,1703820738.2768478,0.021155118942260742,2,33444388864,18568123904
RecvActivation,1703820738.2770753,1703820738.3009226,0.023847341537475586,2,33444388864,18938146304
ForwardPass,1703820738.3011475,1703820738.8648617,0.5637142658233643,2,33444388864,21524137472
RecvGrad,1703820738.8651319,1703820739.0741866,0.20905470848083496,2,33444388864,21524137472
SendActivation,1703820739.0744345,1703820739.096733,0.022298574447631836,2,33444388864,21524137472
BackwardPass,1703820739.0969825,1703820740.6870565,1.590074062347412,2,33444782080,19309997568
SendGrad,1703820740.6873567,1703820740.8760755,0.1887187957763672,2,33444782080,18571335168
RecvActivation,1703820740.8763049,1703820740.8989334,0.0226285457611084,2,33444782080,18941357568
ForwardPass,1703820740.8991575,1703820741.4623706,0.5632131099700928,2,33444782080,21524137472
RecvGrad,1703820741.4626346,1703820741.5011976,0.03856301307678223,2,33444782080,21524137472
SendActivation,1703820741.501427,1703820741.523704,0.022277116775512695,2,33444782080,21524137472
BackwardPass,1703820741.5239415,1703820743.1180694,1.594127893447876,2,33444782080,19307245056
SendGrad,1703820743.1184113,1703820743.139313,0.02090167999267578,2,33444782080,18568123904
RecvGrad,1703820743.1505444,1703820743.9264474,0.7759029865264893,2,33444782080,18568123904
BackwardPass,1703820743.9266877,1703820745.5134623,1.5867745876312256,2,33444782080,16353984000
SendGrad,1703820745.5137768,1703820745.5346284,0.020851612091064453,2,33444782080,15615321600
ReduceTiedGrads,1703820745.5348878,1703820745.5349329,4.506111145019531e-05,2,33444782080,15615321600
ReduceGrads,1703820745.5351605,1703820745.5441625,0.009001970291137695,2,33444782080,15615321600
OptimizerStep,1703820745.544416,1703820749.3443441,3.7999281883239746,2,33444782080,15615321600
RecvActivation,1703820749.7300963,1703820751.0954323,1.3653359413146973,2,33444782080,15991864320
ForwardPass,1703820751.0956957,1703820751.657598,0.5619022846221924,2,33444782080,18575102976
SendActivation,1703820751.657891,1703820751.680774,0.022882938385009766,2,33444782080,18575102976
RecvActivation,1703820751.6810334,1703820751.7995315,0.11849808692932129,2,33444782080,18945125376
ForwardPass,1703820751.800164,1703820752.3638282,0.5636641979217529,2,33444782080,21528822784
RecvGrad,1703820752.3641095,1703820754.0775008,1.7133913040161133,2,33444782080,21528822784
SendActivation,1703820754.07782,1703820754.1002796,0.02245950698852539,2,33444782080,21528822784
BackwardPass,1703820754.1005135,1703820755.6821895,1.5816760063171387,2,33448648192,19314682880
SendGrad,1703820755.682522,1703820755.7033262,0.020804166793823242,2,33448648192,18575561728
RecvActivation,1703820755.7035785,1703820755.7269619,0.023383378982543945,2,33448648192,18945584128
ForwardPass,1703820755.7272017,1703820756.2935643,0.5663626194000244,2,33448648192,21529740288
RecvGrad,1703820756.29385,1703820756.508394,0.21454405784606934,2,33448648192,21529740288
SendActivation,1703820756.5086434,1703820756.5309331,0.022289752960205078,2,33448648192,21529740288
BackwardPass,1703820756.5311773,1703820758.1167154,1.5855381488800049,2,33448648192,19314682880
SendGrad,1703820758.1170375,1703820758.307929,0.19089150428771973,2,33448648192,18576020480
RecvActivation,1703820758.308462,1703820758.3310087,0.022546768188476562,2,33448648192,18946960384
ForwardPass,1703820758.331233,1703820758.8948913,0.5636582374572754,2,33448648192,21528822784
RecvGrad,1703820758.8951755,1703820758.9451447,0.04996919631958008,2,33448648192,21528822784
SendActivation,1703820758.9453797,1703820758.9676464,0.022266626358032227,2,33448648192,21528822784
BackwardPass,1703820758.9678802,1703820760.5640404,1.5961601734161377,2,33449565696,19313306624
SendGrad,1703820760.5643787,1703820760.585223,0.020844221115112305,2,33449565696,18574644224
RecvGrad,1703820760.5854783,1703820761.3720844,0.7866060733795166,2,33449565696,18574644224
BackwardPass,1703820761.3723283,1703820762.9602532,1.5879249572753906,2,33449565696,16361421824
SendGrad,1703820762.9605618,1703820762.9813583,0.020796537399291992,2,33449565696,15621841920
ReduceTiedGrads,1703820762.9815972,1703820762.9816387,4.1484832763671875e-05,2,33449565696,15621841920
ReduceGrads,1703820762.981859,1703820762.989491,0.007632017135620117,2,33449565696,15621841920
OptimizerStep,1703820762.9897344,1703820766.788521,3.7987866401672363,2,33449565696,15621841920
RecvActivation,1703820766.8639367,1703820768.2305067,1.366569995880127,2,33449565696,15991864320
ForwardPass,1703820768.2307668,1703820768.792167,0.5614001750946045,2,33449565696,18575102976
SendActivation,1703820768.792467,1703820768.8158684,0.023401260375976562,2,33449565696,18575102976
RecvActivation,1703820768.8161232,1703820768.935502,0.11937880516052246,2,33449565696,18945125376
ForwardPass,1703820768.935744,1703820769.498288,0.5625438690185547,2,33449565696,21528822784
RecvGrad,1703820769.4985757,1703820771.2144792,1.7159035205841064,2,33449565696,21528822784
SendActivation,1703820771.2148974,1703820771.2374725,0.02257513999938965,2,33449565696,21528822784
BackwardPass,1703820771.237715,1703820772.8198106,1.5820956230163574,2,33449565696,19314682880
SendGrad,1703820772.8201559,1703820772.8410397,0.020883798599243164,2,33449565696,18575561728
RecvActivation,1703820772.8412805,1703820772.8649564,0.023675918579101562,2,33449565696,18945584128
ForwardPass,1703820772.865675,1703820773.4292257,0.5635507106781006,2,33449565696,21529281536
RecvGrad,1703820773.4294968,1703820773.6332397,0.20374298095703125,2,33449565696,21529281536
SendActivation,1703820773.6334715,1703820773.65569,0.02221846580505371,2,33449565696,21529281536
BackwardPass,1703820773.655925,1703820775.24261,1.5866849422454834,2,33449565696,19315141632
SendGrad,1703820775.242996,1703820775.444975,0.2019789218902588,2,33449565696,18575561728
RecvActivation,1703820775.44523,1703820775.4679177,0.022687673568725586,2,33449565696,18945584128
ForwardPass,1703820775.468155,1703820776.0286198,0.5604648590087891,2,33449565696,21528822784
RecvGrad,1703820776.028908,1703820776.0549138,0.02600574493408203,2,33449565696,21528822784
SendActivation,1703820776.0551474,1703820776.0773768,0.022229433059692383,2,33449565696,21528822784
BackwardPass,1703820776.0776203,1703820777.6652358,1.5876154899597168,2,33449565696,19314224128
SendGrad,1703820777.6655643,1703820777.6865082,0.020943880081176758,2,33449565696,18575102976
RecvGrad,1703820777.687127,1703820778.4811757,0.794048547744751,2,33449565696,18575102976
BackwardPass,1703820778.4814088,1703820780.071454,1.5900452136993408,2,33449565696,16360963072
SendGrad,1703820780.0718417,1703820780.0928018,0.020960092544555664,2,33449565696,15621841920
ReduceTiedGrads,1703820780.0930626,1703820780.093114,5.125999450683594e-05,2,33449565696,15621841920
ReduceGrads,1703820780.0933425,1703820780.1009784,0.007635831832885742,2,33449565696,15621841920
OptimizerStep,1703820780.1012323,1703820783.8847084,3.7834761142730713,2,33449565696,15621841920
RecvActivation,1703820783.9625835,1703820785.3308284,1.3682448863983154,2,33449565696,15991249920
ForwardPass,1703820785.331115,1703820785.8931677,0.5620527267456055,2,33449565696,18575864832
SendActivation,1703820785.8934543,1703820785.9167984,0.023344039916992188,2,33449565696,18575864832
RecvActivation,1703820785.917063,1703820786.0365813,0.11951828002929688,2,33449565696,18945887232
ForwardPass,1703820786.0368671,1703820786.5994925,0.5626254081726074,2,33449565696,21529584640
RecvGrad,1703820786.5997689,1703820788.3092124,1.7094435691833496,2,33449565696,21529584640
SendActivation,1703820788.3094702,1703820788.3317816,0.02231144905090332,2,33449565696,21529584640
BackwardPass,1703820788.3320155,1703820789.9190013,1.5869858264923096,2,33449565696,19314068480
SendGrad,1703820789.919467,1703820789.9404514,0.020984411239624023,2,33449565696,18574947328
RecvActivation,1703820789.9407508,1703820789.9647129,0.023962020874023438,2,33449565696,18944969728
ForwardPass,1703820789.9650016,1703820790.5282514,0.5632498264312744,2,33449565696,21529584640
RecvGrad,1703820790.5285463,1703820790.7311416,0.20259523391723633,2,33449565696,21529584640
SendActivation,1703820790.7314806,1703820790.753884,0.022403478622436523,2,33449565696,21529584640
BackwardPass,1703820790.7541544,1703820792.3356006,1.5814461708068848,2,33449565696,19315444736
SendGrad,1703820792.335967,1703820792.5432243,0.20725727081298828,2,33449565696,18575864832
RecvActivation,1703820792.5434916,1703820792.5663023,0.022810697555541992,2,33449565696,18945887232
ForwardPass,1703820792.5670207,1703820793.1253595,0.5583388805389404,2,33449565696,21530043392
RecvGrad,1703820793.125623,1703820793.1584558,0.03283286094665527,2,33449565696,21530043392
SendActivation,1703820793.158689,1703820793.180885,0.022196054458618164,2,33449565696,21530043392
RecvActivation,1703820729.64764,1703820730.9941113,1.3464713096618652,1,22551696384,16359207424
ForwardPass,1703820730.994424,1703820732.3130991,1.3186750411987305,1,24145480192,19312921088
SendActivation,1703820732.313408,1703820732.345947,0.03253912925720215,1,24145480192,19312921088
RecvActivation,1703820732.346285,1703820732.369281,0.022995948791503906,1,24145480192,19682943488
ForwardPass,1703820732.3695178,1703820733.0279894,0.6584715843200684,1,27466922496,22635280896
SendActivation,1703820733.028326,1703820733.6076086,0.5792825222015381,1,27466922496,22635280896
