task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1703746810.8634503,1703746814.0926223,3.2291719913482666,3,26309839360,18586830848
ForwardPass,1703746814.0929441,1703746815.0584233,0.9654791355133057,3,26309839360,19690470400
SendActivation,1703746815.0587678,1703746815.073986,0.015218257904052734,3,26309839360,19690470400
RecvActivation,1703746815.0743892,1703746815.077207,0.002817869186401367,3,26309839360,19874508800
ForwardPass,1703746815.0774684,1703746815.3306096,0.2531411647796631,3,26309839360,20976051200
RecvGrad,1703746815.3308964,1703746816.8291378,1.4982414245605469,3,26309839360,21159552000
SendActivation,1703746816.8295586,1703746816.831985,0.0024263858795166016,3,26309839360,21159552000
BackwardPass,1703746816.832215,1703746817.571613,0.7393980026245117,3,28834553344,22263246848
SendGrad,1703746817.5719225,1703746817.5725522,0.0006296634674072266,3,28834553344,21894659072
RecvActivation,1703746817.5727873,1703746817.5762954,0.0035080909729003906,3,28834553344,22078697472
ForwardPass,1703746817.5765693,1703746817.8322024,0.2556331157684326,3,28834553344,23182337024
RecvGrad,1703746817.8324769,1703746817.9244556,0.09197878837585449,3,28834553344,23182337024
SendActivation,1703746817.9248142,1703746817.926884,0.002069711685180664,3,28834553344,23182337024
BackwardPass,1703746817.927101,1703746818.6566083,0.7295074462890625,3,28834553344,22264295424
SendGrad,1703746818.6569521,1703746818.8241842,0.16723203659057617,3,28834553344,21896756224
RecvActivation,1703746818.824432,1703746818.8274817,0.0030498504638671875,3,28834553344,22080794624
ForwardPass,1703746818.8277044,1703746819.080218,0.2525136470794678,3,28834553344,23182337024
RecvGrad,1703746819.0805151,1703746819.0814147,0.0008995532989501953,3,28834553344,23182337024
SendActivation,1703746819.081664,1703746819.0837035,0.0020394325256347656,3,28834553344,23182337024
BackwardPass,1703746819.0839553,1703746819.821878,0.7379226684570312,3,28834553344,22262198272
SendGrad,1703746819.822331,1703746819.8229432,0.0006122589111328125,3,28834553344,21894659072
RecvGrad,1703746819.823173,1703746820.1766386,0.35346555709838867,3,28834553344,21894659072
BackwardPass,1703746820.176866,1703746820.906683,0.7298169136047363,3,28834553344,20976617472
SendGrad,1703746820.9069893,1703746820.9122608,0.005271434783935547,3,28834553344,20609078272
ReduceTiedGrads,1703746820.9125159,1703746820.912554,3.814697265625e-05,3,28834553344,20609078272
ReduceGrads,1703746820.9127698,1703746820.9251792,0.012409448623657227,3,28834553344,20609078272
OptimizerStep,1703746820.9254208,1703746824.5884118,3.6629910469055176,3,28834553344,20609078272
RecvActivation,1703746825.6231005,1703746826.7574713,1.1343708038330078,3,28834553344,20795267584
ForwardPass,1703746826.7577264,1703746827.0202677,0.2625412940979004,3,28834553344,21896809984
SendActivation,1703746827.0205858,1703746827.0229115,0.002325773239135742,3,28834553344,21896809984
RecvActivation,1703746827.0231488,1703746827.1781611,0.1550123691558838,3,28834553344,22081896960
ForwardPass,1703746827.1783867,1703746827.4334738,0.25508713722229004,3,28834553344,23184487936
RecvGrad,1703746827.4337366,1703746828.1107554,0.6770188808441162,3,28834553344,23184487936
SendActivation,1703746828.1110535,1703746828.122823,0.011769533157348633,3,28834553344,23184487936
BackwardPass,1703746828.1230552,1703746828.862129,0.7390737533569336,3,28835655680,22266446336
SendGrad,1703746828.8624315,1703746828.863034,0.0006024837493896484,3,28835655680,21898907136
RecvActivation,1703746828.8632612,1703746828.8664062,0.003144979476928711,3,28835655680,22082945536
ForwardPass,1703746828.866635,1703746829.120317,0.25368189811706543,3,28835655680,23184487936
RecvGrad,1703746829.1205761,1703746829.2142184,0.0936422348022461,3,28835655680,23184487936
SendActivation,1703746829.214759,1703746829.2168248,0.0020656585693359375,3,28835655680,23184487936
BackwardPass,1703746829.2170439,1703746829.9559574,0.7389135360717773,3,28835655680,22265397760
SendGrad,1703746829.95625,1703746830.0652726,0.10902261734008789,3,28835655680,21896809984
RecvActivation,1703746830.0655265,1703746830.0685036,0.002977132797241211,3,28835655680,22080848384
ForwardPass,1703746830.0687304,1703746830.321516,0.25278568267822266,3,28835655680,23182390784
RecvGrad,1703746830.321768,1703746830.3226674,0.0008993148803710938,3,28835655680,23182390784
SendActivation,1703746830.3228884,1703746830.324915,0.0020265579223632812,3,28835655680,23182390784
BackwardPass,1703746830.3251412,1703746831.0632818,0.7381405830383301,3,28835655680,22264349184
SendGrad,1703746831.0635896,1703746831.0642083,0.0006186962127685547,3,28835655680,21896809984
RecvGrad,1703746831.0644462,1703746831.4185746,0.354128360748291,3,28835655680,21896809984
BackwardPass,1703746831.4188058,1703746832.1569645,0.7381587028503418,3,28835655680,20978768384
SendGrad,1703746832.157314,1703746832.1579905,0.0006763935089111328,3,28835655680,20611229184
ReduceTiedGrads,1703746832.1585052,1703746832.158546,4.076957702636719e-05,3,28835655680,20611229184
ReduceGrads,1703746832.158757,1703746832.1691532,0.010396242141723633,3,28835655680,20611229184
OptimizerStep,1703746832.1693716,1703746835.8262303,3.6568586826324463,3,28835655680,20611229184
RecvActivation,1703746835.9029648,1703746837.0396745,1.1367096900939941,3,28835655680,20795267584
ForwardPass,1703746837.0399067,1703746837.295389,0.25548219680786133,3,28835655680,21896809984
SendActivation,1703746837.2956495,1703746837.2978413,0.002191781997680664,3,28835655680,21896809984
RecvActivation,1703746837.298084,1703746837.4605353,0.16245126724243164,3,28835655680,22080848384
ForwardPass,1703746837.4607623,1703746837.713641,0.25287866592407227,3,28835655680,23183439360
RecvGrad,1703746837.7138994,1703746838.3827434,0.6688439846038818,3,28835655680,23183439360
SendActivation,1703746838.383012,1703746838.38511,0.0020978450775146484,3,28835655680,23183439360
BackwardPass,1703746838.3855925,1703746839.1162546,0.7306621074676514,3,28835655680,22265397760
SendGrad,1703746839.1165352,1703746839.1171443,0.0006091594696044922,3,28835655680,21897858560
RecvActivation,1703746839.1173632,1703746839.1205564,0.0031931400299072266,3,28835655680,22081896960
ForwardPass,1703746839.120783,1703746839.374384,0.2536008358001709,3,28835655680,23183439360
RecvGrad,1703746839.3746586,1703746839.4747005,0.10004186630249023,3,28835655680,23183439360
SendActivation,1703746839.4749331,1703746839.4770472,0.0021140575408935547,3,28835655680,23183439360
BackwardPass,1703746839.4772716,1703746840.2108064,0.7335348129272461,3,28835655680,22264349184
SendGrad,1703746840.2111092,1703746840.3204188,0.10930967330932617,3,28835655680,21896809984
RecvActivation,1703746840.3206513,1703746840.323522,0.002870798110961914,3,28835655680,22080848384
ForwardPass,1703746840.3237476,1703746840.5782156,0.2544679641723633,3,28835655680,23182390784
RecvGrad,1703746840.5785134,1703746840.579474,0.0009605884552001953,3,28835655680,23182390784
SendActivation,1703746840.580082,1703746840.582169,0.002087116241455078,3,28835655680,23182390784
BackwardPass,1703746840.582386,1703746841.3150387,0.7326526641845703,3,28835655680,22264349184
SendGrad,1703746841.315339,1703746841.3159537,0.0006146430969238281,3,28835655680,21896809984
RecvGrad,1703746841.3161974,1703746841.674728,0.35853052139282227,3,28835655680,21896809984
BackwardPass,1703746841.6749656,1703746842.4080935,0.7331278324127197,3,28835655680,20978768384
SendGrad,1703746842.4083729,1703746842.4089687,0.0005958080291748047,3,28835655680,20611229184
ReduceTiedGrads,1703746842.409204,1703746842.4092352,3.123283386230469e-05,3,28835655680,20611229184
ReduceGrads,1703746842.40946,1703746842.4197612,0.01030111312866211,3,28835655680,20611229184
OptimizerStep,1703746842.4199817,1703746846.0565786,3.636596918106079,3,28835655680,20611229184
RecvActivation,1703746846.1329417,1703746847.2745044,1.1415627002716064,3,28835655680,20795267584
ForwardPass,1703746847.2747636,1703746847.5278616,0.2530980110168457,3,28835655680,21896809984
SendActivation,1703746847.5281599,1703746847.530823,0.002663135528564453,3,28835655680,21896809984
RecvActivation,1703746847.5310585,1703746847.6957767,0.1647181510925293,3,28835655680,22080848384
ForwardPass,1703746847.6960268,1703746847.9500837,0.2540569305419922,3,28835655680,23182390784
RecvGrad,1703746847.9503412,1703746848.6205804,0.6702392101287842,3,28835655680,23182390784
SendActivation,1703746848.6208837,1703746848.6229825,0.0020987987518310547,3,28835655680,23182390784
BackwardPass,1703746848.623203,1703746849.3559937,0.7327907085418701,3,28835655680,22264349184
SendGrad,1703746849.356298,1703746849.3569756,0.0006775856018066406,3,28835655680,21896809984
RecvActivation,1703746849.3572352,1703746849.360537,0.003301858901977539,3,28835655680,22080848384
ForwardPass,1703746849.360761,1703746849.6167104,0.2559494972229004,3,28835655680,23182390784
RecvGrad,1703746849.6169581,1703746849.7150886,0.09813046455383301,3,28835655680,23182390784
SendActivation,1703746849.7153215,1703746849.7173636,0.002042055130004883,3,28835655680,23182390784
BackwardPass,1703746849.7178957,1703746850.4509213,0.7330255508422852,3,28835655680,22264349184
SendGrad,1703746850.4512599,1703746850.5642319,0.11297202110290527,3,28835655680,21896809984
RecvActivation,1703746850.564464,1703746850.567379,0.002914905548095703,3,28835655680,22080848384
ForwardPass,1703746850.567651,1703746850.8230815,0.2554304599761963,3,28835655680,23182390784
RecvGrad,1703746850.8233416,1703746850.824254,0.0009124279022216797,3,28835655680,23182390784
SendActivation,1703746850.8244798,1703746850.8265712,0.0020914077758789062,3,28835655680,23182390784
RecvActivation,1703746810.8691025,1703746813.1068468,2.2377443313598633,2,31571807232,22229731840
ForwardPass,1703746813.1071262,1703746814.072801,0.965674877166748,2,31571807232,23516872192
SendActivation,1703746814.0731912,1703746814.092062,0.018870830535888672,2,31571807232,23516872192
RecvActivation,1703746814.0923707,1703746814.0950994,0.002728700637817383,2,31571807232,23700910592
ForwardPass,1703746814.0953598,1703746814.4026563,0.3072965145111084,2,31571807232,24985953792
SendActivation,1703746814.402913,1703746815.0766456,0.6737325191497803,2,31571807232,24985953792
RecvActivation,1703746815.0768945,1703746815.079561,0.002666473388671875,2,31571807232,25169992192
ForwardPass,1703746815.0798068,1703746815.3844752,0.3046684265136719,2,31571807232,26455035392
RecvGrad,1703746815.3847716,1703746817.5730164,2.1882448196411133,2,31571807232,26638536192
SendActivation,1703746817.5734859,1703746817.5757308,0.0022449493408203125,2,31571807232,26638536192
BackwardPass,1703746817.5759625,1703746818.5087368,0.9327743053436279,2,34535852032,27963496960
SendGrad,1703746818.5090551,1703746818.5097032,0.0006480216979980469,2,34535852032,27594909184
RecvActivation,1703746818.5099308,1703746818.5137508,0.0038199424743652344,2,34535852032,27778947584
ForwardPass,1703746818.513991,1703746818.8232775,0.30928635597229004,2,34535852032,29067136512
RecvGrad,1703746818.8235657,1703746818.8244822,0.0009164810180664062,2,34535852032,29067136512
SendActivation,1703746818.82473,1703746818.8269248,0.0021948814392089844,2,34535852032,29067136512
