task,start_time,end_time,duration,rank,max_mem,alloc_mem
LoadMicroBatch,1704689321.6911683,1704689321.691338,0.0001697540283203125,0,13941854720,13941698048
ForwardPass,1704689321.6916773,1704689323.011593,1.319915771484375,0,15799241216,14940981760
SendActivation,1704689323.011969,1704689323.2146952,0.20272612571716309,0,15799241216,14940981760
LoadMicroBatch,1704689323.2150652,1704689323.2152355,0.00017023086547851562,0,15799241216,14941365760
ForwardPass,1704689323.2155552,1704689323.5743167,0.3587615489959717,0,16790389248,15931081216
SendActivation,1704689323.5746675,1704689324.8636556,1.2889881134033203,0,16790389248,15931081216
LoadMicroBatch,1704689324.8640277,1704689324.864234,0.00020623207092285156,0,16790389248,15931465216
ForwardPass,1704689324.864526,1704689325.2234607,0.3589346408843994,0,17781537280,16923277824
RecvGrad,1704689325.2238295,1704689328.8268862,3.6030566692352295,0,17781537280,16988813824
SendActivation,1704689328.8272445,1704689329.0135136,0.18626904487609863,0,17781537280,16988813824
BackwardPass,1704689329.0138507,1704689330.1292393,1.1153886318206787,0,19919133696,17557003776
LoadMicroBatch,1704689330.1296287,1704689330.1297963,0.00016760826110839844,0,19919133696,17557003776
ForwardPass,1704689330.1300883,1704689330.4913664,0.36127805709838867,0,19919133696,18544622080
RecvGrad,1704689330.4917352,1704689331.1373339,0.6455986499786377,0,19919133696,18544622080
SendActivation,1704689331.1376967,1704689331.3242831,0.1865863800048828,0,19919133696,18544622080
BackwardPass,1704689331.324645,1704689332.4376345,1.1129894256591797,0,19919133696,17554382336
RecvGrad,1704689332.438023,1704689333.4483752,1.0103521347045898,0,19919133696,17554382336
BackwardPass,1704689333.4487455,1704689334.5634835,1.1147379875183105,0,19919133696,16561521152
RecvGrad,1704689334.563869,1704689334.9573085,0.39343953132629395,0,19919133696,16561521152
BackwardPass,1704689334.95766,1704689336.0696447,1.1119847297668457,0,19919133696,15574951424
ReduceTiedGrads,1704689336.0700054,1704689336.0700402,3.4809112548828125e-05,0,19919133696,15574951424
ReduceGrads,1704689336.0703363,1704689336.0871913,0.01685500144958496,0,19919133696,15574951424
OptimizerStep,1704689336.0875247,1704689336.513449,0.42592430114746094,0,21769938432,15574951424
LoadMicroBatch,1704689336.9988687,1704689336.9990153,0.00014662742614746094,0,21769938432,15576487936
ForwardPass,1704689336.9993849,1704689337.4019651,0.40258026123046875,0,21769938432,16565154816
SendActivation,1704689337.4023366,1704689337.5883029,0.18596625328063965,0,21769938432,16565154816
LoadMicroBatch,1704689337.5886686,1704689337.5888402,0.000171661376953125,0,21769938432,16565154816
ForwardPass,1704689337.5891356,1704689337.9519432,0.3628075122833252,0,21769938432,17555918848
SendActivation,1704689337.9523034,1704689338.34969,0.3973865509033203,0,21769938432,17555918848
LoadMicroBatch,1704689338.3500485,1704689338.3502233,0.0001747608184814453,0,21769938432,17555918848
ForwardPass,1704689338.3509014,1704689338.7123637,0.3614623546600342,0,21769938432,18546682880
RecvGrad,1704689338.7127285,1704689340.9280605,2.21533203125,0,21769938432,18546682880
SendActivation,1704689340.9284585,1704689341.1143446,0.18588614463806152,0,21769938432,18546682880
BackwardPass,1704689341.114686,1704689342.26502,1.1503338813781738,0,21769938432,17556967424
LoadMicroBatch,1704689342.2654414,1704689342.2656293,0.00018787384033203125,0,21769938432,17556967424
ForwardPass,1704689342.2659428,1704689342.6306653,0.36472249031066895,0,21769938432,18545634304
RecvGrad,1704689342.6310706,1704689343.2522876,0.6212170124053955,0,21769938432,18545634304
