task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1704634020.9535902,1704634021.9547758,1.001185655593872,1,21443386880,14979124224
LoadMicroBatch,1704634021.9552119,1704634021.9554608,0.00024890899658203125,1,21443386880,14979508224
ForwardPass,1704634021.9559934,1704634022.6432579,0.6872644424438477,1,21443386880,18485605888
BackwardPass,1704634022.6437383,1704634023.774506,1.130767822265625,1,21443386880,17804097024
SendGrad,1704634023.7749808,1704634024.0235267,0.24854588508605957,1,21443386880,17803713024
RecvActivation,1704634024.024055,1704634024.26531,0.2412550449371338,1,21443386880,17869633024
LoadMicroBatch,1704634024.2657862,1704634024.2660306,0.00024437904357910156,1,21443386880,17870017024
ForwardPass,1704634024.266413,1704634024.6373513,0.3709383010864258,1,22389956608,21364449280
BackwardPass,1704634024.6378434,1704634025.760811,1.1229677200317383,1,22389956608,19026456576
SendGrad,1704634025.761329,1704634026.0570548,0.29572582244873047,1,22389956608,19026072576
RecvActivation,1704634026.0575788,1704634026.3019793,0.2444005012512207,1,22389956608,19091992576
LoadMicroBatch,1704634026.3024552,1704634026.3027627,0.0003075599670410156,1,22389956608,19091992576
ForwardPass,1704634026.3031335,1704634026.6758616,0.3727281093597412,1,23610883584,21362876928
BackwardPass,1704634026.6764045,1704634027.79352,1.1171154975891113,1,23610883584,19028554240
SendGrad,1704634027.7940516,1704634028.0883687,0.29431700706481934,1,23610883584,19028170240
RecvActivation,1704634028.0888565,1704634028.3313153,0.24245882034301758,1,23610883584,19094090240
LoadMicroBatch,1704634028.331805,1704634028.3321047,0.00029969215393066406,1,23610883584,19094090240
ForwardPass,1704634028.332497,1704634028.7049212,0.3724243640899658,1,23614029824,21366023168
BackwardPass,1704634028.705481,1704634029.8297148,1.1242337226867676,1,23614029824,19029603328
SendGrad,1704634029.830253,1704634030.0265512,0.19629836082458496,1,23614029824,19029219328
ReduceTiedGrads,1704634030.026993,1704634030.027054,6.103515625e-05,1,23614029824,19029219328
ReduceGrads,1704634030.0274076,1704634030.043609,0.016201257705688477,1,23614029824,19029219328
OptimizerStep,1704634030.0445492,1704634031.4396641,1.3951148986816406,1,25626859520,19029219328
RecvActivation,1704634031.7635376,1704634032.3836615,0.6201238632202148,1,25626859520,19096673792
LoadMicroBatch,1704634032.3841577,1704634032.3844495,0.0002918243408203125,1,25626859520,19096673792
ForwardPass,1704634032.384886,1704634032.7565026,0.3716166019439697,1,25626859520,21367558144
BackwardPass,1704634032.7569826,1704634033.8803115,1.1233289241790771,1,25626859520,19031138304
SendGrad,1704634033.8808007,1704634034.0770524,0.19625163078308105,1,25626859520,19030754304
RecvActivation,1704634034.077497,1704634034.3222861,0.24478912353515625,1,25626859520,19096674304
LoadMicroBatch,1704634034.322721,1704634034.3229988,0.0002777576446533203,1,25626859520,19096674304
ForwardPass,1704634034.3233712,1704634034.6973135,0.37394237518310547,1,25626859520,21367558656
BackwardPass,1704634034.6978147,1704634035.821534,1.1237192153930664,1,25626859520,19029041664
SendGrad,1704634035.822039,1704634036.112538,0.290499210357666,1,25626859520,19028657664
RecvActivation,1704634036.1129498,1704634036.3555033,0.2425534725189209,1,25626859520,19094577664
LoadMicroBatch,1704634036.3559566,1704634036.3562038,0.0002472400665283203,1,25626859520,19094577664
ForwardPass,1704634036.3565977,1704634036.7294197,0.3728220462799072,1,25626859520,21365462016
BackwardPass,1704634036.7298813,1704634037.858722,1.128840684890747,1,25626859520,19030090752
SendGrad,1704634037.8595223,1704634038.1410983,0.28157591819763184,1,25626859520,19029706752
RecvActivation,1704634038.1415913,1704634038.3889544,0.24736309051513672,1,25626859520,19095626752
LoadMicroBatch,1704634038.3893843,1704634038.3896372,0.0002529621124267578,1,25626859520,19095626752
ForwardPass,1704634038.392091,1704634038.765469,0.37337803840637207,1,25626859520,21367559680
BackwardPass,1704634038.7659507,1704634039.8900573,1.1241066455841064,1,25626859520,19027994112
SendGrad,1704634039.8906486,1704634040.087091,0.1964423656463623,1,25626859520,19027610112
ReduceTiedGrads,1704634040.0875902,1704634040.0876544,6.413459777832031e-05,1,25626859520,19027610112
