task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1704686063.8682907,1704686065.3772595,1.5089688301086426,1,14476645888,10155672576
ForwardPass,1704686065.3775966,1704686066.655085,1.2774884700775146,1,14476645888,10957299712
SendActivation,1704686066.655436,1704686066.868259,0.21282291412353516,1,14476645888,10957299712
RecvActivation,1704686066.8686278,1704686067.0544007,0.18577289581298828,1,14476645888,11023219712
ForwardPass,1704686067.054731,1704686067.4073446,0.3526136875152588,1,14476645888,11815278592
RecvGrad,1704686067.4077227,1704686069.469603,2.061880350112915,1,14476645888,11880814592
SendActivation,1704686069.4699662,1704686069.6714473,0.20148110389709473,1,14476645888,11880814592
BackwardPass,1704686069.6717732,1704686070.7384443,1.0666711330413818,1,14707825152,12277013504
SendGrad,1704686070.738871,1704686070.9947765,0.2559053897857666,1,14707825152,12145557504
RecvActivation,1704686070.9951274,1704686071.231791,0.2366635799407959,1,14707825152,12211477504
ForwardPass,1704686071.232143,1704686071.5844555,0.3523125648498535,1,14707825152,13001439232
RecvGrad,1704686071.5848207,1704686071.774213,0.1893923282623291,1,14707825152,13001439232
SendActivation,1704686071.7745485,1704686071.9680429,0.19349431991577148,1,14707825152,13001439232
BackwardPass,1704686071.9684532,1704686073.037789,1.0693359375,1,14707825152,12273343488
SendGrad,1704686073.0381775,1704686073.2434359,0.20525836944580078,1,14707825152,12141887488
RecvActivation,1704686073.2438018,1704686073.4792068,0.23540496826171875,1,14707825152,12207807488
ForwardPass,1704686073.479614,1704686073.833648,0.3540339469909668,1,14707825152,12997769216
RecvGrad,1704686073.8340168,1704686074.0138605,0.17984366416931152,1,14707825152,12997769216
SendActivation,1704686074.0141962,1704686074.208952,0.19475579261779785,1,14707825152,12997769216
BackwardPass,1704686074.209295,1704686075.2815292,1.0722341537475586,1,14707825152,12273867776
SendGrad,1704686075.2819102,1704686075.4781716,0.19626140594482422,1,14707825152,12141363200
RecvGrad,1704686075.478518,1704686075.8602726,0.38175463676452637,1,14707825152,12141363200
BackwardPass,1704686075.8606768,1704686076.9337764,1.0730996131896973,1,14707825152,11416937472
SendGrad,1704686076.934204,1704686077.1312506,0.19704651832580566,1,14707825152,11285481472
ReduceTiedGrads,1704686077.1320667,1704686077.1321201,5.340576171875e-05,1,14707825152,11285481472
ReduceGrads,1704686077.1324215,1704686077.1419055,0.009484052658081055,1,14707825152,11285481472
OptimizerStep,1704686077.142224,1704686078.3193276,1.1771035194396973,1,15739832320,11285481472
RecvActivation,1704686078.967731,1704686079.5482917,0.5805606842041016,1,15739832320,11352937984
ForwardPass,1704686079.5486195,1704686079.9035785,0.35495901107788086,1,15739832320,12142899712
SendActivation,1704686079.9039273,1704686080.1013584,0.19743108749389648,1,15739832320,12142899712
RecvActivation,1704686080.1017268,1704686080.3012872,0.19956040382385254,1,15739832320,12208819712
ForwardPass,1704686080.3016074,1704686080.6561775,0.3545701503753662,1,15739832320,13001927168
RecvGrad,1704686080.6565444,1704686081.8006544,1.1441099643707275,1,15739832320,13001927168
SendActivation,1704686081.8015845,1704686081.9944043,0.19281983375549316,1,15739832320,13001927168
BackwardPass,1704686081.994728,1704686083.0669532,1.0722250938415527,1,15739832320,12277501440
SendGrad,1704686083.0673504,1704686083.2653472,0.1979968547821045,1,15739832320,12146045440
RecvActivation,1704686083.2657335,1704686083.5097027,0.24396920204162598,1,15739832320,12211965440
ForwardPass,1704686083.5100827,1704686083.865775,0.35569238662719727,1,15739832320,13000878592
RecvGrad,1704686083.8661535,1704686084.0461483,0.17999482154846191,1,15739832320,13000878592
SendActivation,1704686084.0464866,1704686084.23889,0.19240331649780273,1,15739832320,13000878592
BackwardPass,1704686084.2392333,1704686085.3137357,1.0745024681091309,1,15739832320,12273307136
SendGrad,1704686085.314125,1704686085.5124042,0.19827914237976074,1,15739832320,12141851136
RecvActivation,1704686085.5127475,1704686085.7546847,0.24193716049194336,1,15739832320,12207771136
ForwardPass,1704686085.755467,1704686086.1114016,0.35593461990356445,1,15739832320,12997732864
RecvGrad,1704686086.11181,1704686086.2918174,0.1800074577331543,1,15739832320,12997732864
SendActivation,1704686086.2921646,1704686086.4866989,0.1945343017578125,1,15739832320,12997732864
BackwardPass,1704686086.4870894,1704686087.5612626,1.0741732120513916,1,15739832320,12274355712
SendGrad,1704686087.5616643,1704686087.7586217,0.19695734977722168,1,15739832320,12142899712
RecvGrad,1704686087.7590113,1704686088.1320198,0.37300848960876465,1,15739832320,12142899712
BackwardPass,1704686088.1323593,1704686089.2073536,1.0749943256378174,1,15739832320,11419522560
SendGrad,1704686089.20783,1704686089.4050534,0.19722342491149902,1,15739832320,11288066560
ReduceTiedGrads,1704686089.4054253,1704686089.4054894,6.413459777832031e-05,1,15739832320,11288066560
ReduceGrads,1704686089.4057958,1704686089.4139826,0.008186817169189453,1,15739832320,11288066560
OptimizerStep,1704686089.414307,1704686090.6790571,1.2647500038146973,1,15742417408,11288066560
RecvActivation,1704686090.8699756,1704686091.488432,0.6184563636779785,1,15742417408,11353986560
ForwardPass,1704686091.4887812,1704686091.8449028,0.3561215400695801,1,15742417408,12143948288
SendActivation,1704686091.8452659,1704686092.0427842,0.19751834869384766,1,15742417408,12143948288
RecvActivation,1704686092.043182,1704686092.2390623,0.19588041305541992,1,15742417408,12209868288
ForwardPass,1704686092.2393985,1704686092.5940244,0.354625940322876,1,15742417408,13002975744
RecvGrad,1704686092.5943727,1704686093.7428281,1.1484553813934326,1,15742417408,13002975744
SendActivation,1704686093.7433126,1704686093.9407353,0.19742274284362793,1,15742417408,13002975744
BackwardPass,1704686093.9411192,1704686095.012421,1.0713016986846924,1,15742417408,12277501440
SendGrad,1704686095.0128324,1704686095.2077467,0.1949143409729004,1,15742417408,12146045440
RecvActivation,1704686095.2081177,1704686095.4539735,0.24585580825805664,1,15742417408,12211965440
ForwardPass,1704686095.454307,1704686095.8090172,0.35471010208129883,1,15742417408,13001927168
RecvGrad,1704686095.809365,1704686095.9897525,0.1803874969482422,1,15742417408,13001927168
SendActivation,1704686095.9900723,1704686096.1868062,0.19673395156860352,1,15742417408,13001927168
BackwardPass,1704686096.1871486,1704686097.2575436,1.0703949928283691,1,15742417408,12274355712
SendGrad,1704686097.2579427,1704686097.4538872,0.19594454765319824,1,15742417408,12142899712
RecvActivation,1704686097.4542265,1704686097.699377,0.24515056610107422,1,15742417408,12208819712
ForwardPass,1704686097.6997147,1704686098.0556874,0.3559727668762207,1,15742417408,12998781440
RecvGrad,1704686098.0617418,1704686098.2420614,0.18031954765319824,1,15742417408,12998781440
SendActivation,1704686098.2424169,1704686098.4479613,0.20554447174072266,1,15742417408,12998781440
BackwardPass,1704686098.4483278,1704686099.5189002,1.0705723762512207,1,15742417408,12275404288
SendGrad,1704686099.5193284,1704686099.7178276,0.19849920272827148,1,15742417408,12142899712
RecvGrad,1704686099.7182102,1704686100.0876777,0.36946749687194824,1,15742417408,12142899712
BackwardPass,1704686100.0880272,1704686101.1599135,1.0718863010406494,1,15742417408,11418473984
SendGrad,1704686101.1603632,1704686101.3608315,0.2004683017730713,1,15742417408,11287017984
ReduceTiedGrads,1704686101.361244,1704686101.3612852,4.124641418457031e-05,1,15742417408,11287017984
ReduceGrads,1704686101.3615463,1704686101.3696156,0.008069276809692383,1,15742417408,11287017984
OptimizerStep,1704686101.369925,1704686102.6355314,1.26560640335083,1,15742417408,11287017984
RecvActivation,1704686102.8256435,1704686103.4469485,0.621304988861084,1,15742417408,11352937984
ForwardPass,1704686103.447856,1704686103.8042185,0.35636258125305176,1,15742417408,12140802560
SendActivation,1704686103.8045802,1704686104.0009089,0.19632863998413086,1,15742417408,12140802560
RecvActivation,1704686104.001334,1704686104.2010188,0.19968485832214355,1,15742417408,12206722560
ForwardPass,1704686104.2013595,1704686104.555234,0.35387444496154785,1,15742417408,12999830016
RecvGrad,1704686104.5556028,1704686105.708042,1.1524391174316406,1,15742417408,12999830016
SendActivation,1704686105.7084177,1704686105.9077487,0.19933104515075684,1,15742417408,12999830016
BackwardPass,1704686105.9080982,1704686106.9770343,1.0689361095428467,1,15742417408,12277501440
SendGrad,1704686106.9774396,1704686107.1769862,0.19954657554626465,1,15742417408,12146045440
RecvActivation,1704686107.177329,1704686107.4180217,0.2406926155090332,1,15742417408,12211965440
ForwardPass,1704686107.4188738,1704686107.773824,0.3549501895904541,1,15742417408,13000878592
RecvGrad,1704686107.774193,1704686107.9544852,0.18029212951660156,1,15742417408,13000878592
SendActivation,1704686107.9548259,1704686108.1527886,0.19796276092529297,1,15742417408,13000878592
BackwardPass,1704686108.153126,1704686109.223164,1.070038080215454,1,15742417408,12273307136
SendGrad,1704686109.223579,1704686109.420532,0.19695305824279785,1,15742417408,12141851136
RecvActivation,1704686109.420896,1704686109.6641736,0.24327754974365234,1,15742417408,12207771136
ForwardPass,1704686109.6645477,1704686110.019594,0.35504627227783203,1,15742417408,12997732864
RecvGrad,1704686110.0199704,1704686110.200019,0.18004846572875977,1,15742417408,12997732864
SendActivation,1704686110.2004764,1704686110.3948793,0.19440293312072754,1,15742417408,12997732864
BackwardPass,1704686110.3961132,1704686111.466993,1.0708799362182617,1,15742417408,12274355712
SendGrad,1704686111.4680116,1704686111.6642284,0.19621682167053223,1,15742417408,12142899712
RecvGrad,1704686111.6645947,1704686112.0511575,0.3865628242492676,1,15742417408,12142899712
BackwardPass,1704686112.0515625,1704686113.1220937,1.0705311298370361,1,15742417408,11418473984
SendGrad,1704686113.1225019,1704686113.3121252,0.18962335586547852,1,15742417408,11287017984
ReduceTiedGrads,1704686113.3125982,1704686113.3126476,4.935264587402344e-05,1,15742417408,11287017984
ReduceGrads,1704686113.3129401,1704686113.3210008,0.008060693740844727,1,15742417408,11287017984
OptimizerStep,1704686113.3213327,1704686114.5968432,1.275510549545288,1,15742417408,11287017984
RecvActivation,1704686114.7957826,1704686115.4219985,0.626215934753418,1,15742417408,11352937984
ForwardPass,1704686115.4224195,1704686115.7778728,0.3554532527923584,1,15742417408,12142899712
SendActivation,1704686115.7782476,1704686115.9838495,0.20560193061828613,1,15742417408,12142899712
RecvActivation,1704686115.984834,1704686116.1783488,0.19351482391357422,1,15742417408,12208819712
ForwardPass,1704686116.1786964,1704686116.5334628,0.3547663688659668,1,15742417408,13001927168
RecvGrad,1704686116.5338411,1704686117.6871877,1.1533465385437012,1,15742417408,13001927168
SendActivation,1704686117.6877167,1704686117.8863695,0.1986527442932129,1,15742417408,13001927168
BackwardPass,1704686117.886734,1704686118.955379,1.0686450004577637,1,15742417408,12277501440
SendGrad,1704686118.955791,1704686119.1543741,0.19858312606811523,1,15742417408,12146045440
RecvActivation,1704686119.1547413,1704686119.3964117,0.2416703701019287,1,15742417408,12211965440
ForwardPass,1704686119.3967779,1704686119.7518706,0.35509276390075684,1,15742417408,13002975744
RecvGrad,1704686119.752243,1704686119.9325042,0.18026113510131836,1,15742417408,13002975744
SendActivation,1704686119.9328828,1704686120.1312232,0.19834041595458984,1,15742417408,13002975744
BackwardPass,1704686120.1315928,1704686121.2017195,1.0701267719268799,1,15742417408,12275404288
SendGrad,1704686121.2021677,1704686121.3942826,0.19211483001708984,1,15742417408,12143948288
RecvActivation,1704686121.3946497,1704686121.643925,0.24927520751953125,1,15742417408,12209868288
ForwardPass,1704686121.644381,1704686121.99982,0.3554389476776123,1,15742417408,12999830016
RecvGrad,1704686122.0001986,1704686122.1800735,0.17987489700317383,1,15742417408,12999830016
SendActivation,1704686122.180435,1704686122.3808744,0.200439453125,1,15742417408,12999830016
BackwardPass,1704686122.3812296,1704686123.4514732,1.0702435970306396,1,15742417408,12274355712
SendGrad,1704686123.4518983,1704686123.642102,0.19020366668701172,1,15742417408,12142899712
RecvGrad,1704686123.642597,1704686124.0340853,0.39148831367492676,1,15742417408,12142899712
BackwardPass,1704686124.034437,1704686125.1057134,1.0712764263153076,1,15742417408,11418473984
SendGrad,1704686125.1061585,1704686125.3021142,0.19595575332641602,1,15742417408,11287017984
ReduceTiedGrads,1704686125.3024743,1704686125.302536,6.175041198730469e-05,1,15742417408,11287017984
ReduceGrads,1704686125.3028133,1704686125.3109381,0.008124828338623047,1,15742417408,11287017984
