task,start_time,end_time,duration,rank,max_mem,alloc_mem
LoadMicroBatch,1704686912.8626041,1704686912.8627727,0.0001685619354248047,0,11205069824,11204913152
ForwardPass,1704686912.863118,1704686914.1248622,1.2617442607879639,0,12863751168,12006540288
SendActivation,1704686914.1252346,1704686914.331778,0.2065434455871582,0,12863751168,12006540288
LoadMicroBatch,1704686914.3321555,1704686914.3323298,0.0001742839813232422,0,12863751168,12006924288
ForwardPass,1704686914.3326485,1704686914.6126988,0.28005027770996094,0,13657242624,12800031744
SendActivation,1704686914.6130524,1704686915.8014114,1.188359022140503,0,13657242624,12800031744
LoadMicroBatch,1704686915.8017957,1704686915.8019974,0.00020170211791992188,0,13657242624,12800415744
ForwardPass,1704686915.8022969,1704686916.082833,0.2805361747741699,0,14450734080,13593523200
RecvGrad,1704686916.0832117,1704686919.2629156,3.179703950881958,0,14450734080,13659059200
SendActivation,1704686919.263283,1704686919.4543097,0.1910266876220703,0,14450734080,13659059200
BackwardPass,1704686919.454656,1704686920.3278825,0.8732266426086426,0,16486069760,14119745536
LoadMicroBatch,1704686920.3282685,1704686920.3284323,0.00016379356384277344,0,16486069760,14119745536
ForwardPass,1704686920.3287528,1704686920.611728,0.2829751968383789,0,16486069760,14910755840
RecvGrad,1704686920.6120853,1704686921.273163,0.6610777378082275,0,16486069760,14910755840
SendActivation,1704686921.2734926,1704686921.4646156,0.19112300872802734,0,16486069760,14910755840
BackwardPass,1704686921.4650116,1704686922.3406255,0.8756139278411865,0,16486069760,14117648384
RecvGrad,1704686922.3410172,1704686923.2663631,0.9253458976745605,0,16486069760,14117648384
BackwardPass,1704686923.2667353,1704686924.1399732,0.8732378482818604,0,16486069760,13325065216
RecvGrad,1704686924.1403506,1704686924.6425781,0.5022275447845459,0,16486069760,13325065216
BackwardPass,1704686924.6429691,1704686925.5170617,0.8740925788879395,0,16486069760,12533530624
ReduceTiedGrads,1704686925.5174346,1704686925.5174747,4.00543212890625e-05,0,16486069760,12533530624
ReduceGrads,1704686925.5177643,1704686925.5314765,0.013712167739868164,0,16486069760,12533530624
OptimizerStep,1704686925.5318246,1704686925.7032425,0.1714179515838623,0,17512169472,12533530624
LoadMicroBatch,1704686926.3692007,1704686926.3693516,0.00015091896057128906,0,17512169472,12535067136
ForwardPass,1704686926.3696978,1704686926.6524184,0.28272056579589844,0,17512169472,13325028864
SendActivation,1704686926.6527839,1704686926.8435202,0.1907362937927246,0,17512169472,13325028864
LoadMicroBatch,1704686926.8438814,1704686926.8440573,0.00017595291137695312,0,17512169472,13325028864
ForwardPass,1704686926.8443587,1704686927.1265213,0.2821626663208008,0,17512169472,14117087744
SendActivation,1704686927.126882,1704686927.5224764,0.39559435844421387,0,17512169472,14117087744
LoadMicroBatch,1704686927.5228424,1704686927.5230167,0.0001742839813232422,0,17512169472,14117087744
ForwardPass,1704686927.5233257,1704686927.8058987,0.28257298469543457,0,17512169472,14909146624
RecvGrad,1704686927.806256,1704686930.104692,2.298435926437378,0,17512169472,14909146624
SendActivation,1704686930.1051095,1704686930.2914326,0.1863231658935547,0,17512169472,14909146624
