task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1704885411.9284518,1704885413.0007873,1.0723354816436768,1,11846816256,8335343616
ForwardPass,1704885413.0011687,1704885414.2206347,1.219465970993042,1,11846816256,9004850176
SendActivation,1704885414.2210248,1704885414.4278102,0.2067854404449463,1,11846816256,9004850176
RecvActivation,1704885414.428201,1704885414.6132343,0.18503332138061523,1,11846816256,9070770176
ForwardPass,1704885414.6136076,1704885415.0024881,0.38888049125671387,1,11846816256,9730708480
SendActivation,1704885415.0028667,1704885416.029483,1.0266163349151611,1,11846816256,9730708480
RecvActivation,1704885416.0298898,1704885416.214875,0.18498516082763672,1,11846816256,9796628480
ForwardPass,1704885416.2152293,1704885416.6010108,0.38578152656555176,1,11846816256,10457615360
RecvGrad,1704885416.6014051,1704885419.9561665,3.3547613620758057,1,11846816256,10523151360
SendActivation,1704885419.9566033,1704885420.1484382,0.1918349266052246,1,11846816256,10523151360
BackwardPass,1704885420.1488144,1704885421.336162,1.187347650527954,1,13278842368,10848030720
SendGrad,1704885421.336609,1704885421.5918276,0.2552187442779541,1,13278842368,10716574720
RecvActivation,1704885421.5921924,1704885421.8246758,0.2324833869934082,1,13278842368,10782494720
ForwardPass,1704885421.8250864,1704885422.2141926,0.38910627365112305,1,13278842368,11441384448
RecvGrad,1704885422.214573,1704885422.4267504,0.21217751502990723,1,13278842368,11441384448
SendActivation,1704885422.4270837,1704885422.6187265,0.19164276123046875,1,13278842368,11441384448
BackwardPass,1704885422.6190884,1704885423.8086612,1.189572811126709,1,13278842368,10845933568
SendGrad,1704885423.8090727,1704885424.004849,0.19577622413635254,1,13278842368,10714477568
RecvGrad,1704885424.0052218,1704885424.8251235,0.819901704788208,1,13278842368,10714477568
BackwardPass,1704885424.8254654,1704885426.0165977,1.1911323070526123,1,13278842368,10119026688
SendGrad,1704885426.0170062,1704885426.2125738,0.19556760787963867,1,13278842368,9987570688
RecvGrad,1704885426.2129517,1704885426.4322953,0.2193436622619629,1,13278842368,9987570688
BackwardPass,1704885426.4326494,1704885427.6248922,1.1922428607940674,1,13278842368,9394216960
SendGrad,1704885427.6252916,1704885427.82041,0.19511842727661133,1,13278842368,9262760960
ReduceTiedGrads,1704885427.8207552,1704885427.8207953,4.00543212890625e-05,1,13278842368,9262760960
ReduceGrads,1704885427.8215044,1704885427.8381095,0.016605138778686523,1,13278842368,9262760960
OptimizerStep,1704885427.8384273,1704885429.3291168,1.4906895160675049,1,13278842368,9262760960
RecvActivation,1704885429.89352,1704885430.4558299,0.562309741973877,1,13278842368,9330217472
ForwardPass,1704885430.4562151,1704885430.8465226,0.3903074264526367,1,13278842368,9989107200
