task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1704884210.2684774,1704884214.4549043,4.186426877975464,3,8287947264,5871187968
LoadMicroBatch,1704884214.4553127,1704884214.455529,0.0002162456512451172,3,8287947264,5871571968
ForwardPass,1704884214.4558382,1704884215.6312284,1.1753902435302734,3,9748865536,8723358208
BackwardPass,1704884215.631619,1704884216.3943,0.7626810073852539,3,10774245376,7683678720
SendGrad,1704884216.3946939,1704884216.6363513,0.24165749549865723,3,10774245376,7683294720
RecvActivation,1704884216.6376064,1704884216.8814206,0.24381422996520996,3,10774245376,7749214720
LoadMicroBatch,1704884216.8817894,1704884216.8819795,0.0001900196075439453,3,10774245376,7749598720
ForwardPass,1704884216.882293,1704884217.1468594,0.26456642150878906,3,11617324032,10591816704
BackwardPass,1704884217.1472466,1704884217.9091418,0.7618951797485352,3,12004600320,8906562560
SendGrad,1704884217.909576,1704884218.5679085,0.6583325862884521,3,12004600320,8906178560
RecvActivation,1704884218.5682893,1704884218.8093214,0.24103212356567383,3,12004600320,8972098560
LoadMicroBatch,1704884218.8096757,1704884218.8098576,0.0001819133758544922,3,12004600320,8972098560
ForwardPass,1704884218.8101535,1704884219.0764277,0.26627421379089355,3,12840872448,10592865792
BackwardPass,1704884219.076844,1704884219.8413875,0.7645435333251953,3,12840872448,8906563072
SendGrad,1704884219.841816,1704884220.668507,0.8266911506652832,3,12840872448,8906179072
RecvActivation,1704884220.668941,1704884220.9119961,0.24305510520935059,3,12840872448,8972099072
LoadMicroBatch,1704884220.9123695,1704884220.9125664,0.00019693374633789062,3,12840872448,8972099072
ForwardPass,1704884220.912881,1704884221.1797743,0.2668933868408203,3,12840872960,10592866304
BackwardPass,1704884221.180198,1704884221.9468455,0.7666475772857666,3,12840872960,8906563584
SendGrad,1704884221.947257,1704884222.1419427,0.194685697555542,3,12840872960,8906179584
ReduceTiedGrads,1704884222.1427393,1704884222.142779,3.981590270996094e-05,3,12840872960,8906179584
ReduceGrads,1704884222.1430755,1704884222.1817253,0.038649797439575195,3,12840872960,8906179584
OptimizerStep,1704884222.1822844,1704884225.7218888,3.539604425430298,3,12840872960,8906179584
RecvActivation,1704884226.4296703,1704884228.056119,1.626448631286621,3,12840872960,8973634048
LoadMicroBatch,1704884228.056516,1704884228.0567374,0.00022149085998535156,3,12840872960,8973634048
ForwardPass,1704884228.0570464,1704884228.4204319,0.3633854389190674,3,12842407936,10594401280
BackwardPass,1704884228.4208386,1704884229.1916356,0.7707970142364502,3,12842407936,8908098560
SendGrad,1704884229.1921477,1704884229.3869967,0.19484901428222656,3,12842407936,8907714560
RecvActivation,1704884229.3881,1704884229.6323593,0.24425935745239258,3,12842407936,8973634560
LoadMicroBatch,1704884229.6327326,1704884229.6329095,0.00017690658569335938,3,12842407936,8973634560
ForwardPass,1704884229.6336951,1704884229.9057324,0.2720372676849365,3,12842408448,10594401792
BackwardPass,1704884229.9061258,1704884230.6756382,0.769512414932251,3,12842408448,8908099072
SendGrad,1704884230.676061,1704884231.269692,0.5936310291290283,3,12842408448,8907715072
RecvActivation,1704884231.270147,1704884231.515495,0.2453479766845703,3,12842408448,8973635072
LoadMicroBatch,1704884231.5158658,1704884231.5160618,0.00019598007202148438,3,12842408448,8973635072
ForwardPass,1704884231.5163767,1704884231.7859385,0.269561767578125,3,12842408960,10594402304
BackwardPass,1704884231.7863772,1704884232.5556147,0.7692375183105469,3,12842408960,8908099584
SendGrad,1704884232.5560477,1704884233.3403862,0.7843384742736816,3,12842408960,8907715584
RecvActivation,1704884233.3408177,1704884233.5871456,0.24632787704467773,3,12842408960,8973635584
LoadMicroBatch,1704884233.5875216,1704884233.587712,0.00019049644470214844,3,12842408960,8973635584
ForwardPass,1704884233.5884314,1704884233.8591363,0.270704984664917,3,12842409472,10594402816
BackwardPass,1704884233.8595388,1704884234.6277995,0.7682607173919678,3,12842409472,8908100096
SendGrad,1704884234.628218,1704884234.8226929,0.1944749355316162,3,12842409472,8907716096
ReduceTiedGrads,1704884234.8231122,1704884234.8231676,5.53131103515625e-05,3,12842409472,8907716096
ReduceGrads,1704884234.8234677,1704884234.8639803,0.0405125617980957,3,12842409472,8907716096
OptimizerStep,1704884234.8644483,1704884238.4236925,3.559244155883789,3,12842409472,8907716096
RecvActivation,1704884238.4644358,1704884240.2281597,1.7637238502502441,3,12842409472,8973634048
LoadMicroBatch,1704884240.2285602,1704884240.2287607,0.00020051002502441406,3,12842409472,8973634048
ForwardPass,1704884240.2290795,1704884240.5921266,0.36304712295532227,3,12842409472,10593352704
BackwardPass,1704884240.5925672,1704884241.361396,0.7688288688659668,3,12842409472,8908098560
SendGrad,1704884241.3622534,1704884241.556758,0.1945044994354248,3,12842409472,8907714560
RecvActivation,1704884241.5571303,1704884241.8024325,0.2453022003173828,3,12842409472,8973634560
LoadMicroBatch,1704884241.802812,1704884241.803,0.00018787384033203125,3,12842409472,8973634560
ForwardPass,1704884241.8033082,1704884242.0719757,0.26866745948791504,3,12843457024,10595450368
