task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1704633138.4559486,1704633140.873318,2.4173693656921387,2,5658117632,4050859008
LoadMicroBatch,1704633140.8739467,1704633140.874342,0.0003952980041503906,2,5658117632,4051243008
ForwardPass,1704633140.8748736,1704633142.3543468,1.4794731140136719,2,7795367424,6769860096
BackwardPass,1704633142.3549166,1704633142.8513312,0.4964146614074707,2,8820747264,5660958208
SendGrad,1704633142.8520231,1704633143.097019,0.2449958324432373,2,8820747264,5660574208
RecvActivation,1704633143.0976412,1704633143.3405764,0.2429351806640625,2,8820747264,5727542784
LoadMicroBatch,1704633143.3412275,1704633143.3416033,0.0003757476806640625,2,8820747264,5727926784
ForwardPass,1704633143.342098,1704633143.5215514,0.17945337295532227,2,9460385792,8434878464
BackwardPass,1704633143.5221756,1704633144.0207794,0.49860382080078125,2,10050053632,6885414912
SendGrad,1704633144.0214748,1704633145.5747404,1.5532655715942383,2,10050053632,6885030912
RecvActivation,1704633145.5753508,1704633145.809982,0.23463129997253418,2,10050053632,6950950912
LoadMicroBatch,1704633145.8114035,1704633145.811781,0.00037741661071777344,2,10050053632,6950950912
ForwardPass,1704633145.8122425,1704633145.9917748,0.17953228950500488,2,10683409920,8435403264
BackwardPass,1704633145.9933157,1704633146.4924417,0.49912595748901367,2,10683409920,6885284352
SendGrad,1704633146.4931505,1704633147.9892666,1.4961161613464355,2,10683409920,6884900352
RecvActivation,1704633147.9898696,1704633148.225295,0.23542547225952148,2,10683409920,6950820352
LoadMicroBatch,1704633148.2258961,1704633148.226302,0.0004057884216308594,2,10683409920,6950820352
ForwardPass,1704633148.2267861,1704633148.4060638,0.17927765846252441,2,10683409920,8434224128
BackwardPass,1704633148.4065516,1704633148.901373,0.49482131004333496,2,10683409920,6883843072
SendGrad,1704633148.9020913,1704633149.7652898,0.8631985187530518,2,10683409920,6883459072
ReduceTiedGrads,1704633149.7659645,1704633149.7660296,6.508827209472656e-05,2,10683409920,6883459072
ReduceGrads,1704633149.767073,1704633149.7750082,0.007935285568237305,2,10683409920,6883459072
OptimizerStep,1704633149.7754924,1704633152.8033113,3.0278189182281494,2,10683409920,6883459072
RecvActivation,1704633153.4691837,1704633154.7617803,1.2925965785980225,2,10683409920,6950913536
LoadMicroBatch,1704633154.7623096,1704633154.7625592,0.00024962425231933594,2,10683409920,6950913536
ForwardPass,1704633154.7630367,1704633154.9436815,0.18064475059509277,2,10685469696,8437463040
BackwardPass,1704633154.9441957,1704633155.4401462,0.49595046043395996,2,10685469696,6887475200
SendGrad,1704633155.4407258,1704633155.6348126,0.19408679008483887,2,10685469696,6887091200
RecvActivation,1704633155.6353881,1704633155.8861127,0.25072455406188965,2,10685469696,6953011200
LoadMicroBatch,1704633155.886708,1704633155.8869865,0.000278472900390625,2,10685469696,6953011200
ForwardPass,1704633155.887503,1704633156.067292,0.17978906631469727,2,10685470208,8437463552
BackwardPass,1704633156.0684497,1704633156.5648777,0.4964280128479004,2,10685470208,6887475712
SendGrad,1704633156.5655844,1704633158.0563776,1.490793228149414,2,10685470208,6887091712
RecvActivation,1704633158.0570693,1704633158.3037813,0.24671196937561035,2,10685470208,6953011712
LoadMicroBatch,1704633158.304328,1704633158.3046086,0.00028061866760253906,2,10685470208,6953011712
ForwardPass,1704633158.3051045,1704633158.4858606,0.1807560920715332,2,10685470720,8435366912
BackwardPass,1704633158.486405,1704633158.984009,0.4976041316986084,2,10685470720,6885379072
SendGrad,1704633158.9845715,1704633160.4791875,1.4946160316467285,2,10685470720,6884995072
RecvActivation,1704633160.4798245,1704633160.7281692,0.24834465980529785,2,10685470720,6950915072
LoadMicroBatch,1704633160.7287412,1704633160.7290235,0.00028228759765625,2,10685470720,6950915072
ForwardPass,1704633160.729538,1704633160.9086797,0.17914175987243652,2,10685470720,8436416000
BackwardPass,1704633160.9098606,1704633161.4073982,0.49753761291503906,2,10685470720,6885379584
SendGrad,1704633161.4080682,1704633162.274428,0.8663597106933594,2,10685470720,6884995584
ReduceTiedGrads,1704633162.275145,1704633162.27525,0.0001049041748046875,2,10685470720,6884995584
ReduceGrads,1704633162.2757301,1704633162.2826855,0.006955385208129883,2,10685470720,6884995584
OptimizerStep,1704633162.2831798,1704633165.3035157,3.0203359127044678,2,10685470720,6884995584
RecvActivation,1704633165.3765748,1704633166.7715576,1.3949828147888184,2,10685470720,6950913536
LoadMicroBatch,1704633166.772072,1704633166.772306,0.0002338886260986328,2,10685470720,6950913536
ForwardPass,1704633166.7727432,1704633166.9534655,0.18072223663330078,2,10685470720,8436414464
BackwardPass,1704633166.953962,1704633167.4506536,0.4966914653778076,2,10685470720,6886426624
SendGrad,1704633167.4512084,1704633167.642637,0.19142866134643555,2,10685470720,6886042624
RecvActivation,1704633167.6437092,1704633167.8926432,0.24893403053283691,2,10685470720,6951962624
LoadMicroBatch,1704633167.893131,1704633167.8933756,0.0002446174621582031,2,10685470720,6951962624
ForwardPass,1704633167.8938384,1704633168.0742595,0.1804211139678955,2,10685470720,8436414976
BackwardPass,1704633168.0747647,1704633168.5751305,0.5003657341003418,2,10685470720,6886427136
SendGrad,1704633168.5756578,1704633170.0625024,1.486844539642334,2,10685470720,6886043136
RecvActivation,1704633170.063179,1704633170.3144832,0.25130414962768555,2,10685470720,6951963136
LoadMicroBatch,1704633170.3150268,1704633170.3152978,0.00027108192443847656,2,10685470720,6951963136
ForwardPass,1704633170.3157854,1704633170.4954214,0.17963600158691406,2,10685470720,8436415488
BackwardPass,1704633170.4959733,1704633170.9959738,0.5000004768371582,2,10685470720,6885379072
SendGrad,1704633170.9965312,1704633172.480913,1.4843816757202148,2,10685470720,6884995072
RecvActivation,1704633172.4820774,1704633172.7324295,0.250352144241333,2,10685470720,6950915072
LoadMicroBatch,1704633172.7329185,1704633172.7331514,0.00023293495178222656,2,10685470720,6950915072
ForwardPass,1704633172.7335715,1704633172.913447,0.17987537384033203,2,10685470720,8436416000
BackwardPass,1704633172.9139214,1704633173.412899,0.4989776611328125,2,10685470720,6885379584
SendGrad,1704633173.4134007,1704633174.2688584,0.8554577827453613,2,10685470720,6884995584
ReduceTiedGrads,1704633174.2693985,1704633174.2694402,4.172325134277344e-05,2,10685470720,6884995584
ReduceGrads,1704633174.2699213,1704633174.2766905,0.0067691802978515625,2,10685470720,6884995584
OptimizerStep,1704633174.2772143,1704633177.3032947,3.026080369949341,2,10685470720,6884995584
RecvActivation,1704633177.37536,1704633178.7929356,1.4175755977630615,2,10685470720,6950913536
LoadMicroBatch,1704633178.7936428,1704633178.7939823,0.000339508056640625,2,10685470720,6950913536
ForwardPass,1704633178.7950542,1704633178.974782,0.17972779273986816,2,10685470720,8436414464
BackwardPass,1704633178.9753182,1704633179.4744446,0.4991264343261719,2,10685470720,6885378048
SendGrad,1704633179.475127,1704633179.666757,0.19163012504577637,2,10685470720,6884994048
RecvActivation,1704633179.6675994,1704633179.9169087,0.24930930137634277,2,10685470720,6950914048
LoadMicroBatch,1704633179.9176216,1704633179.9179573,0.000335693359375,2,10685470720,6950914048
ForwardPass,1704633179.918403,1704633180.0987833,0.18038034439086914,2,10685470720,8435366400
BackwardPass,1704633180.0994546,1704633180.5972674,0.49781274795532227,2,10685470720,6885378560
SendGrad,1704633180.597976,1704633182.0937366,1.4957606792449951,2,10685470720,6884994560
RecvActivation,1704633182.0945654,1704633182.3447616,0.2501962184906006,2,10685470720,6950914560
LoadMicroBatch,1704633182.3453627,1704633182.3456655,0.0003027915954589844,2,10685470720,6950914560
ForwardPass,1704633182.3467536,1704633182.527071,0.18031740188598633,2,10685470720,8436415488
BackwardPass,1704633182.5275424,1704633183.0246208,0.49707841873168945,2,10685470720,6885379072
SendGrad,1704633183.0253468,1704633184.513333,1.4879863262176514,2,10685470720,6884995072
RecvActivation,1704633184.5142558,1704633184.7662165,0.25196075439453125,2,10685470720,6950915072
LoadMicroBatch,1704633184.7667391,1704633184.7669845,0.0002453327178955078,2,10685470720,6950915072
ForwardPass,1704633184.7674577,1704633184.9477959,0.18033814430236816,2,10685470720,8436416000
BackwardPass,1704633184.9483404,1704633185.445242,0.4969015121459961,2,10685470720,6885379584
