task,start_time,end_time,duration,rank,max_mem,alloc_mem
LoadMicroBatch,1704642054.3265693,1704642054.3267853,0.00021600723266601562,0,14847824896,14847668224
ForwardPass,1704642054.3271923,1704642055.0257406,0.6985483169555664,0,16770747392,15913536512
SendActivation,1704642055.0262053,1704642055.2462168,0.22001147270202637,0,16770747392,15913536512
LoadMicroBatch,1704642055.246748,1704642055.2470906,0.0003426074981689453,0,16770747392,15913920512
ForwardPass,1704642055.2474778,1704642055.594571,0.3470933437347412,0,17828480000,16971269120
SendActivation,1704642055.5951145,1704642056.7669463,1.1718318462371826,0,17828480000,16971269120
LoadMicroBatch,1704642056.7675056,1704642056.7678943,0.0003886222839355469,0,17828480000,16971653120
ForwardPass,1704642056.7683313,1704642057.1139994,0.34566807746887207,0,18886212608,18029001728
RecvGrad,1704642057.1144843,1704642060.478963,3.364478588104248,0,18886212608,18094537728
SendActivation,1704642060.4794114,1704642060.683121,0.20370960235595703,0,18886212608,18094537728
BackwardPass,1704642060.683579,1704642061.7655199,1.0819408893585205,0,21061041664,18696814592
LoadMicroBatch,1704642061.766034,1704642061.766371,0.0003371238708496094,0,21061041664,18696814592
ForwardPass,1704642061.76676,1704642062.1133592,0.34659910202026367,0,21061041664,19754163200
RecvGrad,1704642062.1138463,1704642062.5642235,0.4503772258758545,0,21061041664,19754163200
SendActivation,1704642062.564707,1704642062.7647128,0.20000576972961426,0,21061041664,19754163200
BackwardPass,1704642062.7651725,1704642063.8419006,1.076728105545044,0,21061565952,18697338880
RecvGrad,1704642063.8424227,1704642064.6450534,0.8026306629180908,0,21061565952,18697338880
BackwardPass,1704642064.6456242,1704642065.7263691,1.080744981765747,0,21061565952,17640514560
RecvGrad,1704642065.7268784,1704642066.0093489,0.2824704647064209,0,21061565952,17640514560
BackwardPass,1704642066.0098293,1704642067.08933,1.079500675201416,0,21061565952,16583165952
ReduceTiedGrads,1704642067.0898497,1704642067.0899153,6.556510925292969e-05,0,21061565952,16583165952
ReduceGrads,1704642067.0903018,1704642067.1071885,0.01688671112060547,0,21061565952,16583165952
OptimizerStep,1704642067.1076465,1704642067.251164,0.14351749420166016,0,23180806144,16583165952
LoadMicroBatch,1704642067.813032,1704642067.813251,0.00021910667419433594,0,23180806144,16584702464
ForwardPass,1704642067.8136709,1704642068.1617565,0.3480856418609619,0,23180806144,17639953920
