task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1704710988.0358913,1704710992.089494,4.053602695465088,4,9611250688,6787643904
LoadMicroBatch,1704710992.0897977,1704710992.0899525,0.00015473365783691406,4,9611250688,6788027904
ForwardPass,1704710992.0902045,1704710993.029675,0.9394705295562744,4,10730857472,9705350144
BackwardPass,1704710993.0299907,1704710993.560865,0.5308742523193359,4,11756237312,8702903296
SendGrad,1704710993.5611825,1704710993.8154993,0.2543168067932129,4,11756237312,8702519296
RecvActivation,1704710993.8157625,1704710994.04768,0.2319173812866211,4,11756237312,8768439296
LoadMicroBatch,1704710994.0479462,1704710994.0480874,0.000141143798828125,4,11756237312,8768823296
ForwardPass,1704710994.0483286,1704710994.2279966,0.17966794967651367,4,12703133184,11677625856
BackwardPass,1704710994.2282815,1704710994.761007,0.5327255725860596,4,12987640832,9925262848
SendGrad,1704710994.7613182,1704710995.7537577,0.9924395084381104,4,12987640832,9924878848
RecvActivation,1704710995.7540855,1704710995.9856553,0.23156976699829102,4,12987640832,9990798848
LoadMicroBatch,1704710995.98605,1704710995.9863715,0.0003216266632080078,4,12987640832,9990798848
ForwardPass,1704710995.9866297,1704710996.167326,0.1806962490081787,4,13924060160,11676053504
BackwardPass,1704710996.1676269,1704710996.6968386,0.5292117595672607,4,13924060160,9925263360
SendGrad,1704710996.6972592,1704710997.7011564,1.0038971900939941,4,13924060160,9924879360
RecvActivation,1704710997.701604,1704710997.9442677,0.24266386032104492,4,13924060160,9990799360
LoadMicroBatch,1704710997.9445393,1704710997.9446874,0.0001480579376220703,4,13924060160,9990799360
ForwardPass,1704710997.9449358,1704710998.1256819,0.18074607849121094,4,13924060672,11675005440
BackwardPass,1704710998.1262782,1704710998.6584864,0.5322082042694092,4,13924060672,9924215296
SendGrad,1704710998.658978,1704710999.0879915,0.4290134906768799,4,13924060672,9923831296
ReduceTiedGrads,1704710999.088304,1704710999.088341,3.695487976074219e-05,4,13924060672,9923831296
ReduceGrads,1704710999.0886095,1704710999.0969229,0.008313417434692383,4,13924060672,9923831296
OptimizerStep,1704710999.0971975,1704711003.0329604,3.935762882232666,4,13924060672,9923831296
RecvActivation,1704711003.6049008,1704711005.5365746,1.9316737651824951,4,13924060672,9991285760
LoadMicroBatch,1704711005.536896,1704711005.5370429,0.0001468658447265625,4,13924060672,9991285760
ForwardPass,1704711005.5373046,1704711005.7176106,0.18030595779418945,4,13924547072,11676540416
BackwardPass,1704711005.717905,1704711006.2474608,0.5295557975769043,4,13924547072,9926274560
SendGrad,1704711006.2478745,1704711006.4556506,0.20777606964111328,4,13924547072,9925890560
RecvActivation,1704711006.4564433,1704711006.6887002,0.23225688934326172,4,13924547072,9991810560
LoadMicroBatch,1704711006.6890814,1704711006.6893737,0.0002923011779785156,4,13924547072,9991810560
ForwardPass,1704711006.6896448,1704711006.8695116,0.17986679077148438,4,13926120448,11678113792
BackwardPass,1704711006.8698502,1704711007.401643,0.5317928791046143,4,13926120448,9925750784
SendGrad,1704711007.402002,1704711008.330764,0.9287619590759277,4,13926120448,9925366784
RecvActivation,1704711008.3310683,1704711008.5734234,0.2423551082611084,4,13926120448,9991286784
LoadMicroBatch,1704711008.5738828,1704711008.574259,0.0003762245178222656,4,13926120448,9991286784
ForwardPass,1704711008.5745652,1704711008.7545714,0.1800062656402588,4,13926120448,11677590016
BackwardPass,1704711008.7548697,1704711009.2834656,0.5285959243774414,4,13926120448,9927193088
SendGrad,1704711009.283801,1704711010.2288287,0.9450275897979736,4,13926120448,9926809088
RecvActivation,1704711010.2297406,1704711010.473261,0.24352049827575684,4,13926120448,9992729088
LoadMicroBatch,1704711010.4735272,1704711010.4736836,0.000156402587890625,4,13926120448,9992729088
ForwardPass,1704711010.4739187,1704711010.654953,0.18103432655334473,4,13926120448,11676935168
BackwardPass,1704711010.6552439,1704711011.1856668,0.5304229259490967,4,13926120448,9928766464
SendGrad,1704711011.1859922,1704711011.6087341,0.4227418899536133,4,13926120448,9928382464
ReduceTiedGrads,1704711011.6090245,1704711011.609053,2.8371810913085938e-05,4,13926120448,9928382464
ReduceGrads,1704711011.609293,1704711011.6163008,0.0070078372955322266,4,13926120448,9928382464
OptimizerStep,1704711011.6165547,1704711015.5568388,3.940284013748169,4,13926120448,9928382464
RecvActivation,1704711015.5917385,1704711017.5645537,1.9728152751922607,4,13926120448,9994300416
LoadMicroBatch,1704711017.5649326,1704711017.5651445,0.00021195411682128906,4,13926120448,9994300416
ForwardPass,1704711017.5659778,1704711017.746983,0.18100523948669434,4,13927561728,11678506496
BackwardPass,1704711017.7472868,1704711018.278267,0.530980110168457,4,13927561728,9926798848
SendGrad,1704711018.278591,1704711018.4726114,0.19402050971984863,4,13927561728,9926414848
RecvActivation,1704711018.473257,1704711018.7193663,0.2461092472076416,4,13927561728,9992334848
LoadMicroBatch,1704711018.7197769,1704711018.7201104,0.00033354759216308594,4,13927561728,9992334848
ForwardPass,1704711018.720372,1704711018.9012384,0.18086647987365723,4,13927561728,11675492352
BackwardPass,1704711018.9015877,1704711019.431756,0.5301682949066162,4,13927561728,9925750784
SendGrad,1704711019.4321961,1704711020.3576455,0.9254493713378906,4,13927561728,9925366784
RecvActivation,1704711020.358045,1704711020.6055975,0.24755239486694336,4,13927561728,9991286784
LoadMicroBatch,1704711020.6059148,1704711020.606087,0.00017213821411132812,4,13927561728,9991286784
ForwardPass,1704711020.6068466,1704711020.786932,0.1800854206085205,4,13927561728,11676541440
BackwardPass,1704711020.7872245,1704711021.317887,0.5306625366210938,4,13927561728,9925751296
SendGrad,1704711021.318201,1704711022.2588263,0.9406251907348633,4,13927561728,9925367296
RecvActivation,1704711022.2591705,1704711022.5045657,0.24539518356323242,4,13927561728,9991287296
LoadMicroBatch,1704711022.5052788,1704711022.5056965,0.0004177093505859375,4,13927561728,9991287296
ForwardPass,1704711022.5062394,1704711022.6866345,0.18039512634277344,4,13927561728,11676541952
BackwardPass,1704711022.6869543,1704711023.2136588,0.5267045497894287,4,13927561728,9925751808
SendGrad,1704711023.2140007,1704711023.6533358,0.4393351078033447,4,13927561728,9925367808
ReduceTiedGrads,1704711023.654071,1704711023.654161,8.988380432128906e-05,4,13927561728,9925367808
ReduceGrads,1704711023.6547213,1704711023.6619513,0.007230043411254883,4,13927561728,9925367808
OptimizerStep,1704711023.6631505,1704711027.5790613,3.9159107208251953,4,13927561728,9925367808
RecvActivation,1704711027.6143537,1704711029.588304,1.9739503860473633,4,13927561728,9991285760
LoadMicroBatch,1704711029.5887158,1704711029.589002,0.000286102294921875,4,13927561728,9991285760
ForwardPass,1704711029.589269,1704711029.7680328,0.17876386642456055,4,13927561728,11677588992
BackwardPass,1704711029.7683678,1704711030.293992,0.5256242752075195,4,13927561728,9925750272
SendGrad,1704711030.2944198,1704711030.4883723,0.1939525604248047,4,13927561728,9925366272
RecvActivation,1704711030.4890537,1704711030.7348855,0.24583172798156738,4,13927561728,9991286272
LoadMicroBatch,1704711030.735188,1704711030.7353435,0.00015544891357421875,4,13927561728,9991286272
ForwardPass,1704711030.7356012,1704711030.9147842,0.1791830062866211,4,13927561728,11678638080
BackwardPass,1704711030.9154885,1704711031.4392812,0.5237927436828613,4,13927561728,9926799360
SendGrad,1704711031.4396107,1704711032.3731036,0.93349289894104,4,13927561728,9926415360
RecvActivation,1704711032.3738928,1704711032.6194348,0.24554204940795898,4,13927561728,9992335360
LoadMicroBatch,1704711032.6197484,1704711032.6199248,0.00017642974853515625,4,13927561728,9992335360
ForwardPass,1704711032.6202016,1704711032.799168,0.17896652221679688,4,13927561728,11678638592
BackwardPass,1704711032.7994902,1704711033.3243878,0.524897575378418,4,13927561728,9926799872
SendGrad,1704711033.3247404,1704711034.265888,0.9411475658416748,4,13927561728,9926415872
RecvActivation,1704711034.2662768,1704711034.5123067,0.24602985382080078,4,13927561728,9992335872
LoadMicroBatch,1704711034.5126145,1704711034.5127785,0.000164031982421875,4,13927561728,9992335872
ForwardPass,1704711034.513053,1704711034.6923747,0.1793217658996582,4,13927561728,11677590528
BackwardPass,1704711034.6956086,1704711035.2214572,0.5258486270904541,4,13927561728,9926800384
SendGrad,1704711035.2217777,1704711035.6465456,0.42476797103881836,4,13927561728,9926416384
ReduceTiedGrads,1704711035.6469052,1704711035.6469586,5.340576171875e-05,4,13927561728,9926416384
ReduceGrads,1704711035.6472135,1704711035.6543486,0.007135152816772461,4,13927561728,9926416384
OptimizerStep,1704711035.6546075,1704711039.592174,3.9375665187835693,4,13927561728,9926416384
RecvActivation,1704711039.627204,1704711041.600919,1.97371506690979,4,13927561728,9992334336
LoadMicroBatch,1704711041.6012626,1704711041.6014388,0.0001761913299560547,4,13927561728,9992334336
ForwardPass,1704711041.6017132,1704711041.780675,0.17896175384521484,4,13927561728,11676540416
BackwardPass,1704711041.7811944,1704711042.3075497,0.5263552665710449,4,13927561728,9926798848
SendGrad,1704711042.3078737,1704711042.500091,0.19221735000610352,4,13927561728,9926414848
RecvActivation,1704711042.50154,1704711042.7480626,0.2465226650238037,4,13927561728,9992334848
LoadMicroBatch,1704711042.748342,1704711042.74852,0.00017786026000976562,4,13927561728,9992334848
ForwardPass,1704711042.7487674,1704711042.9271412,0.1783738136291504,4,13927561728,11676540928
BackwardPass,1704711042.92836,1704711043.452386,0.5240259170532227,4,13927561728,9925750784
SendGrad,1704711043.4527917,1704711044.383609,0.9308173656463623,4,13927561728,9925366784
RecvActivation,1704711044.3844209,1704711044.6325042,0.24808335304260254,4,13927561728,9991286784
LoadMicroBatch,1704711044.632819,1704711044.633027,0.00020813941955566406,4,13927561728,9991286784
ForwardPass,1704711044.6333237,1704711044.8117795,0.17845582962036133,4,13927561728,11678638592
BackwardPass,1704711044.8121386,1704711045.339198,0.5270595550537109,4,13927561728,9926799872
SendGrad,1704711045.339506,1704711046.284178,0.9446721076965332,4,13927561728,9926415872
RecvActivation,1704711046.2849898,1704711046.5308578,0.24586796760559082,4,13927561728,9992335872
LoadMicroBatch,1704711046.5311358,1704711046.5313032,0.00016736984252929688,4,13927561728,9992335872
ForwardPass,1704711046.5315454,1704711046.7107184,0.17917299270629883,4,13927561728,11678639104
BackwardPass,1704711046.711012,1704711047.236247,0.5252351760864258,4,13927561728,9926800384
SendGrad,1704711047.2366717,1704711047.6671553,0.4304835796356201,4,13927561728,9926416384
ReduceTiedGrads,1704711047.6675963,1704711047.6676726,7.62939453125e-05,4,13927561728,9926416384
ReduceGrads,1704711047.6679194,1704711047.6751409,0.0072214603424072266,4,13927561728,9926416384
OptimizerStep,1704711047.6754034,1704711051.6116755,3.936272144317627,4,13927561728,9926416384
RecvActivation,1704711051.646792,1704711053.6205885,1.9737966060638428,4,13927561728,9992334336
LoadMicroBatch,1704711053.6209273,1704711053.6210856,0.0001583099365234375,4,13927561728,9992334336
ForwardPass,1704711053.6218338,1704711053.7998748,0.1780409812927246,4,13927561728,11676540416
BackwardPass,1704711053.8001723,1704711054.3246148,0.5244424343109131,4,13927561728,9925750272
SendGrad,1704711054.3249302,1704711054.5161114,0.19118118286132812,4,13927561728,9925366272
RecvActivation,1704711054.516499,1704711054.7653224,0.2488234043121338,4,13927561728,9991286272
LoadMicroBatch,1704711054.7656207,1704711054.7657866,0.0001659393310546875,4,13927561728,9991286272
ForwardPass,1704711054.7660635,1704711054.9450786,0.1790151596069336,4,13927561728,11676540928
BackwardPass,1704711054.9454002,1704711055.4717088,0.526308536529541,4,13927561728,9925750784
SendGrad,1704711055.4720724,1704711056.4000888,0.9280164241790771,4,13927561728,9925366784
RecvActivation,1704711056.4004517,1704711056.650605,0.2501533031463623,4,13927561728,9991286784
LoadMicroBatch,1704711056.6509519,1704711056.65118,0.0002281665802001953,4,13927561728,9991286784
ForwardPass,1704711056.6518736,1704711056.8306034,0.17872977256774902,4,13927561728,11677590016
BackwardPass,1704711056.83089,1704711057.356432,0.5255420207977295,4,13927561728,9925751296
SendGrad,1704711057.3567407,1704711058.3005111,0.9437704086303711,4,13927561728,9925367296
RecvActivation,1704711058.3008988,1704711058.5503063,0.24940752983093262,4,13927561728,9991287296
LoadMicroBatch,1704711058.5506065,1704711058.5507548,0.00014829635620117188,4,13927561728,9991287296
ForwardPass,1704711058.551008,1704711058.7290063,0.17799830436706543,4,13927561728,11677590528
BackwardPass,1704711058.7293284,1704711059.2543488,0.5250203609466553,4,13927561728,9925751808
SendGrad,1704711059.2546656,1704711059.6769412,0.4222755432128906,4,13927561728,9925367808
ReduceTiedGrads,1704711059.6773105,1704711059.6773553,4.482269287109375e-05,4,13927561728,9925367808
ReduceGrads,1704711059.6776128,1704711059.6847339,0.007121086120605469,4,13927561728,9925367808
OptimizerStep,1704711059.6854386,1704711063.6281002,3.9426615238189697,4,13927561728,9925367808
RecvActivation,1704711063.6622975,1704711065.6409805,1.9786829948425293,4,13927561728,9991285760
LoadMicroBatch,1704711065.6414316,1704711065.6416538,0.00022220611572265625,4,13927561728,9991285760
ForwardPass,1704711065.6419384,1704711065.8205795,0.17864108085632324,4,13927561728,11677588992
BackwardPass,1704711065.820883,1704711066.3475363,0.5266532897949219,4,13927561728,9926798848
SendGrad,1704711066.347857,1704711066.538421,0.19056391716003418,4,13927561728,9926414848
RecvActivation,1704711066.539112,1704711066.788181,0.2490689754486084,4,13927561728,9992334848
LoadMicroBatch,1704711066.7885017,1704711066.788667,0.0001652240753173828,4,13927561728,9992334848
ForwardPass,1704711066.7889466,1704711066.967012,0.17806529998779297,4,13927561728,11677589504
BackwardPass,1704711066.9673355,1704711067.491019,0.5236835479736328,4,13927561728,9926799360
SendGrad,1704711067.4917536,1704711068.431413,0.9396593570709229,4,13927561728,9926415360
RecvActivation,1704711068.432184,1704711068.6803665,0.2481825351715088,4,13927561728,9992335360
LoadMicroBatch,1704711068.6806962,1704711068.6808786,0.0001823902130126953,4,13927561728,9992335360
ForwardPass,1704711068.6811457,1704711068.860308,0.17916226387023926,4,13927561728,11676541440
BackwardPass,1704711068.8606565,1704711069.386349,0.5256924629211426,4,13927561728,9926799872
SendGrad,1704711069.3867085,1704711070.3330946,0.9463860988616943,4,13927561728,9926415872
RecvActivation,1704711070.333784,1704711070.583769,0.2499849796295166,4,13927561728,9992335872
LoadMicroBatch,1704711070.5840755,1704711070.5842366,0.00016117095947265625,4,13927561728,9992335872
ForwardPass,1704711070.5845063,1704711070.7637262,0.17921996116638184,4,13927561728,11676541952
BackwardPass,1704711070.7640622,1704711071.290721,0.5266587734222412,4,13927561728,9926800384
SendGrad,1704711071.291738,1704711071.7157905,0.42405247688293457,4,13927561728,9926416384
ReduceTiedGrads,1704711071.7161949,1704711071.7162554,6.0558319091796875e-05,4,13927561728,9926416384
ReduceGrads,1704711071.7165124,1704711071.723706,0.007193565368652344,4,13927561728,9926416384
OptimizerStep,1704711071.7239594,1704711075.672477,3.9485175609588623,4,13927561728,9926416384
RecvActivation,1704711075.7072625,1704711077.6839578,1.9766952991485596,4,13927561728,9992334336
LoadMicroBatch,1704711077.6842532,1704711077.684402,0.000148773193359375,4,13927561728,9992334336
ForwardPass,1704711077.6846683,1704711077.8631532,0.17848491668701172,4,13927561728,11676540416
BackwardPass,1704711077.8634808,1704711078.3882413,0.5247604846954346,4,13927561728,9925750272
SendGrad,1704711078.3885946,1704711078.5783632,0.18976855278015137,4,13927561728,9925366272
RecvActivation,1704711078.5787883,1704711078.8289337,0.25014543533325195,4,13927561728,9991286272
LoadMicroBatch,1704711078.82981,1704711078.8299766,0.0001666545867919922,4,13927561728,9991286272
ForwardPass,1704711078.8302133,1704711079.00927,0.17905664443969727,4,13927561728,11676540928
BackwardPass,1704711079.0096014,1704711079.535338,0.5257365703582764,4,13927561728,9925750784
SendGrad,1704711079.535668,1704711080.4654274,0.9297595024108887,4,13927561728,9925366784
RecvActivation,1704711080.4657812,1704711080.716798,0.25101685523986816,4,13927561728,9991286784
LoadMicroBatch,1704711080.717131,1704711080.71732,0.00018906593322753906,4,13927561728,9991286784
ForwardPass,1704711080.7175817,1704711080.8953195,0.17773771286010742,4,13927561728,11676541440
BackwardPass,1704711080.8956296,1704711081.4195209,0.5238912105560303,4,13927561728,9927324160
SendGrad,1704711081.419833,1704711082.3608687,0.9410357475280762,4,13927561728,9926940160
RecvActivation,1704711082.3612103,1704711082.6134672,0.2522568702697754,4,13927561728,9992860160
LoadMicroBatch,1704711082.614288,1704711082.6145577,0.0002696514129638672,4,13927561728,9992860160
ForwardPass,1704711082.6147935,1704711082.7932837,0.17849016189575195,4,13927561728,11678114816
BackwardPass,1704711082.793576,1704711083.3212044,0.5276284217834473,4,13927561728,9926800384
SendGrad,1704711083.3215106,1704711083.7437515,0.4222409725189209,4,13927561728,9926416384
ReduceTiedGrads,1704711083.7441585,1704711083.744205,4.649162292480469e-05,4,13927561728,9926416384
ReduceGrads,1704711083.7444577,1704711083.7516232,0.007165431976318359,4,13927561728,9926416384
OptimizerStep,1704711083.7518873,1704711087.6922657,3.940378427505493,4,13927561728,9926416384
RecvActivation,1704711087.726634,1704711089.700798,1.9741640090942383,4,13927561728,9992334336
LoadMicroBatch,1704711089.7011392,1704711089.7013004,0.00016117095947265625,4,13927561728,9992334336
ForwardPass,1704711089.7015665,1704711089.8813553,0.17978882789611816,4,13927561728,11675491840
BackwardPass,1704711089.8816361,1704711090.4082751,0.5266389846801758,4,13927561728,9925750272
SendGrad,1704711090.4086354,1704711090.596957,0.18832159042358398,4,13927561728,9925366272
RecvActivation,1704711090.5972552,1704711090.8490083,0.2517530918121338,4,13927561728,9991286272
LoadMicroBatch,1704711090.849305,1704711090.849454,0.00014901161193847656,4,13927561728,9991286272
ForwardPass,1704711090.8497212,1704711091.0283966,0.17867541313171387,4,13927561728,11676540928
BackwardPass,1704711091.0286992,1704711091.5563781,0.5276789665222168,4,13927561728,9925750784
SendGrad,1704711091.5567088,1704711092.5067766,0.9500677585601807,4,13927561728,9925366784
RecvActivation,1704711092.5071309,1704711092.7585146,0.25138378143310547,4,13927561728,9991286784
LoadMicroBatch,1704711092.758812,1704711092.7589612,0.00014925003051757812,4,13927561728,9991286784
ForwardPass,1704711092.759231,1704711092.938475,0.179243803024292,4,13927561728,11676541440
