task,start_time,end_time,duration,rank,max_mem,alloc_mem
LoadMicroBatch,1704709320.552309,1704709320.5525045,0.00019550323486328125,0,11205069824,11204913152
ForwardPass,1704709320.552889,1704709321.1333919,0.5805027484893799,0,12863751168,12006540288
SendActivation,1704709321.133814,1704709321.3433988,0.20958471298217773,0,12863751168,12006540288
LoadMicroBatch,1704709321.3438268,1704709321.3440297,0.0002028942108154297,0,12863751168,12006924288
ForwardPass,1704709321.344391,1704709321.5958867,0.2514955997467041,0,13657242624,12800031744
SendActivation,1704709321.596291,1704709322.3003883,0.7040972709655762,0,13657242624,12800031744
LoadMicroBatch,1704709322.3008153,1704709322.3010695,0.0002541542053222656,0,13657242624,12800415744
ForwardPass,1704709322.301435,1704709322.5528457,0.25141072273254395,0,14450734080,13593523200
SendActivation,1704709322.5532506,1704709323.7464595,1.193208932876587,0,14450734080,13593523200
LoadMicroBatch,1704709323.7469468,1704709323.7472546,0.0003077983856201172,0,14450734080,13593907200
ForwardPass,1704709323.7476406,1704709323.999249,0.25160837173461914,0,15244225536,14387014656
RecvGrad,1704709323.9996884,1704709328.0559514,4.056262969970703,0,15244225536,14452550656
SendActivation,1704709328.056352,1704709328.2440054,0.1876535415649414,0,15244225536,14452550656
BackwardPass,1704709328.2449353,1704709329.0362184,0.791283130645752,0,17279561216,14913236992
RecvGrad,1704709329.0366495,1704709329.9543993,0.9177498817443848,0,17279561216,14913236992
BackwardPass,1704709329.9548824,1704709330.7403898,0.7855074405670166,0,17279561216,14120129536
RecvGrad,1704709330.7408366,1704709331.6332228,0.8923861980438232,0,17279561216,14120129536
BackwardPass,1704709331.633748,1704709332.4187825,0.7850344181060791,0,17279561216,13328070656
RecvGrad,1704709332.419245,1704709332.8478177,0.4285726547241211,0,17279561216,13328070656
BackwardPass,1704709332.848222,1704709333.6335328,0.7853107452392578,0,17279561216,12534963200
ReduceTiedGrads,1704709333.6339457,1704709333.6340096,6.389617919921875e-05,0,17279561216,12534963200
ReduceGrads,1704709333.6343443,1704709333.646662,0.012317657470703125,0,17279561216,12534963200
OptimizerStep,1704709333.6470587,1704709333.7575567,0.11049795150756836,0,17513602048,12534963200
LoadMicroBatch,1704709334.3088603,1704709334.30904,0.00017976760864257812,0,17513602048,12536499712
ForwardPass,1704709334.3098783,1704709334.5617728,0.251894474029541,0,17513602048,13325412864
SendActivation,1704709334.5621781,1704709334.7497387,0.1875605583190918,0,17513602048,13325412864
LoadMicroBatch,1704709334.750167,1704709334.7503815,0.00021457672119140625,0,17513602048,13325412864
ForwardPass,1704709334.7507448,1704709335.0026143,0.25186944007873535,0,17513602048,14117471744
SendActivation,1704709335.0030143,1704709335.4000611,0.3970468044281006,0,17513602048,14117471744
LoadMicroBatch,1704709335.4005778,1704709335.4008706,0.00029277801513671875,0,17513602048,14117471744
ForwardPass,1704709335.4012396,1704709335.6533544,0.25211477279663086,0,17513602048,14909530624
SendActivation,1704709335.6537695,1704709336.0710707,0.4173011779785156,0,17513602048,14909530624
LoadMicroBatch,1704709336.0715046,1704709336.0717561,0.00025153160095214844,0,17513602048,14909530624
