task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1704642782.031459,1704642784.2600543,2.22859525680542,2,17502836736,12250727936
LoadMicroBatch,1704642784.2603953,1704642784.2605762,0.00018095970153808594,2,17502836736,12251111936
ForwardPass,1704642784.2608445,1704642785.3750021,1.1141576766967773,2,17502836736,15564795904
BackwardPass,1704642785.3753533,1704642786.3804502,1.0050969123840332,2,17615683072,14774734848
SendGrad,1704642786.3807917,1704642786.6489165,0.2681248188018799,2,17615683072,14774350848
RecvActivation,1704642786.6492116,1704642786.8960028,0.24679112434387207,2,17615683072,14840270848
LoadMicroBatch,1704642786.8962903,1704642786.8964717,0.00018143653869628906,2,17615683072,14840654848
ForwardPass,1704642786.8967063,1704642787.2307522,0.3340458869934082,2,19170277888,18144770560
BackwardPass,1704642787.2310884,1704642788.2347376,1.0036492347717285,2,19170277888,15994997248
SendGrad,1704642788.235075,1704642788.443303,0.20822811126708984,2,19170277888,15994613248
RecvActivation,1704642788.4436638,1704642788.6780956,0.23443174362182617,2,19170277888,16060533248
LoadMicroBatch,1704642788.67846,1704642788.6787975,0.0003376007080078125,2,19170277888,16060533248
ForwardPass,1704642788.6790488,1704642789.0145526,0.33550381660461426,2,20389107712,18141101056
BackwardPass,1704642789.0149064,1704642790.0205114,1.0056049823760986,2,20389107712,15995522048
SendGrad,1704642790.0210147,1704642790.2809856,0.25997090339660645,2,20389107712,15995138048
RecvActivation,1704642790.2815752,1704642790.5272486,0.24567341804504395,2,20389107712,16061058048
LoadMicroBatch,1704642790.5274997,1704642790.527645,0.00014543533325195312,2,20389107712,16061058048
ForwardPass,1704642790.527882,1704642790.8633902,0.3355081081390381,2,20390681088,18142674432
BackwardPass,1704642790.8637166,1704642791.8661156,1.00239896774292,2,20390681088,15994998272
SendGrad,1704642791.8664467,1704642792.0597084,0.19326162338256836,2,20390681088,15994614272
ReduceTiedGrads,1704642792.059995,1704642792.060032,3.695487976074219e-05,2,20390681088,15994614272
ReduceGrads,1704642792.0602772,1704642792.0781336,0.017856359481811523,2,20390681088,15994614272
OptimizerStep,1704642792.078396,1704642794.4077897,2.3293936252593994,2,21380100608,15994614272
RecvActivation,1704642794.8360598,1704642795.8879673,1.0519075393676758,2,21380100608,16062068736
LoadMicroBatch,1704642795.8889256,1704642795.8891501,0.00022459030151367188,2,21380100608,16062068736
ForwardPass,1704642795.8893876,1704642796.3403711,0.45098352432250977,2,21380100608,18142636544
BackwardPass,1704642796.3410745,1704642797.3451598,1.0040853023529053,2,21380100608,15996008960
SendGrad,1704642797.3455403,1704642797.539847,0.1943066120147705,2,21380100608,15995624960
RecvActivation,1704642797.5401804,1704642797.7867846,0.24660420417785645,2,21380100608,16061544960
LoadMicroBatch,1704642797.7870662,1704642797.78723,0.00016379356384277344,2,21380100608,16061544960
ForwardPass,1704642797.7874808,1704642798.1250107,0.33752989768981934,2,21380100608,18142112768
BackwardPass,1704642798.125348,1704642799.1337864,1.0084383487701416,2,21380100608,15996009472
SendGrad,1704642799.1341221,1704642799.327872,0.19374990463256836,2,21380100608,15995625472
RecvActivation,1704642799.3281457,1704642799.5750775,0.246931791305542,2,21380100608,16061545472
LoadMicroBatch,1704642799.5757763,1704642799.5759165,0.00014019012451171875,2,21380100608,16061545472
ForwardPass,1704642799.576148,1704642799.9113462,0.33519816398620605,2,21380100608,18142113280
BackwardPass,1704642799.9116938,1704642800.9188998,1.0072059631347656,2,21380100608,15996009984
SendGrad,1704642800.9192228,1704642801.1178946,0.19867181777954102,2,21380100608,15995625984
RecvActivation,1704642801.1181784,1704642801.3647623,0.2465839385986328,2,21380100608,16061545984
LoadMicroBatch,1704642801.3650868,1704642801.365302,0.00021529197692871094,2,21380100608,16061545984
ForwardPass,1704642801.3655603,1704642801.7015705,0.336010217666626,2,21380100608,18143162368
BackwardPass,1704642801.7019155,1704642802.7115874,1.009671926498413,2,21380100608,15996010496
SendGrad,1704642802.7119615,1704642802.9054403,0.19347882270812988,2,21380100608,15995626496
ReduceTiedGrads,1704642802.9057345,1704642802.9057846,5.0067901611328125e-05,2,21380100608,15995626496
ReduceGrads,1704642802.9065404,1704642802.9246,0.018059492111206055,2,21380100608,15995626496
OptimizerStep,1704642802.9248524,1704642805.2381783,2.313325881958008,2,21381112832,15995626496
RecvActivation,1704642805.2740707,1704642806.3069215,1.032850742340088,2,21381112832,16061544448
LoadMicroBatch,1704642806.3072727,1704642806.3074343,0.00016164779663085938,2,21381112832,16061544448
ForwardPass,1704642806.3077154,1704642806.7683477,0.46063232421875,2,21381112832,18143160832
BackwardPass,1704642806.7690556,1704642807.775056,1.006000280380249,2,21381112832,15996008960
SendGrad,1704642807.7754357,1704642807.9684277,0.1929919719696045,2,21381112832,15995624960
RecvActivation,1704642807.9687347,1704642808.2165267,0.24779200553894043,2,21381112832,16061544960
LoadMicroBatch,1704642808.2169094,1704642808.2171574,0.000247955322265625,2,21381112832,16061544960
ForwardPass,1704642808.2209795,1704642808.55678,0.3358006477355957,2,21381112832,18142112768
BackwardPass,1704642808.5571544,1704642809.5667415,1.009587049484253,2,21381112832,15998499840
SendGrad,1704642809.5671332,1704642809.761285,0.1941518783569336,2,21381112832,15998115840
