task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1704641595.5224645,1704641597.7757738,2.2533092498779297,2,16181630464,11336369152
LoadMicroBatch,1704641597.7760952,1704641597.776235,0.0001399517059326172,2,16181630464,11336753152
ForwardPass,1704641597.776501,1704641598.786284,1.0097830295562744,2,16181630464,14584901120
BackwardPass,1704641598.7866585,1704641599.708163,0.9215044975280762,2,16635788288,13758131712
SendGrad,1704641599.7084823,1704641599.9865718,0.2780895233154297,2,16635788288,13757747712
RecvActivation,1704641599.9868417,1704641600.2333393,0.24649763107299805,2,16635788288,13823667712
LoadMicroBatch,1704641600.2339709,1704641600.2341063,0.0001354217529296875,2,16635788288,13824051712
ForwardPass,1704641600.2343419,1704641600.5417829,0.30744099617004395,2,18087090176,17061582848
BackwardPass,1704641600.5420704,1704641601.4678214,0.9257509708404541,2,18087090176,14980491264
SendGrad,1704641601.4681652,1704641601.769991,0.30182576179504395,2,18087090176,14980107264
RecvActivation,1704641601.7702632,1704641602.0132658,0.24300265312194824,2,18087090176,15046027264
LoadMicroBatch,1704641602.0135372,1704641602.0136817,0.00014448165893554688,2,18087090176,15046027264
ForwardPass,1704641602.0139208,1704641602.322282,0.308361291885376,2,19309065728,17060010496
BackwardPass,1704641602.3225896,1704641603.2465737,0.9239840507507324,2,19309065728,14978918912
SendGrad,1704641603.2469656,1704641603.667823,0.42085742950439453,2,19309065728,14978534912
RecvActivation,1704641603.6684818,1704641603.9138355,0.24535369873046875,2,19309065728,15044454912
LoadMicroBatch,1704641603.9141593,1704641603.9143815,0.00022220611572265625,2,19309065728,15044454912
ForwardPass,1704641603.9146175,1704641604.222402,0.3077845573425293,2,19309065728,17059486720
BackwardPass,1704641604.2227106,1704641605.149673,0.9269623756408691,2,19309065728,14978919424
SendGrad,1704641605.1499913,1704641605.3432035,0.19321227073669434,2,19309065728,14978535424
ReduceTiedGrads,1704641605.3434775,1704641605.3435123,3.4809112548828125e-05,2,19309065728,14978535424
ReduceGrads,1704641605.3437593,1704641605.3571093,0.01335000991821289,2,19309065728,14978535424
OptimizerStep,1704641605.357371,1704641607.7385862,2.3812150955200195,2,19957174272,14978535424
RecvActivation,1704641608.1678932,1704641609.2391233,1.071230173110962,2,19957174272,15045989888
LoadMicroBatch,1704641609.2394407,1704641609.2395966,0.00015592575073242188,2,19957174272,15045989888
ForwardPass,1704641609.2402363,1704641609.627904,0.3876676559448242,2,19957174272,17062070272
BackwardPass,1704641609.628233,1704641610.5719018,0.9436688423156738,2,19957174272,14981502976
SendGrad,1704641610.572624,1704641610.7667456,0.1941215991973877,2,19957174272,14981118976
RecvActivation,1704641610.767019,1704641611.0143297,0.24731063842773438,2,19957174272,15047038976
LoadMicroBatch,1704641611.0146108,1704641611.0147545,0.0001437664031982422,2,19957174272,15047038976
ForwardPass,1704641611.015015,1704641611.3690794,0.3540644645690918,2,19957174272,17062070784
BackwardPass,1704641611.3697534,1704641612.2958758,0.9261224269866943,2,19957174272,14983600640
SendGrad,1704641612.296184,1704641612.495504,0.19931983947753906,2,19957174272,14983216640
RecvActivation,1704641612.495781,1704641612.7454636,0.24968266487121582,2,19957174272,15049136640
LoadMicroBatch,1704641612.7460475,1704641612.7462041,0.00015664100646972656,2,19957174272,15049136640
ForwardPass,1704641612.7464504,1704641613.056029,0.30957865715026855,2,19957174272,17063119872
BackwardPass,1704641613.05632,1704641613.983716,0.9273960590362549,2,19957174272,14982028288
SendGrad,1704641613.9840279,1704641614.3950484,0.41102051734924316,2,19957174272,14981644288
RecvActivation,1704641614.3953192,1704641614.645353,0.2500338554382324,2,19957174272,15047564288
LoadMicroBatch,1704641614.6456318,1704641614.6457818,0.0001499652862548828,2,19957174272,15047564288
ForwardPass,1704641614.646021,1704641614.9564922,0.3104712963104248,2,19957174272,17061547520
BackwardPass,1704641614.9568121,1704641615.883811,0.9269988536834717,2,19957174272,14981504512
SendGrad,1704641615.8841283,1704641616.075575,0.19144678115844727,2,19957174272,14981120512
ReduceTiedGrads,1704641616.0758538,1704641616.0758815,2.765655517578125e-05,2,19957174272,14981120512
ReduceGrads,1704641616.0764794,1704641616.093822,0.017342567443847656,2,19957174272,14981120512
OptimizerStep,1704641616.0940692,1704641618.4707801,2.376710891723633,2,19959759360,14981120512
RecvActivation,1704641618.5057952,1704641619.5677412,1.061945915222168,2,19959759360,15047038464
LoadMicroBatch,1704641619.5681689,1704641619.568444,0.0002751350402832031,2,19959759360,15047038464
ForwardPass,1704641619.5687172,1704641619.9566774,0.38796019554138184,2,19959759360,17063118848
BackwardPass,1704641619.9570458,1704641620.8991919,0.9421460628509521,2,19959759360,14981502976
SendGrad,1704641620.899657,1704641621.0914648,0.19180774688720703,2,19959759360,14981118976
RecvActivation,1704641621.091763,1704641621.3412645,0.24950146675109863,2,19959759360,15047038976
LoadMicroBatch,1704641621.3415563,1704641621.3416965,0.00014019012451171875,2,19959759360,15047038976
ForwardPass,1704641621.3419533,1704641621.727382,0.38542866706848145,2,19959759360,17061022208
BackwardPass,1704641621.7280455,1704641622.6500683,0.922022819519043,2,19959759360,14980454912
SendGrad,1704641622.6503792,1704641622.8422546,0.19187545776367188,2,19959759360,14980070912
RecvActivation,1704641622.8426192,1704641623.0911522,0.24853301048278809,2,19959759360,15045990912
LoadMicroBatch,1704641623.091438,1704641623.0915778,0.00013971328735351562,2,19959759360,15045990912
ForwardPass,1704641623.0918481,1704641623.4016144,0.3097662925720215,2,19959759360,17061022720
BackwardPass,1704641623.401925,1704641624.3316119,0.9296867847442627,2,19959759360,14981504000
SendGrad,1704641624.3319736,1704641624.718948,0.3869743347167969,2,19959759360,14981120000
RecvActivation,1704641624.7192361,1704641624.9689562,0.24972009658813477,2,19959759360,15047040000
LoadMicroBatch,1704641624.9692411,1704641624.9693782,0.00013709068298339844,2,19959759360,15047040000
ForwardPass,1704641624.9700184,1704641625.2795956,0.30957722663879395,2,19959759360,17063120384
BackwardPass,1704641625.2798927,1704641626.207789,0.92789626121521,2,19959759360,14982553088
SendGrad,1704641626.208102,1704641626.3989046,0.19080257415771484,2,19959759360,14982169088
ReduceTiedGrads,1704641626.3991842,1704641626.399223,3.886222839355469e-05,2,19959759360,14982169088
ReduceGrads,1704641626.3994646,1704641626.4160786,0.01661396026611328,2,19959759360,14982169088
OptimizerStep,1704641626.4163373,1704641628.7894447,2.373107433319092,2,19960807936,14982169088
RecvActivation,1704641628.8253524,1704641629.881106,1.055753469467163,2,19960807936,15048087040
LoadMicroBatch,1704641629.8814056,1704641629.8815553,0.00014972686767578125,2,19960807936,15048087040
ForwardPass,1704641629.8818285,1704641630.2677596,0.38593101501464844,2,19960807936,17062070272
BackwardPass,1704641630.2682233,1704641631.2153366,0.9471132755279541,2,19960807936,14981502976
SendGrad,1704641631.2160478,1704641631.407289,0.19124126434326172,2,19960807936,14981118976
RecvActivation,1704641631.4075487,1704641631.6584191,0.2508704662322998,2,19960807936,15047038976
LoadMicroBatch,1704641631.6586812,1704641631.6588194,0.00013828277587890625,2,19960807936,15047038976
ForwardPass,1704641631.659057,1704641632.0477605,0.3887035846710205,2,19960807936,17061022208
BackwardPass,1704641632.048207,1704641632.9726639,0.9244568347930908,2,19960807936,14981503488
SendGrad,1704641632.9729705,1704641633.1637087,0.19073820114135742,2,19960807936,14981119488
RecvActivation,1704641633.1639798,1704641633.4140334,0.25005364418029785,2,19960807936,15047039488
LoadMicroBatch,1704641633.4143043,1704641633.4144373,0.00013303756713867188,2,19960807936,15047039488
ForwardPass,1704641633.4146998,1704641633.7245612,0.309861421585083,2,19960807936,17062071296
BackwardPass,1704641633.7252111,1704641634.6538768,0.9286656379699707,2,19960807936,14982028288
SendGrad,1704641634.6542015,1704641635.0380175,0.3838160037994385,2,19960807936,14981644288
RecvActivation,1704641635.0384843,1704641635.288585,0.25010061264038086,2,19960807936,15047564288
LoadMicroBatch,1704641635.2889557,1704641635.2891924,0.00023674964904785156,2,19960807936,15047564288
ForwardPass,1704641635.2894878,1704641635.5982666,0.3087787628173828,2,19960807936,17062596096
BackwardPass,1704641635.5986483,1704641636.527432,0.928783655166626,2,19960807936,14981504512
SendGrad,1704641636.5277643,1704641636.718947,0.19118261337280273,2,19960807936,14981120512
ReduceTiedGrads,1704641636.7192738,1704641636.719313,3.910064697265625e-05,2,19960807936,14981120512
ReduceGrads,1704641636.7195666,1704641636.7352898,0.015723228454589844,2,19960807936,14981120512
OptimizerStep,1704641636.7355738,1704641639.1132824,2.377708673477173,2,19960807936,14981120512
RecvActivation,1704641639.1493132,1704641640.2070327,1.0577194690704346,2,19960807936,15047038464
LoadMicroBatch,1704641640.2074,1704641640.207617,0.00021696090698242188,2,19960807936,15047038464
ForwardPass,1704641640.2079015,1704641640.5968466,0.3889451026916504,2,19960807936,17061021696
BackwardPass,1704641640.5972106,1704641641.543301,0.9460904598236084,2,19960807936,14980454400
SendGrad,1704641641.5440552,1704641641.7349153,0.19086003303527832,2,19960807936,14980070400
RecvActivation,1704641641.7352052,1704641641.9851723,0.24996709823608398,2,19960807936,15045990400
LoadMicroBatch,1704641641.9854581,1704641641.9855974,0.0001392364501953125,2,19960807936,15045990400
ForwardPass,1704641641.9858716,1704641642.3362684,0.35039687156677246,2,19960807936,17062070784
BackwardPass,1704641642.3384752,1704641643.2623513,0.9238760471343994,2,19960807936,14982027776
SendGrad,1704641643.26269,1704641643.4714153,0.2087252140045166,2,19960807936,14981643776
RecvActivation,1704641643.4721572,1704641643.7223427,0.250185489654541,2,19960807936,15047563776
LoadMicroBatch,1704641643.7225993,1704641643.7227361,0.00013685226440429688,2,19960807936,15047563776
ForwardPass,1704641643.7229745,1704641644.0324414,0.3094668388366699,2,19960807936,17063644160
BackwardPass,1704641644.0327425,1704641644.963917,0.9311745166778564,2,19960807936,14982028288
SendGrad,1704641644.9642248,1704641645.3562021,0.39197731018066406,2,19960807936,14981644288
RecvActivation,1704641645.356479,1704641645.6077356,0.25125670433044434,2,19960807936,15047564288
LoadMicroBatch,1704641645.6080077,1704641645.6081421,0.00013446807861328125,2,19960807936,15047564288
ForwardPass,1704641645.6083887,1704641645.919025,0.3106362819671631,2,19960807936,17061547520
BackwardPass,1704641645.9193227,1704641646.850382,0.9310593605041504,2,19960807936,14981504512
SendGrad,1704641646.8507292,1704641647.0401304,0.18940114974975586,2,19960807936,14981120512
ReduceTiedGrads,1704641647.0408394,1704641647.0408764,3.695487976074219e-05,2,19960807936,14981120512
ReduceGrads,1704641647.0411072,1704641647.0583274,0.017220258712768555,2,19960807936,14981120512
OptimizerStep,1704641647.0585835,1704641649.425175,2.366591453552246,2,19960807936,14981120512
RecvActivation,1704641649.4605176,1704641650.525658,1.0651402473449707,2,19960807936,15047038464
LoadMicroBatch,1704641650.5260062,1704641650.5262,0.0001938343048095703,2,19960807936,15047038464
ForwardPass,1704641650.5264862,1704641650.9120977,0.38561153411865234,2,19960807936,17062070272
BackwardPass,1704641650.912478,1704641651.8561828,0.9437048435211182,2,19960807936,14980978688
SendGrad,1704641651.856873,1704641652.04579,0.18891692161560059,2,19960807936,14980594688
RecvActivation,1704641652.0460892,1704641652.298146,0.2520568370819092,2,19960807936,15046514688
LoadMicroBatch,1704641652.2989147,1704641652.299059,0.0001442432403564453,2,19960807936,15046514688
ForwardPass,1704641652.2992942,1704641652.6878564,0.3885622024536133,2,19960807936,17061546496
BackwardPass,1704641652.6883047,1704641653.6054153,0.9171106815338135,2,19960807936,14980979200
SendGrad,1704641653.6057603,1704641653.7951396,0.18937921524047852,2,19960807936,14980595200
RecvActivation,1704641653.7954211,1704641654.0472307,0.25180959701538086,2,19960807936,15046515200
LoadMicroBatch,1704641654.047509,1704641654.0476542,0.00014519691467285156,2,19960807936,15046515200
ForwardPass,1704641654.047904,1704641654.3558147,0.307910680770874,2,19960807936,17062595584
BackwardPass,1704641654.3561327,1704641655.277163,0.9210302829742432,2,19960807936,14983076864
