task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1704710538.7716064,1704710541.4194794,2.6478729248046875,3,10538192896,7429373440
ForwardPass,1704710541.4198503,1704710542.4495943,1.0297439098358154,3,10538192896,8032295424
SendActivation,1704710542.449968,1704710542.6553624,0.20539426803588867,3,10538192896,8032295424
RecvActivation,1704710542.655748,1704710542.8562167,0.2004687786102295,3,10538192896,8098215424
ForwardPass,1704710542.8565829,1704710543.0602288,0.20364594459533691,3,10538192896,8693666304
RecvGrad,1704710543.0605886,1704710544.7076802,1.6470916271209717,3,10538192896,8759202304
SendActivation,1704710544.7080462,1704710544.9061959,0.1981496810913086,3,10538192896,8759202304
BackwardPass,1704710544.9065537,1704710545.5402777,0.6337239742279053,3,11480282112,9048421888
SendGrad,1704710545.5406606,1704710545.7900429,0.24938225746154785,3,11480282112,8916965888
RecvActivation,1704710545.7903724,1704710546.0285144,0.2381420135498047,3,11480282112,8982885888
ForwardPass,1704710546.0288684,1704710546.2331545,0.2042860984802246,3,11480282112,9575191040
RecvGrad,1704710546.2335246,1704710546.4322145,0.19868993759155273,3,11480282112,9575191040
SendActivation,1704710546.432547,1704710546.6361377,0.20359063148498535,3,11480282112,9575191040
BackwardPass,1704710546.6364846,1704710547.2711713,0.6346867084503174,3,11480282112,9045276160
SendGrad,1704710547.2718928,1704710547.6525624,0.38066959381103516,3,11480282112,8913820160
RecvActivation,1704710547.6529253,1704710547.8888543,0.23592901229858398,3,11480282112,8979740160
ForwardPass,1704710547.8891966,1704710548.0931072,0.20391058921813965,3,11480282112,9575191040
RecvGrad,1704710548.0934803,1704710548.2897189,0.19623851776123047,3,11480282112,9575191040
SendActivation,1704710548.2900393,1704710548.4831436,0.19310426712036133,3,11480282112,9575191040
BackwardPass,1704710548.4834754,1704710549.1181204,0.6346449851989746,3,11480282112,9049470464
SendGrad,1704710549.1184952,1704710549.3130052,0.19450998306274414,3,11480282112,8918014464
RecvGrad,1704710549.3133588,1704710549.549148,0.23578929901123047,3,11480282112,8918014464
BackwardPass,1704710549.549466,1704710550.1849597,0.6354937553405762,3,11480282112,8387051008
SendGrad,1704710550.1853545,1704710550.4526546,0.2673001289367676,3,11480282112,8255595008
ReduceTiedGrads,1704710550.4530115,1704710550.4530458,3.4332275390625e-05,3,11480282112,8255595008
ReduceGrads,1704710550.4536815,1704710550.4623466,0.008665084838867188,3,11480282112,8255595008
OptimizerStep,1704710550.4626646,1704710553.5583367,3.095672130584717,3,11497792000,8255595008
RecvActivation,1704710554.1436148,1704710555.6002738,1.4566590785980225,3,11497792000,8323051520
ForwardPass,1704710555.60063,1704710555.8058422,0.20521211624145508,3,11497792000,8917453824
SendActivation,1704710555.8062162,1704710556.0138352,0.20761895179748535,3,11497792000,8917453824
RecvActivation,1704710556.0141833,1704710556.2742736,0.26009035110473633,3,11497792000,8983373824
ForwardPass,1704710556.2745967,1704710556.4804807,0.20588397979736328,3,11497792000,9577776128
RecvGrad,1704710556.480851,1704710557.060814,0.579962968826294,3,11497792000,9577776128
SendActivation,1704710557.0611494,1704710557.2686296,0.20748019218444824,3,11497792000,9577776128
BackwardPass,1704710557.2693555,1704710557.9072325,0.6378769874572754,3,11497792000,9048909824
SendGrad,1704710557.9076738,1704710558.106589,0.1989152431488037,3,11497792000,8917453824
RecvActivation,1704710558.1069236,1704710558.3522081,0.2452845573425293,3,11497792000,8983373824
ForwardPass,1704710558.3525429,1704710558.5569844,0.20444154739379883,3,11497792000,9577776128
RecvGrad,1704710558.5573628,1704710558.7469735,0.18961071968078613,3,11497792000,9577776128
SendActivation,1704710558.7473054,1704710558.9547024,0.2073969841003418,3,11497792000,9577776128
BackwardPass,1704710558.9550273,1704710559.5910406,0.6360132694244385,3,11497792000,9048909824
SendGrad,1704710559.5914214,1704710559.9033759,0.3119544982910156,3,11497792000,8917453824
RecvActivation,1704710559.9037218,1704710560.1381993,0.23447751998901367,3,11497792000,8983373824
ForwardPass,1704710560.1385677,1704710560.3444793,0.20591163635253906,3,11497792000,9576727552
RecvGrad,1704710560.3448412,1704710560.5347657,0.1899244785308838,3,11497792000,9576727552
SendActivation,1704710560.5350902,1704710560.7426593,0.20756912231445312,3,11497792000,9576727552
BackwardPass,1704710560.742986,1704710561.3802621,0.6372761726379395,3,11497792000,9048909824
SendGrad,1704710561.3806808,1704710561.5743759,0.193695068359375,3,11497792000,8916405248
