task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1704708915.310021,1704708915.8654184,0.5553975105285645,1,13168022528,9249702400
ForwardPass,1704708915.8659008,1704708916.3992693,0.5333685874938965,1,13168022528,9984744960
SendActivation,1704708916.3997073,1704708916.6215155,0.22180819511413574,1,13168022528,9984744960
RecvActivation,1704708916.6219857,1704708916.819547,0.19756126403808594,1,13168022528,10050664960
ForwardPass,1704708916.8200197,1704708917.0498717,0.22985196113586426,1,13168022528,10778236416
SendActivation,1704708917.0502877,1704708918.0673344,1.0170466899871826,1,13168022528,10778236416
RecvActivation,1704708918.0678468,1704708918.2515635,0.1837167739868164,1,13168022528,10844156416
ForwardPass,1704708918.2519739,1704708918.4819393,0.2299654483795166,1,13168022528,11569630720
RecvGrad,1704708918.4823847,1704708921.1056235,2.6232388019561768,1,13168022528,11635166720
SendActivation,1704708921.10605,1704708921.3065617,0.20051169395446777,1,13168022528,11635166720
BackwardPass,1704708921.3070319,1704708922.0231462,0.7161142826080322,1,14424944640,11995181568
SendGrad,1704708922.0236938,1704708922.27557,0.2518761157989502,1,14424944640,11863725568
RecvActivation,1704708922.276034,1704708922.5133855,0.2373514175415039,1,14424944640,11929645568
ForwardPass,1704708922.513865,1704708922.7438607,0.2299957275390625,1,14424944640,12651974144
RecvGrad,1704708922.7442806,1704708922.954239,0.20995831489562988,1,14424944640,12651974144
SendActivation,1704708922.9547026,1704708923.1543775,0.1996748447418213,1,14424944640,12651974144
BackwardPass,1704708923.154788,1704708923.870463,0.715674877166748,1,14424944640,11990462976
SendGrad,1704708923.8710246,1704708924.067107,0.19608235359191895,1,14424944640,11857958400
RecvGrad,1704708924.0675638,1704708924.7214994,0.6539356708526611,1,14424944640,11857958400
BackwardPass,1704708924.7219956,1704708925.438603,0.7166073322296143,1,14424944640,11199068672
SendGrad,1704708925.4390876,1704708925.6343312,0.19524359703063965,1,14424944640,11066564096
RecvGrad,1704708925.6348696,1704708925.8955085,0.260638952255249,1,14424944640,11066564096
BackwardPass,1704708925.895936,1704708926.610181,0.714245080947876,1,14424944640,10409771520
SendGrad,1704708926.61071,1704708926.8067083,0.1959984302520752,1,14424944640,10278315520
ReduceTiedGrads,1704708926.8072088,1704708926.8072572,4.839897155761719e-05,1,14424944640,10278315520
ReduceGrads,1704708926.8080728,1704708926.8181722,0.010099411010742188,1,14424944640,10278315520
OptimizerStep,1704708926.818569,1704708927.865099,1.04653000831604,1,14424944640,10278315520
RecvActivation,1704708928.4583986,1704708928.9721663,0.5137677192687988,1,14424944640,10345772032
ForwardPass,1704708928.9725869,1704708929.20239,0.22980308532714844,1,14424944640,11067052032
SendActivation,1704708929.2028024,1704708929.3984654,0.1956629753112793,1,14424944640,11067052032
RecvActivation,1704708929.3990319,1704708929.6041722,0.2051403522491455,1,14424944640,11132972032
ForwardPass,1704708929.60459,1704708929.834654,0.23006415367126465,1,14424944640,11859494912
SendActivation,1704708929.8350747,1704708930.0386584,0.2035837173461914,1,14424944640,11859494912
RecvActivation,1704708930.0395408,1704708930.246673,0.20713233947753906,1,14424944640,11925414912
ForwardPass,1704708930.2471006,1704708930.4766839,0.2295832633972168,1,14424944640,12651937792
RecvGrad,1704708930.4771292,1704708932.1511438,1.6740145683288574,1,14424944640,12651937792
SendActivation,1704708932.151697,1704708932.3473804,0.19568347930908203,1,14424944640,12651937792
BackwardPass,1704708932.3478434,1704708933.0655308,0.7176873683929443,1,14425956864,11996193792
SendGrad,1704708933.0660279,1704708933.261516,0.19548821449279785,1,14425956864,11864737792
RecvActivation,1704708933.2619898,1704708933.507518,0.2455282211303711,1,14425956864,11930657792
ForwardPass,1704708933.507967,1704708933.7376602,0.22969317436218262,1,14425956864,12654034944
RecvGrad,1704708933.7380986,1704708933.9547465,0.21664786338806152,1,14425956864,12654034944
SendActivation,1704708933.9552164,1704708934.151086,0.19586968421936035,1,14425956864,12654034944
BackwardPass,1704708934.15204,1704708934.8684926,0.7164525985717773,1,14425956864,11994096640
SendGrad,1704708934.868965,1704708935.0645187,0.19555377960205078,1,14425956864,11861592064
RecvGrad,1704708935.0649822,1704708935.7248788,0.6598966121673584,1,14425956864,11861592064
BackwardPass,1704708935.7254062,1704708936.4403002,0.7148940563201904,1,14425956864,11200605184
SendGrad,1704708936.4408054,1704708936.6367342,0.19592881202697754,1,14425956864,11069149184
RecvGrad,1704708936.6371863,1704708936.8999317,0.26274538040161133,1,14425956864,11069149184
BackwardPass,1704708936.9003968,1704708937.617889,0.7174921035766602,1,14425956864,10412356608
SendGrad,1704708937.6183662,1704708937.8137057,0.19533944129943848,1,14425956864,10279852032
ReduceTiedGrads,1704708937.814163,1704708937.814227,6.413459777832031e-05,1,14425956864,10279852032
ReduceGrads,1704708937.8145874,1704708937.8236463,0.009058952331542969,1,14425956864,10279852032
OptimizerStep,1704708937.8240721,1704708938.8624237,1.0383515357971191,1,14425956864,10279852032
RecvActivation,1704708938.948859,1704708939.471034,0.5221750736236572,1,14425956864,10345772032
ForwardPass,1704708939.4715028,1704708939.7027013,0.23119854927062988,1,14425956864,11068100608
SendActivation,1704708939.7031422,1704708939.8981302,0.19498801231384277,1,14425956864,11068100608
RecvActivation,1704708939.898603,1704708940.1054392,0.20683622360229492,1,14425956864,11134020608
ForwardPass,1704708940.1059172,1704708940.3366244,0.23070716857910156,1,14425956864,11861592064
SendActivation,1704708940.3370605,1704708940.5393376,0.20227718353271484,1,14425956864,11861592064
RecvActivation,1704708940.5398607,1704708940.7463632,0.20650243759155273,1,14425956864,11927512064
ForwardPass,1704708940.7467866,1704708940.9801779,0.23339128494262695,1,14425956864,12655083520
RecvGrad,1704708940.980649,1704708942.6572976,1.6766486167907715,1,14425956864,12655083520
SendActivation,1704708942.657935,1704708942.8541968,0.19626188278198242,1,14425956864,12655083520
BackwardPass,1704708942.854702,1704708943.5734847,0.7187826633453369,1,14427005440,11998290944
SendGrad,1704708943.5740414,1704708943.7694466,0.1954052448272705,1,14427005440,11866834944
RecvActivation,1704708943.7699597,1704708944.0149846,0.2450249195098877,1,14427005440,11932754944
ForwardPass,1704708944.0154512,1704708944.2468789,0.23142766952514648,1,14427005440,12654034944
RecvGrad,1704708944.247341,1704708944.46267,0.21532917022705078,1,14427005440,12654034944
SendActivation,1704708944.4631083,1704708944.6576452,0.19453692436218262,1,14427005440,12654034944
BackwardPass,1704708944.6582007,1704708945.3758898,0.717689037322998,1,14427005440,11991999488
SendGrad,1704708945.3812838,1704708945.5769773,0.1956934928894043,1,14427005440,11860543488
RecvGrad,1704708945.577453,1704708946.231713,0.6542601585388184,1,14427005440,11860543488
BackwardPass,1704708946.2321956,1704708946.9487195,0.7165238857269287,1,14427005440,11198508032
SendGrad,1704708946.949197,1704708947.1454582,0.19626116752624512,1,14427005440,11067052032
RecvGrad,1704708947.1460402,1704708947.4123268,0.26628661155700684,1,14427005440,11067052032
BackwardPass,1704708947.4127843,1704708948.1307352,0.7179508209228516,1,14427005440,10411308032
SendGrad,1704708948.131301,1704708948.327058,0.19575715065002441,1,14427005440,10279852032
ReduceTiedGrads,1704708948.32749,1704708948.3275642,7.414817810058594e-05,1,14427005440,10279852032
ReduceGrads,1704708948.3279219,1704708948.337022,0.009100198745727539,1,14427005440,10279852032
OptimizerStep,1704708948.3374178,1704708949.3770542,1.0396363735198975,1,14427005440,10279852032
RecvActivation,1704708949.4638302,1704708949.9849086,0.52107834815979,1,14427005440,10345772032
ForwardPass,1704708949.9859846,1704708950.2170346,0.2310500144958496,1,14427005440,11067052032
SendActivation,1704708950.2174668,1704708950.4117553,0.1942884922027588,1,14427005440,11067052032
RecvActivation,1704708950.412277,1704708950.6177564,0.20547938346862793,1,14427005440,11132972032
ForwardPass,1704708950.6182427,1704708950.8492253,0.23098254203796387,1,14427005440,11859494912
SendActivation,1704708950.8496714,1704708951.0505745,0.20090317726135254,1,14427005440,11859494912
RecvActivation,1704708951.051082,1704708951.2570379,0.20595598220825195,1,14427005440,11925414912
ForwardPass,1704708951.257527,1704708951.488948,0.23142099380493164,1,14427005440,12651937792
RecvGrad,1704708951.4893973,1704708953.1695333,1.68013596534729,1,14427005440,12651937792
SendActivation,1704708953.170026,1704708953.3658826,0.19585657119750977,1,14427005440,12651937792
BackwardPass,1704708953.3663473,1704708954.083076,0.716728687286377,1,14427005440,11996193792
SendGrad,1704708954.0835755,1704708954.2795825,0.19600701332092285,1,14427005440,11864737792
RecvActivation,1704708954.2800896,1704708954.5245068,0.2444171905517578,1,14427005440,11930657792
ForwardPass,1704708954.5249565,1704708954.7560506,0.2310941219329834,1,14427005440,12652986368
RecvGrad,1704708954.7565446,1704708954.9678295,0.21128487586975098,1,14427005440,12652986368
SendActivation,1704708954.9682899,1704708955.1630454,0.19475555419921875,1,14427005440,12652986368
BackwardPass,1704708955.1635177,1704708955.88189,0.7183723449707031,1,14427005440,11991999488
SendGrad,1704708955.882386,1704708956.0783746,0.19598865509033203,1,14427005440,11860543488
RecvGrad,1704708956.0795114,1704708956.7471366,0.6676251888275146,1,14427005440,11860543488
BackwardPass,1704708956.7486682,1704708957.4663534,0.7176852226257324,1,14427005440,11199556608
SendGrad,1704708957.4668717,1704708957.6628692,0.1959974765777588,1,14427005440,11068100608
RecvGrad,1704708957.6633244,1704708957.9206038,0.2572793960571289,1,14427005440,11068100608
BackwardPass,1704708957.9210994,1704708958.6416545,0.7205550670623779,1,14427005440,10411308032
SendGrad,1704708958.6421847,1704708958.837832,0.1956472396850586,1,14427005440,10279852032
ReduceTiedGrads,1704708958.83864,1704708958.8387246,8.463859558105469e-05,1,14427005440,10279852032
ReduceGrads,1704708958.8391576,1704708958.848275,0.009117364883422852,1,14427005440,10279852032
OptimizerStep,1704708958.8487055,1704708959.8896322,1.0409266948699951,1,14427005440,10279852032
RecvActivation,1704708959.9763234,1704708960.4986787,0.522355318069458,1,14427005440,10345772032
ForwardPass,1704708960.499792,1704708960.7329533,0.23316121101379395,1,14427005440,11067052032
SendActivation,1704708960.7334034,1704708960.9275446,0.19414114952087402,1,14427005440,11067052032
RecvActivation,1704708960.928141,1704708961.1305828,0.20244169235229492,1,14427005440,11132972032
ForwardPass,1704708961.1310759,1704708961.3620443,0.23096847534179688,1,14427005440,11859494912
SendActivation,1704708961.3624778,1704708961.5726206,0.2101428508758545,1,14427005440,11859494912
RecvActivation,1704708961.573169,1704708961.7801118,0.20694279670715332,1,14427005440,11925414912
ForwardPass,1704708961.780555,1704708962.0125785,0.2320234775543213,1,14427005440,12651937792
RecvGrad,1704708962.0130358,1704708963.7179344,1.7048985958099365,1,14427005440,12651937792
SendActivation,1704708963.7184904,1704708963.9143875,0.19589710235595703,1,14427005440,12651937792
