task,start_time,end_time,duration,rank,max_mem,alloc_mem
LoadMicroBatch,1704643169.5662112,1704643169.566477,0.0002658367156982422,0,5739888640,5739731968
ForwardPass,1704643169.5669363,1704643171.074611,1.5076746940612793,0,7002208256,6144997376
SendActivation,1704643171.0751264,1704643171.2938142,0.2186877727508545,0,7002208256,6144997376
LoadMicroBatch,1704643171.2944736,1704643171.2948072,0.00033354759216308594,0,7002208256,6145381376
ForwardPass,1704643171.2952461,1704643171.5093915,0.21414542198181152,0,7399337984,6542127104
SendActivation,1704643171.5099194,1704643172.8056114,1.295691967010498,0,7399337984,6542127104
LoadMicroBatch,1704643172.80621,1704643172.8065476,0.0003376007080078125,0,7399337984,6542511104
ForwardPass,1704643172.806993,1704643173.0205932,0.21360015869140625,0,7796467712,6939256832
RecvGrad,1704643173.0210867,1704643176.1301541,3.109067440032959,0,7796467712,7004792832
SendActivation,1704643176.1306353,1704643176.3411856,0.21055030822753906,0,7796467712,7004792832
BackwardPass,1704643176.341654,1704643177.001383,0.65972900390625,0,9618893312,7254666240
LoadMicroBatch,1704643177.001855,1704643177.002112,0.0002570152282714844,0,9618893312,7254666240
ForwardPass,1704643177.002539,1704643177.2169123,0.21437335014343262,0,9618893312,7650363392
RecvGrad,1704643177.2173953,1704643178.2195292,1.002133846282959,0,9618893312,7650363392
SendActivation,1704643178.2200234,1704643178.4190118,0.1989884376525879,0,9618893312,7650363392
BackwardPass,1704643178.419499,1704643179.0807662,0.6612672805786133,0,9620990464,7253617664
RecvGrad,1704643179.081265,1704643180.3028665,1.2216014862060547,0,9620990464,7253617664
BackwardPass,1704643180.304092,1704643180.967056,0.6629641056060791,0,9620990464,6856871936
RecvGrad,1704643180.96755,1704643182.0514297,1.0838797092437744,0,9620990464,6856871936
BackwardPass,1704643182.0519059,1704643182.7155397,0.6636338233947754,0,9620990464,6461174784
ReduceTiedGrads,1704643182.7163146,1704643182.7163844,6.985664367675781e-05,0,9620990464,6461174784
