task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1704711378.2687328,1704711380.79727,2.5285372734069824,3,11846816256,8335343616
ForwardPass,1704711380.797646,1704711381.9214928,1.1238467693328857,3,11846816256,9004850176
SendActivation,1704711381.921877,1704711382.14149,0.21961307525634766,3,11846816256,9004850176
RecvActivation,1704711382.1418781,1704711382.335207,0.193328857421875,3,11846816256,9070770176
ForwardPass,1704711382.3355522,1704711382.5660489,0.23049664497375488,3,11846816256,9730708480
RecvGrad,1704711382.5664132,1704711384.2648304,1.6984171867370605,3,11846816256,9796244480
SendActivation,1704711384.265173,1704711384.4762707,0.21109771728515625,3,11846816256,9796244480
BackwardPass,1704711384.4766908,1704711385.1924036,0.7157127857208252,3,12551935488,10121123840
SendGrad,1704711385.192784,1704711385.4366088,0.24382472038269043,3,12551935488,9989667840
RecvActivation,1704711385.4369442,1704711385.6803029,0.24335861206054688,3,12551935488,10055587840
ForwardPass,1704711385.6806479,1704711385.9106777,0.23002982139587402,3,12551935488,10714477568
RecvGrad,1704711385.9110553,1704711386.1067815,0.1957261562347412,3,12551935488,10714477568
SendActivation,1704711386.1071281,1704711386.315377,0.20824885368347168,3,12551935488,10714477568
BackwardPass,1704711386.3157191,1704711387.0292335,0.7135143280029297,3,12551935488,10119026688
SendGrad,1704711387.029953,1704711387.2809947,0.2510416507720947,3,12551935488,9987570688
RecvActivation,1704711387.281337,1704711387.524773,0.24343585968017578,3,12551935488,10053490688
ForwardPass,1704711387.5250978,1704711387.7565858,0.23148798942565918,3,12551935488,10712380416
RecvGrad,1704711387.7569592,1704711387.9507947,0.19383549690246582,3,12551935488,10712380416
SendActivation,1704711387.951151,1704711388.161732,0.21058106422424316,3,12551935488,10712380416
BackwardPass,1704711388.162089,1704711388.8792078,0.7171187400817871,3,12551935488,10119026688
SendGrad,1704711388.8796244,1704711389.0734074,0.19378304481506348,3,12551935488,9987570688
RecvGrad,1704711389.073839,1704711389.5184398,0.44460082054138184,3,12551935488,9987570688
BackwardPass,1704711389.5188513,1704711390.2348983,0.7160470485687256,3,12551935488,9394216960
SendGrad,1704711390.2353137,1704711390.4288237,0.1935100555419922,3,12551935488,9262760960
ReduceTiedGrads,1704711390.4292037,1704711390.429244,4.029273986816406e-05,3,12551935488,9262760960
ReduceGrads,1704711390.429899,1704711390.4395778,0.009678840637207031,3,12551935488,9262760960
OptimizerStep,1704711390.4399002,1704711393.129615,2.6897149085998535,3,12907611136,9262760960
RecvActivation,1704711393.7966106,1704711395.1608317,1.3642210960388184,3,12907611136,9330217472
ForwardPass,1704711395.1612017,1704711395.392213,0.23101139068603516,3,12907611136,9990155776
SendActivation,1704711395.3925853,1704711395.5927525,0.20016717910766602,3,12907611136,9990155776
RecvActivation,1704711395.593122,1704711395.8105092,0.21738719940185547,3,12907611136,10056075776
ForwardPass,1704711395.810845,1704711396.0426288,0.23178386688232422,3,12907611136,10716014080
RecvGrad,1704711396.0430088,1704711397.0332813,0.9902725219726562,3,12907611136,10716014080
SendActivation,1704711397.0337079,1704711397.2294898,0.19578194618225098,3,12907611136,10716014080
BackwardPass,1704711397.2298412,1704711397.9474792,0.7176380157470703,3,12907611136,10121611776
SendGrad,1704711397.947881,1704711398.1418054,0.1939244270324707,3,12907611136,9990155776
RecvActivation,1704711398.1421597,1704711398.3885567,0.2463970184326172,3,12907611136,10056075776
ForwardPass,1704711398.3889368,1704711398.6199818,0.23104500770568848,3,12907611136,10717062656
RecvGrad,1704711398.6203756,1704711398.8102193,0.18984365463256836,3,12907611136,10717062656
SendActivation,1704711398.8105533,1704711399.0082424,0.19768905639648438,3,12907611136,10717062656
BackwardPass,1704711399.0085866,1704711399.7260249,0.7174382209777832,3,12907611136,10122660352
SendGrad,1704711399.726417,1704711399.932029,0.2056119441986084,3,12907611136,9991204352
RecvActivation,1704711399.9324222,1704711400.1768854,0.24446320533752441,3,12907611136,10057124352
ForwardPass,1704711400.17726,1704711400.4092193,0.23195934295654297,3,12907611136,10714965504
RecvGrad,1704711400.409586,1704711400.6001074,0.1905214786529541,3,12907611136,10714965504
SendActivation,1704711400.600428,1704711400.7968137,0.19638562202453613,3,12907611136,10714965504
BackwardPass,1704711400.797157,1704711401.5146248,0.7174677848815918,3,12907611136,10120563200
SendGrad,1704711401.5150242,1704711401.7195778,0.20455360412597656,3,12907611136,9988058624
RecvGrad,1704711401.7199473,1704711402.172524,0.4525766372680664,3,12907611136,9988058624
BackwardPass,1704711402.1729574,1704711402.8913631,0.7184057235717773,3,12907611136,9395753472
SendGrad,1704711402.891736,1704711403.0964103,0.20467424392700195,3,12907611136,9264297472
ReduceTiedGrads,1704711403.096766,1704711403.0968199,5.3882598876953125e-05,3,12907611136,9264297472
ReduceGrads,1704711403.0971096,1704711403.1058035,0.008693933486938477,3,12907611136,9264297472
OptimizerStep,1704711403.106127,1704711405.7798827,2.673755645751953,3,12909147648,9264297472
RecvActivation,1704711405.932378,1704711407.301913,1.369534969329834,3,12909147648,9330217472
ForwardPass,1704711407.3022766,1704711407.533915,0.23163843154907227,3,12909147648,9987010048
SendActivation,1704711407.5342948,1704711407.7286582,0.19436335563659668,3,12909147648,9987010048
RecvActivation,1704711407.7290175,1704711407.944921,0.21590352058410645,3,12909147648,10052930048
ForwardPass,1704711407.9452546,1704711408.176517,0.2312624454498291,3,12909147648,10713916928
RecvGrad,1704711408.176895,1704711409.1628356,0.98594069480896,3,12909147648,10713916928
SendActivation,1704711409.1634881,1704711409.364193,0.20070481300354004,3,12909147648,10713916928
BackwardPass,1704711409.3645945,1704711410.0868576,0.7222630977630615,3,12909147648,10122660352
SendGrad,1704711410.0873322,1704711410.2806978,0.19336557388305664,3,12909147648,9991204352
RecvActivation,1704711410.2814746,1704711410.5275981,0.2461235523223877,3,12909147648,10057124352
ForwardPass,1704711410.5279524,1704711410.7607293,0.23277688026428223,3,12909147648,10714965504
RecvGrad,1704711410.7611616,1704711410.9509702,0.18980860710144043,3,12909147648,10714965504
SendActivation,1704711410.9513235,1704711411.148122,0.19679856300354004,3,12909147648,10714965504
BackwardPass,1704711411.148477,1704711411.8672493,0.7187721729278564,3,12909147648,10119514624
SendGrad,1704711411.8676448,1704711412.0752692,0.2076244354248047,3,12909147648,9988058624
RecvActivation,1704711412.0756087,1704711412.321152,0.2455432415008545,3,12909147648,10053978624
ForwardPass,1704711412.3214924,1704711412.5531142,0.23162174224853516,3,12909147648,10712868352
RecvGrad,1704711412.553493,1704711412.7491515,0.19565844535827637,3,12909147648,10712868352
SendActivation,1704711412.7495437,1704711412.9468884,0.19734477996826172,3,12909147648,10712868352
BackwardPass,1704711412.9513874,1704711413.6731467,0.7217593193054199,3,12909147648,10121611776
SendGrad,1704711413.673507,1704711413.8655515,0.19204449653625488,3,12909147648,9989107200
RecvGrad,1704711413.865913,1704711414.3110883,0.4451754093170166,3,12909147648,9989107200
BackwardPass,1704711414.3114097,1704711415.0303838,0.7189741134643555,3,12909147648,9395753472
SendGrad,1704711415.0307727,1704711415.2234802,0.19270753860473633,3,12909147648,9264297472
ReduceTiedGrads,1704711415.2238517,1704711415.2238917,4.00543212890625e-05,3,12909147648,9264297472
ReduceGrads,1704711415.22418,1704711415.2328327,0.008652687072753906,3,12909147648,9264297472
OptimizerStep,1704711415.2331476,1704711417.912861,2.679713487625122,3,12909147648,9264297472
RecvActivation,1704711418.0686707,1704711419.4401925,1.3715217113494873,3,12909147648,9330217472
ForwardPass,1704711419.4405944,1704711419.6718502,0.23125576972961426,3,12909147648,9988058624
SendActivation,1704711419.6727066,1704711419.8803704,0.20766377449035645,3,12909147648,9988058624
RecvActivation,1704711419.8807313,1704711420.0925796,0.21184825897216797,3,12909147648,10053978624
ForwardPass,1704711420.0929224,1704711420.3255742,0.2326517105102539,3,12909147648,10714965504
RecvGrad,1704711420.3259547,1704711421.3006146,0.9746599197387695,3,12909147648,10714965504
SendActivation,1704711421.3009827,1704711421.5083828,0.20740008354187012,3,12909147648,10714965504
BackwardPass,1704711421.5087576,1704711422.2270844,0.7183268070220947,3,12909147648,10122660352
SendGrad,1704711422.2274623,1704711422.4207268,0.19326448440551758,3,12909147648,9991204352
RecvActivation,1704711422.421049,1704711422.670296,0.24924683570861816,3,12909147648,10057124352
ForwardPass,1704711422.6706467,1704711422.9030313,0.23238468170166016,3,12909147648,10714965504
RecvGrad,1704711422.9034128,1704711423.093111,0.1896982192993164,3,12909147648,10714965504
SendActivation,1704711423.0938673,1704711423.296869,0.2030017375946045,3,12909147648,10714965504
BackwardPass,1704711423.297209,1704711424.0146847,0.7174756526947021,3,12909147648,10119514624
SendGrad,1704711424.0150607,1704711424.2241223,0.2090616226196289,3,12909147648,9988058624
RecvActivation,1704711424.224448,1704711424.4635847,0.2391366958618164,3,12909147648,10053978624
ForwardPass,1704711424.4639924,1704711424.6964924,0.2325000762939453,3,12909147648,10712868352
RecvGrad,1704711424.6968842,1704711424.888461,0.19157695770263672,3,12909147648,10712868352
SendActivation,1704711424.8887975,1704711425.0865183,0.19772076606750488,3,12909147648,10712868352
BackwardPass,1704711425.0876806,1704711425.8071342,0.7194535732269287,3,12909147648,10121611776
SendGrad,1704711425.8075228,1704711426.0006871,0.19316434860229492,3,12909147648,9989107200
RecvGrad,1704711426.0012224,1704711426.4494514,0.4482290744781494,3,12909147648,9989107200
BackwardPass,1704711426.45038,1704711427.1701047,0.7197246551513672,3,12909147648,9395753472
SendGrad,1704711427.1704683,1704711427.363842,0.1933736801147461,3,12909147648,9264297472
ReduceTiedGrads,1704711427.36419,1704711427.364225,3.4809112548828125e-05,3,12909147648,9264297472
