task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1704709686.3328965,1704709687.6249363,1.2920398712158203,2,13168022528,9249702400
ForwardPass,1704709687.6252747,1704709688.689477,1.0642023086547852,2,13168022528,9984744960
SendActivation,1704709688.6898048,1704709688.909532,0.2197272777557373,2,13168022528,9984744960
RecvActivation,1704709688.910317,1704709689.1113467,0.20102977752685547,2,13168022528,10050664960
ForwardPass,1704709689.1121113,1704709689.365872,0.25376057624816895,2,13168022528,10778236416
RecvGrad,1704709689.3661795,1704709691.1627553,1.7965757846832275,2,13168022528,10843772416
SendActivation,1704709691.1631145,1704709691.3652089,0.20209431648254395,2,13168022528,10843772416
BackwardPass,1704709691.3655035,1704709692.1524012,0.7868976593017578,2,13635123200,11203262976
SendGrad,1704709692.1527247,1704709692.4083993,0.2556746006011963,2,13635123200,11071806976
RecvActivation,1704709692.40876,1704709692.6524913,0.24373126029968262,2,13635123200,11137726976
ForwardPass,1704709692.6527998,1704709692.9073224,0.25452256202697754,2,13635123200,11861104128
RecvGrad,1704709692.9109325,1704709693.113878,0.20294547080993652,2,13635123200,11861104128
SendActivation,1704709693.114186,1704709693.3117182,0.19753217697143555,2,13635123200,11861104128
BackwardPass,1704709693.31201,1704709694.0967088,0.7846987247467041,2,13635123200,11199068672
SendGrad,1704709694.0974073,1704709694.2919934,0.19458603858947754,2,13635123200,11067612672
RecvActivation,1704709694.2922482,1704709694.5384827,0.24623441696166992,2,13635123200,11133532672
ForwardPass,1704709694.5387447,1704709694.7936668,0.25492215156555176,2,13635123200,11859006976
RecvGrad,1704709694.7939513,1704709694.9875085,0.1935572624206543,2,13635123200,11859006976
SendActivation,1704709694.9877765,1704709695.1860406,0.19826412200927734,2,13635123200,11859006976
BackwardPass,1704709695.186299,1704709695.9717512,0.785452127456665,2,13635123200,11201165824
SendGrad,1704709695.9720724,1704709696.1626415,0.19056916236877441,2,13635123200,11069709824
RecvGrad,1704709696.1629264,1704709696.5752532,0.4123268127441406,2,13635123200,11069709824
BackwardPass,1704709696.5755289,1704709697.359914,0.7843852043151855,2,13635123200,10410820096
SendGrad,1704709697.3603122,1704709697.5507464,0.19043421745300293,2,13635123200,10278315520
ReduceTiedGrads,1704709697.5515747,1704709697.5516882,0.00011348724365234375,2,13635123200,10278315520
ReduceGrads,1704709697.5528517,1704709697.565258,0.012406349182128906,2,13635123200,10278315520
OptimizerStep,1704709697.5656278,1704709699.332707,1.7670791149139404,2,14330013184,10278315520
RecvActivation,1704709699.992013,1704709700.9051495,0.9131364822387695,2,14330013184,10345772032
ForwardPass,1704709700.905624,1704709701.1602602,0.254636287689209,2,14330013184,11068100608
SendActivation,1704709701.160576,1704709701.3572834,0.19670724868774414,2,14330013184,11068100608
RecvActivation,1704709701.3577344,1704709701.570737,0.21300244331359863,2,14330013184,11134020608
ForwardPass,1704709701.5711045,1704709701.8261745,0.2550699710845947,2,14330013184,11861592064
RecvGrad,1704709701.826492,1704709702.8112185,0.9847264289855957,2,14330013184,11861592064
SendActivation,1704709702.812444,1704709703.009315,0.19687104225158691,2,14330013184,11861592064
BackwardPass,1704709703.0095792,1704709703.7984397,0.788860559463501,2,14330013184,11204799488
SendGrad,1704709703.7989192,1704709703.9896524,0.1907331943511963,2,14330013184,11073343488
RecvActivation,1704709703.989996,1704709704.2403424,0.25034642219543457,2,14330013184,11139263488
ForwardPass,1704709704.2407947,1704709704.495836,0.25504136085510254,2,14330013184,11860543488
RecvGrad,1704709704.496207,1704709704.6909163,0.19470930099487305,2,14330013184,11860543488
SendActivation,1704709704.6913426,1704709704.889725,0.19838237762451172,2,14330013184,11860543488
BackwardPass,1704709704.8901603,1704709705.680249,0.7900886535644531,2,14330013184,11198508032
SendGrad,1704709705.6806633,1704709705.8712761,0.19061279296875,2,14330013184,11067052032
RecvActivation,1704709705.8715634,1704709706.1219742,0.250410795211792,2,14330013184,11132972032
ForwardPass,1704709706.1222963,1704709706.3775635,0.2552671432495117,2,14330013184,11858446336
RecvGrad,1704709706.377871,1704709706.569825,0.1919538974761963,2,14330013184,11858446336
SendActivation,1704709706.5701978,1704709706.768011,0.1978132724761963,2,14330013184,11858446336
BackwardPass,1704709706.7683358,1704709707.5536535,0.7853176593780518,2,14330013184,11202702336
SendGrad,1704709707.554011,1704709707.7454116,0.19140052795410156,2,14330013184,11071246336
RecvGrad,1704709707.745736,1704709708.1622944,0.41655850410461426,2,14330013184,11071246336
BackwardPass,1704709708.1625936,1704709708.9487987,0.7862050533294678,2,14330013184,10412356608
SendGrad,1704709708.9491494,1704709709.139522,0.19037270545959473,2,14330013184,10279852032
ReduceTiedGrads,1704709709.1398327,1704709709.139886,5.316734313964844e-05,2,14330013184,10279852032
ReduceGrads,1704709709.1401489,1704709709.14978,0.009631156921386719,2,14330013184,10279852032
OptimizerStep,1704709709.1500406,1704709710.910741,1.7607004642486572,2,14331549696,10279852032
RecvActivation,1704709711.0479922,1704709711.9716094,0.9236171245574951,2,14331549696,10345772032
ForwardPass,1704709711.971895,1704709712.2263563,0.25446128845214844,2,14331549696,11068100608
SendActivation,1704709712.2266376,1704709712.423111,0.1964733600616455,2,14331549696,11068100608
RecvActivation,1704709712.423388,1704709712.6308932,0.2075052261352539,2,14331549696,11134020608
ForwardPass,1704709712.6311853,1704709712.886441,0.25525569915771484,2,14331549696,11861592064
RecvGrad,1704709712.886745,1704709713.8906915,1.0039465427398682,2,14331549696,11861592064
SendActivation,1704709713.8911216,1704709714.0882225,0.19710087776184082,2,14331549696,11861592064
BackwardPass,1704709714.0885262,1704709714.8762746,0.7877483367919922,2,14331549696,11204799488
SendGrad,1704709714.8767464,1704709715.067351,0.19060468673706055,2,14331549696,11073343488
RecvActivation,1704709715.0681262,1704709715.3179107,0.2497844696044922,2,14331549696,11139263488
ForwardPass,1704709715.3181715,1704709715.5742006,0.2560291290283203,2,14331549696,11860543488
RecvGrad,1704709715.5744758,1704709715.7661855,0.1917097568511963,2,14331549696,11860543488
SendActivation,1704709715.7664635,1704709715.96266,0.1961965560913086,2,14331549696,11860543488
BackwardPass,1704709715.9629178,1704709716.7502527,0.7873349189758301,2,14331549696,11198508032
SendGrad,1704709716.750571,1704709716.9409103,0.1903393268585205,2,14331549696,11067052032
RecvActivation,1704709716.9411814,1704709717.191687,0.2505056858062744,2,14331549696,11132972032
ForwardPass,1704709717.1919835,1704709717.4468813,0.2548978328704834,2,14331549696,11858446336
RecvGrad,1704709717.4471776,1704709717.6390696,0.19189190864562988,2,14331549696,11858446336
SendActivation,1704709717.6393664,1704709717.8374584,0.19809198379516602,2,14331549696,11858446336
BackwardPass,1704709717.839075,1704709718.6259432,0.7868680953979492,2,14331549696,11202702336
SendGrad,1704709718.6262453,1704709718.8170455,0.19080018997192383,2,14331549696,11071246336
RecvGrad,1704709718.8174963,1704709719.232657,0.4151606559753418,2,14331549696,11071246336
BackwardPass,1704709719.232956,1704709720.0222986,0.7893426418304443,2,14331549696,10411308032
SendGrad,1704709720.022722,1704709720.2146084,0.19188642501831055,2,14331549696,10279852032
ReduceTiedGrads,1704709720.214935,1704709720.214993,5.793571472167969e-05,2,14331549696,10279852032
ReduceGrads,1704709720.2152581,1704709720.2249,0.009641885757446289,2,14331549696,10279852032
OptimizerStep,1704709720.2251844,1704709721.979301,1.7541165351867676,2,14331549696,10279852032
RecvActivation,1704709722.1173012,1704709723.0431514,0.9258501529693604,2,14331549696,10345772032
ForwardPass,1704709723.0435069,1704709723.2987795,0.25527262687683105,2,14331549696,11068100608
SendActivation,1704709723.2995095,1704709723.4975665,0.19805693626403809,2,14331549696,11068100608
RecvActivation,1704709723.4978447,1704709723.6988223,0.20097756385803223,2,14331549696,11134020608
ForwardPass,1704709723.6991243,1704709723.953226,0.2541017532348633,2,14331549696,11860543488
RecvGrad,1704709723.9535472,1704709724.9585128,1.0049655437469482,2,14331549696,11860543488
SendActivation,1704709724.9589672,1704709725.155525,0.19655776023864746,2,14331549696,11860543488
BackwardPass,1704709725.1559753,1704709725.943302,0.7873265743255615,2,14331549696,11203750912
SendGrad,1704709725.9437213,1704709726.135126,0.1914048194885254,2,14331549696,11072294912
RecvActivation,1704709726.1354175,1704709726.3847897,0.24937224388122559,2,14331549696,11138214912
ForwardPass,1704709726.3850942,1704709726.6385965,0.25350236892700195,2,14331549696,11859494912
RecvGrad,1704709726.6393638,1704709726.8309455,0.19158172607421875,2,14331549696,11859494912
SendActivation,1704709726.8312135,1704709727.0288913,0.1976778507232666,2,14331549696,11859494912
BackwardPass,1704709727.0291622,1704709727.8173997,0.7882375717163086,2,14331549696,11198508032
SendGrad,1704709727.8178284,1704709728.0085096,0.19068121910095215,2,14331549696,11067052032
RecvActivation,1704709728.0087955,1704709728.2587583,0.24996280670166016,2,14331549696,11132972032
