task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1705229652.9736257,1705229654.3588529,1.3852272033691406,2,10538192896,7429373440
ForwardPass,1705229654.3592825,1705229655.8555014,1.4962189197540283,2,10538192896,8032295424
SendActivation,1705229655.8558857,1705229656.0609813,0.20509552955627441,2,10538192896,8032295424
RecvActivation,1705229656.0613616,1705229656.2687752,0.2074136734008789,2,10538192896,8098215424
ForwardPass,1705229656.269168,1705229656.5509796,0.2818117141723633,2,10538192896,8693666304
SendActivation,1705229656.5513515,1705229657.4932785,0.9419269561767578,2,10538192896,8693666304
RecvActivation,1705229657.4937022,1705229657.691904,0.19820189476013184,2,10538192896,8759586304
ForwardPass,1705229657.6922674,1705229657.9918554,0.2995879650115967,2,10538192896,9352940032
RecvGrad,1705229657.99225,1705229660.0848334,2.092583417892456,2,10538192896,9418476032
SendActivation,1705229660.0852244,1705229660.2829378,0.19771337509155273,2,10538192896,9418476032
BackwardPass,1705229660.283304,1705229660.9125357,0.6292316913604736,2,12140080128,9708219904
SendGrad,1705229660.9129794,1705229661.1755636,0.26258420944213867,2,12140080128,9576763904
RecvActivation,1705229661.175932,1705229661.4223423,0.24641036987304688,2,12140080128,9642683904
ForwardPass,1705229661.4227366,1705229661.6265733,0.20383667945861816,2,12140080128,10234989056
RecvGrad,1705229661.6269417,1705229661.830775,0.20383334159851074,2,12140080128,10234989056
SendActivation,1705229661.8311293,1705229662.029594,0.19846463203430176,2,12140080128,10234989056
BackwardPass,1705229662.0299485,1705229662.6608944,0.6309459209442139,2,12140080128,9705598464
SendGrad,1705229662.661293,1705229662.8675976,0.20630455017089844,2,12140080128,9573093888
RecvGrad,1705229662.8679566,1705229663.291968,0.4240114688873291,2,12140080128,9573093888
BackwardPass,1705229663.292327,1705229663.9217196,0.6293926239013672,2,12140080128,9045276160
SendGrad,1705229663.9221537,1705229664.2034907,0.28133702278137207,2,12140080128,8913820160
RecvGrad,1705229664.2038798,1705229664.3961182,0.19223833084106445,2,12140080128,8913820160
BackwardPass,1705229664.3965104,1705229665.0275428,0.6310324668884277,2,12140080128,8389148160
SendGrad,1705229665.0279179,1705229665.6022322,0.5743143558502197,2,12140080128,8256643584
ReduceTiedGrads,1705229665.6026196,1705229665.6026652,4.553794860839844e-05,2,12140080128,8256643584
ReduceGrads,1705229665.603346,1705229665.612157,0.008810997009277344,2,12140080128,8256643584
OptimizerStep,1705229665.6124713,1705229668.1820254,2.569554090499878,2,12140080128,8256643584
RecvActivation,1705229668.8479533,1705229669.9825358,1.13458251953125,2,12140080128,8324100096
ForwardPass,1705229669.9829047,1705229670.1863997,0.20349502563476562,2,12140080128,8917453824
SendActivation,1705229670.1867824,1705229670.3812468,0.19446444511413574,2,12140080128,8917453824
RecvActivation,1705229670.3816433,1705229670.6869638,0.30532050132751465,2,12140080128,8983373824
ForwardPass,1705229670.6873322,1705229670.8920875,0.20475530624389648,2,12140080128,9577776128
SendActivation,1705229670.8925822,1705229671.0887365,0.19615435600280762,2,12140080128,9577776128
RecvActivation,1705229671.0891118,1705229671.3906748,0.301563024520874,2,12140080128,9643696128
ForwardPass,1705229671.3911004,1705229671.596518,0.20541763305664062,2,12140080128,10237049856
RecvGrad,1705229671.5969217,1705229672.4094799,0.8125581741333008,2,12140080128,10237049856
SendActivation,1705229672.4098325,1705229672.6071272,0.1972947120666504,2,12140080128,10237049856
BackwardPass,1705229672.6074839,1705229673.2396266,0.6321427822113037,2,12140080128,9708183552
SendGrad,1705229673.2400084,1705229673.4334807,0.19347238540649414,2,12140080128,9576727552
RecvActivation,1705229673.433819,1705229673.6812584,0.24743938446044922,2,12140080128,9642647552
ForwardPass,1705229673.6817458,1705229673.8855748,0.20382905006408691,2,12140080128,10236001280
RecvGrad,1705229673.8859875,1705229674.0832458,0.19725823402404785,2,12140080128,10236001280
SendActivation,1705229674.0835946,1705229674.2817185,0.19812393188476562,2,12140080128,10236001280
BackwardPass,1705229674.282559,1705229674.9143038,0.6317448616027832,2,12140080128,9707659264
SendGrad,1705229674.9147034,1705229675.1093848,0.19468140602111816,2,12140080128,9576203264
RecvGrad,1705229675.1097915,1705229675.5447874,0.4349958896636963,2,12140080128,9576203264
BackwardPass,1705229675.5451174,1705229676.1762342,0.6311168670654297,2,12140080128,9047861248
SendGrad,1705229676.1766746,1705229676.451346,0.2746713161468506,2,12140080128,8916405248
RecvGrad,1705229676.4517314,1705229676.6448832,0.19315171241760254,2,12140080128,8916405248
BackwardPass,1705229676.645238,1705229677.2776542,0.6324162483215332,2,12140080128,8389636096
SendGrad,1705229677.2780824,1705229677.8666127,0.5885303020477295,2,12140080128,8258180096
ReduceTiedGrads,1705229677.8669827,1705229677.86704,5.7220458984375e-05,2,12140080128,8258180096
