task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1704642388.3486402,1704642390.2759943,1.927354097366333,2,9611250688,6787643904
LoadMicroBatch,1704642390.2766306,1704642390.2770462,0.00041556358337402344,2,9611250688,6788027904
ForwardPass,1704642390.2775047,1704642391.8228595,1.5453548431396484,2,10730857472,9705350144
BackwardPass,1704642391.8234258,1704642392.71725,0.8938243389129639,2,11756237312,8701330432
SendGrad,1704642392.7178056,1704642392.9624114,0.24460577964782715,2,11756237312,8700946432
RecvActivation,1704642392.9629035,1704642393.2079194,0.24501585960388184,2,11756237312,8766866432
LoadMicroBatch,1704642393.2084148,1704642393.2086716,0.0002567768096923828,2,11756237312,8767250432
ForwardPass,1704642393.2091215,1704642393.5200884,0.31096696853637695,2,12699463168,11673955840
BackwardPass,1704642393.5206165,1704642394.4690514,0.9484348297119141,2,12985543680,9925262848
SendGrad,1704642394.4695554,1704642395.2506151,0.781059741973877,2,12985543680,9924878848
RecvActivation,1704642395.2511094,1704642395.4935393,0.2424299716949463,2,12985543680,9990798848
LoadMicroBatch,1704642395.4940083,1704642395.4942858,0.00027751922607421875,2,12985543680,9990798848
ForwardPass,1704642395.4947093,1704642395.8505003,0.3557910919189453,2,13925108736,11677102080
BackwardPass,1704642395.8509893,1704642396.7607777,0.9097883701324463,2,13925108736,9924214784
SendGrad,1704642396.7613077,1704642397.4378817,0.6765739917755127,2,13925108736,9923830784
RecvActivation,1704642397.4384177,1704642397.6840963,0.24567866325378418,2,13925108736,9989750784
LoadMicroBatch,1704642397.6846106,1704642397.6848986,0.0002880096435546875,2,13925108736,9989750784
ForwardPass,1704642397.6853492,1704642398.038289,0.3529398441314697,2,13925108736,11676054016
BackwardPass,1704642398.0392392,1704642398.946639,0.9073998928070068,2,13925108736,9924215296
SendGrad,1704642398.9471693,1704642399.1402855,0.1931161880493164,2,13925108736,9923831296
ReduceTiedGrads,1704642399.1407695,1704642399.1408117,4.220008850097656e-05,2,13925108736,9923831296
ReduceGrads,1704642399.1412313,1704642399.1889737,0.047742366790771484,2,13925108736,9923831296
OptimizerStep,1704642399.1894207,1704642401.6065664,2.4171457290649414,2,13925108736,9923831296
RecvActivation,1704642402.1379337,1704642403.2083318,1.0703980922698975,2,13925108736,9991285760
LoadMicroBatch,1704642403.2088242,1704642403.2090895,0.00026535987854003906,2,13925108736,9991285760
ForwardPass,1704642403.2095428,1704642403.6152594,0.4057166576385498,2,13925595648,11677588992
BackwardPass,1704642403.6158652,1704642404.521718,0.9058527946472168,2,13925595648,9926798848
SendGrad,1704642404.522359,1704642404.716387,0.19402813911437988,2,13925595648,9926414848
RecvActivation,1704642404.7173378,1704642404.9630687,0.24573087692260742,2,13925595648,9992334848
LoadMicroBatch,1704642404.9635427,1704642404.963808,0.00026535987854003906,2,13925595648,9992334848
ForwardPass,1704642404.9642322,1704642405.3138056,0.34957337379455566,2,13926644736,11678638080
BackwardPass,1704642405.31464,1704642406.2222946,0.9076545238494873,2,13926644736,9926799360
SendGrad,1704642406.2228215,1704642406.9010541,0.6782326698303223,2,13926644736,9926415360
RecvActivation,1704642406.901672,1704642407.1485765,0.24690461158752441,2,13926644736,9992335360
LoadMicroBatch,1704642407.1490757,1704642407.1493871,0.0003113746643066406,2,13926644736,9992335360
ForwardPass,1704642407.1498332,1704642407.5014615,0.35162830352783203,2,13927693824,11678638592
BackwardPass,1704642407.5019798,1704642408.4072537,0.9052739143371582,2,13927693824,9925751296
SendGrad,1704642408.407798,1704642409.0877454,0.6799473762512207,2,13927693824,9925367296
RecvActivation,1704642409.0887132,1704642409.335296,0.2465827465057373,2,13927693824,9991287296
LoadMicroBatch,1704642409.335769,1704642409.3360584,0.0002894401550292969,2,13927693824,9991287296
ForwardPass,1704642409.336487,1704642409.6899276,0.353440523147583,2,13927693824,11678639104
BackwardPass,1704642409.6906617,1704642410.607081,0.916419267654419,2,13927693824,9925751808
SendGrad,1704642410.6075916,1704642410.8004484,0.1928567886352539,2,13927693824,9925367808
