task,start_time,end_time,duration,rank,max_mem,alloc_mem
LoadMicroBatch,1704711867.7450783,1704711867.7452838,0.00020551681518554688,0,9382643712,9382487040
ForwardPass,1704711867.74567,1704711868.2875204,0.5418503284454346,0,10909204480,10051993600
SendActivation,1704711868.2879493,1704711868.5026808,0.21473145484924316,0,10909204480,10051993600
LoadMicroBatch,1704711868.503104,1704711868.5033271,0.0002231597900390625,0,10909204480,10052377600
ForwardPass,1704711868.503696,1704711868.7087116,0.2050156593322754,0,11570575360,10713364480
SendActivation,1704711868.7091208,1704711869.4189634,0.7098426818847656,0,11570575360,10713364480
LoadMicroBatch,1704711869.4193985,1704711869.4196708,0.0002722740173339844,0,11570575360,10713748480
ForwardPass,1704711869.4200356,1704711869.6256707,0.20563507080078125,0,12231946240,11374735360
SendActivation,1704711869.626081,1704711870.9238706,1.2977895736694336,0,12231946240,11374735360
LoadMicroBatch,1704711870.9243846,1704711870.9247072,0.00032258033752441406,0,12231946240,11375119360
ForwardPass,1704711870.9250844,1704711871.130587,0.20550274848937988,0,12893317120,12036106240
SendActivation,1704711871.1310008,1704711872.5021567,1.3711559772491455,0,12893317120,12036106240
RecvGrad,1704711872.5026162,1704711877.7797964,5.277180194854736,0,12893317120,12101642240
BackwardPass,1704711877.7802389,1704711878.4261272,0.6458883285522461,0,14856284672,12492057600
RecvGrad,1704711878.4265437,1704711879.3128543,0.8863105773925781,0,14856284672,12492057600
BackwardPass,1704711879.3134003,1704711879.9551725,0.6417722702026367,0,14856284672,11831070720
RecvGrad,1704711879.955975,1704711880.9226117,0.9666366577148438,0,14856284672,11831070720
BackwardPass,1704711880.9230268,1704711881.5662575,0.643230676651001,0,14856284672,11171132416
RecvGrad,1704711881.567175,1704711882.4959142,0.9287393093109131,0,14856284672,11171132416
BackwardPass,1704711882.4963467,1704711883.1402507,0.6439039707183838,0,14856284672,10509096960
ReduceTiedGrads,1704711883.1406534,1704711883.1407094,5.602836608886719e-05,0,14856284672,10509096960
ReduceGrads,1704711883.141052,1704711883.1514497,0.010397672653198242,0,14856284672,10509096960
OptimizerStep,1704711883.1518388,1704711883.246401,0.09456229209899902,0,14856284672,10509096960
LoadMicroBatch,1704711884.0504804,1704711884.0506783,0.00019788742065429688,0,14856284672,10510633472
ForwardPass,1704711884.051518,1704711884.257718,0.20620012283325195,0,14856284672,11170571776
SendActivation,1704711884.2581196,1704711884.444395,0.18627548217773438,0,14856284672,11170571776
LoadMicroBatch,1704711884.444918,1704711884.445176,0.0002579689025878906,0,14856284672,11170571776
