task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1704710056.7049897,1704710057.1412735,0.43628382682800293,1,11846816256,8335343616
ForwardPass,1704710057.141764,1704710057.6716828,0.529918909072876,1,11846816256,9004850176
SendActivation,1704710057.672185,1704710057.8787951,0.20661020278930664,1,11846816256,9004850176
RecvActivation,1704710057.8792698,1704710058.0681581,0.1888883113861084,1,11846816256,9070770176
ForwardPass,1704710058.068607,1704710058.2781672,0.20956015586853027,1,11846816256,9730708480
SendActivation,1704710058.2786174,1704710059.4099894,1.1313719749450684,1,11846816256,9730708480
RecvActivation,1704710059.4104955,1704710059.5941648,0.1836693286895752,1,11846816256,9796628480
ForwardPass,1704710059.5945787,1704710059.8034496,0.20887088775634766,1,11846816256,10457615360
RecvGrad,1704710059.8039267,1704710062.9200892,3.1161625385284424,1,11846816256,10523151360
SendActivation,1704710062.9206011,1704710063.1199887,0.1993875503540039,1,11846816256,10523151360
BackwardPass,1704710063.1204004,1704710063.7713938,0.6509933471679688,1,13278842368,10848030720
SendGrad,1704710063.7718608,1704710064.0184703,0.24660944938659668,1,13278842368,10716574720
RecvActivation,1704710064.0189238,1704710064.2608824,0.2419586181640625,1,13278842368,10782494720
ForwardPass,1704710064.2613492,1704710064.4710674,0.2097182273864746,1,13278842368,11441384448
RecvGrad,1704710064.4715028,1704710064.801668,0.33016514778137207,1,13278842368,11441384448
SendActivation,1704710064.8020725,1704710064.9964666,0.19439411163330078,1,13278842368,11441384448
BackwardPass,1704710064.9968805,1704710065.6471977,0.6503171920776367,1,13278842368,10845933568
SendGrad,1704710065.6476958,1704710065.843803,0.1961071491241455,1,13278842368,10714477568
RecvGrad,1704710065.8443093,1704710066.6939464,0.8496370315551758,1,13278842368,10714477568
BackwardPass,1704710066.6944475,1704710067.34473,0.6502823829650879,1,13278842368,10120075264
SendGrad,1704710067.3451805,1704710067.5412126,0.19603204727172852,1,13278842368,9988619264
