task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1704631087.2892628,1704631088.7889435,1.499680757522583,2,21443386880,14945781760
LoadMicroBatch,1704631088.789429,1704631088.7902064,0.0007774829864501953,2,21443386880,14946070528
ForwardPass,1704631088.790788,1704631089.3940468,0.6032588481903076,2,21443386880,17574629376
BackwardPass,1704631089.3944957,1704631090.256805,0.8623092174530029,2,21443386880,17484040704
SendGrad,1704631090.2572923,1704631090.451702,0.19440984725952148,2,21443386880,17483751936
RecvActivation,1704631090.4521835,1704631090.635684,0.1835005283355713,2,21443386880,17533192704
LoadMicroBatch,1704631090.6362014,1704631090.6365223,0.0003209114074707031,2,21443386880,17533481472
ForwardPass,1704631090.6369443,1704631090.9202542,0.2833099365234375,2,21443386880,20153520640
BackwardPass,1704631090.9207807,1704631091.7644863,0.8437056541442871,2,21443386880,18400418816
SendGrad,1704631091.765001,1704631091.9172215,0.1522204875946045,2,21443386880,18400130048
RecvActivation,1704631091.9176807,1704631092.0957382,0.17805743217468262,2,21443386880,18449570816
LoadMicroBatch,1704631092.0962586,1704631092.0965786,0.0003199577331542969,2,21443386880,18449570816
ForwardPass,1704631092.0970063,1704631092.3812187,0.2842123508453369,2,21836381184,20151424000
BackwardPass,1704631092.3817794,1704631093.227135,0.8453555107116699,2,21836381184,18400157184
SendGrad,1704631093.227672,1704631093.3798525,0.15218043327331543,2,21836381184,18399868416
RecvActivation,1704631093.3803146,1704631093.558794,0.17847943305969238,2,21836381184,18449309184
LoadMicroBatch,1704631093.5592656,1704631093.5595644,0.0002987384796142578,2,21836381184,18449309184
ForwardPass,1704631093.5599818,1704631093.8439534,0.28397154808044434,2,21836381184,20150900224
BackwardPass,1704631093.8444734,1704631094.6899917,0.8455183506011963,2,21836381184,18400550912
SendGrad,1704631094.6905644,1704631094.8303802,0.1398158073425293,2,21836381184,18400262144
ReduceTiedGrads,1704631094.8309245,1704631094.8309817,5.7220458984375e-05,2,21836381184,18400262144
ReduceGrads,1704631094.8313968,1704631094.8478856,0.01648879051208496,2,21836381184,18400262144
OptimizerStep,1704631094.848938,1704631096.1144104,1.265472412109375,2,24997902336,18400262144
RecvActivation,1704631096.5686827,1704631097.2091725,0.6404898166656494,2,24997902336,18450853376
LoadMicroBatch,1704631097.2096622,1704631097.2099366,0.00027441978454589844,2,24997902336,18450853376
ForwardPass,1704631097.2103438,1704631097.4942498,0.2839059829711914,2,24997902336,20152706560
BackwardPass,1704631097.4947972,1704631098.34174,0.846942663192749,2,24997902336,18401308672
SendGrad,1704631098.3422503,1704631098.4823437,0.14009332656860352,2,24997902336,18401019904
RecvActivation,1704631098.4828184,1704631098.6727242,0.18990588188171387,2,24997902336,18450460672
LoadMicroBatch,1704631098.6732302,1704631098.6735294,0.00029921531677246094,2,24997902336,18450460672
ForwardPass,1704631098.6739373,1704631098.958616,0.28467869758605957,2,24997902336,20152576000
BackwardPass,1704631098.9591246,1704631099.806957,0.847832441329956,2,24997902336,18401571328
SendGrad,1704631099.807478,1704631099.9473894,0.13991141319274902,2,24997902336,18401282560
RecvActivation,1704631099.947907,1704631100.1380413,0.19013428688049316,2,24997902336,18450723328
LoadMicroBatch,1704631100.1385124,1704631100.1388552,0.0003428459167480469,2,24997902336,18450723328
ForwardPass,1704631100.1392539,1704631100.424021,0.28476715087890625,2,24997902336,20152314368
BackwardPass,1704631100.424596,1704631101.2661386,0.8415424823760986,2,24997902336,18401833984
SendGrad,1704631101.2667515,1704631101.4061005,0.13934898376464844,2,24997902336,18401545216
RecvActivation,1704631101.4065688,1704631101.597284,0.19071531295776367,2,24997902336,18450985984
LoadMicroBatch,1704631101.5977616,1704631101.5980864,0.0003247261047363281,2,24997902336,18450985984
ForwardPass,1704631101.6006796,1704631101.8847506,0.2840709686279297,2,24997902336,20152577024
BackwardPass,1704631101.8852825,1704631102.7262623,0.840979814529419,2,24997902336,18401572352
SendGrad,1704631102.7267773,1704631102.8665388,0.13976144790649414,2,24997902336,18401283584
ReduceTiedGrads,1704631102.867009,1704631102.8670695,6.0558319091796875e-05,2,24997902336,18401283584
ReduceGrads,1704631102.8674207,1704631102.8820734,0.014652729034423828,2,24997902336,18401283584
OptimizerStep,1704631102.882583,1704631104.1377182,1.2551352977752686,2,24998923776,18401283584
RecvActivation,1704631104.1859267,1704631104.823551,0.6376242637634277,2,24998923776,18450722304
LoadMicroBatch,1704631104.8241227,1704631104.8244877,0.0003650188446044922,2,24998923776,18450722304
ForwardPass,1704631104.8248968,1704631105.1086152,0.2837183475494385,2,24998923776,20152313344
BackwardPass,1704631105.109711,1704631105.9511065,0.8413956165313721,2,24998923776,18401832960
SendGrad,1704631105.9516063,1704631106.0914807,0.13987445831298828,2,24998923776,18401544192
RecvActivation,1704631106.0919192,1704631106.2822034,0.19028425216674805,2,24998923776,18450984960
LoadMicroBatch,1704631106.2826636,1704631106.2829475,0.00028395652770996094,2,24998923776,18450984960
ForwardPass,1704631106.2833245,1704631106.5668943,0.2835698127746582,2,24998923776,20152838144
BackwardPass,1704631106.567401,1704631107.4088778,0.8414769172668457,2,24998923776,18401309184
SendGrad,1704631107.40941,1704631107.5478535,0.1384434700012207,2,24998923776,18401020416
RecvActivation,1704631107.5483148,1704631107.7431703,0.1948554515838623,2,24998923776,18450461184
LoadMicroBatch,1704631107.743665,1704631107.7439585,0.00029349327087402344,2,24998923776,18450461184
ForwardPass,1704631107.7444017,1704631108.028446,0.2840442657470703,2,24998923776,20152052224
BackwardPass,1704631108.0289645,1704631108.8709862,0.8420217037200928,2,24998923776,18401309696
SendGrad,1704631108.8714964,1704631109.0215957,0.1500992774963379,2,24998923776,18401020928
RecvActivation,1704631109.0220933,1704631109.2020738,0.17998051643371582,2,24998923776,18450461696
LoadMicroBatch,1704631109.2025847,1704631109.2028885,0.0003037452697753906,2,24998923776,18450461696
ForwardPass,1704631109.203322,1704631109.4876199,0.2842979431152344,2,24998923776,20152052736
BackwardPass,1704631109.4881809,1704631110.3304596,0.8422787189483643,2,24998923776,18401834496
SendGrad,1704631110.3309922,1704631110.480728,0.149735689163208,2,24998923776,18401545728
ReduceTiedGrads,1704631110.4812167,1704631110.4812605,4.38690185546875e-05,2,24998923776,18401545728
ReduceGrads,1704631110.4816704,1704631110.4963295,0.01465916633605957,2,24998923776,18401545728
OptimizerStep,1704631110.4973695,1704631111.7441878,1.2468183040618896,2,24999185920,18401545728
RecvActivation,1704631111.7929776,1704631112.4263134,0.6333358287811279,2,24999185920,18450984448
LoadMicroBatch,1704631112.4267728,1704631112.4270551,0.00028228759765625,2,24999185920,18450984448
ForwardPass,1704631112.4274461,1704631112.7111182,0.2836720943450928,2,24999185920,20152837632
BackwardPass,1704631112.7116034,1704631113.554055,0.8424515724182129,2,24999185920,18401832960
SendGrad,1704631113.5545769,1704631113.6926727,0.13809585571289062,2,24999185920,18401544192
RecvActivation,1704631113.6931431,1704631113.8853297,0.19218659400939941,2,24999185920,18450984960
LoadMicroBatch,1704631113.8857841,1704631113.8860457,0.00026154518127441406,2,24999185920,18450984960
ForwardPass,1704631113.8864334,1704631114.1707704,0.28433704376220703,2,24999185920,20153100288
BackwardPass,1704631114.1719854,1704631115.0157058,0.8437204360961914,2,24999185920,18401309184
SendGrad,1704631115.0162644,1704631115.1556072,0.1393427848815918,2,24999185920,18401020416
RecvActivation,1704631115.156099,1704631115.347295,0.19119596481323242,2,24999185920,18450461184
LoadMicroBatch,1704631115.3478303,1704631115.3481245,0.0002942085266113281,2,24999185920,18450461184
