task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1704463522.7426326,1704463524.8504322,2.107799530029297,2,8287947264,5871187968
LoadMicroBatch,1704463524.8509877,1704463524.8513672,0.0003795623779296875,2,8287947264,5871571968
ForwardPass,1704463524.8518565,1704463526.5428915,1.6910350322723389,2,9741319168,8717798912
BackwardPass,1704463526.543487,1704463529.5315983,2.9881112575531006,2,10764711936,7683252224
SendGrad,1704463529.5322185,1704463529.574258,0.04203963279724121,2,10764711936,7682868224
RecvActivation,1704463529.5748875,1704463529.6416514,0.06676387786865234,2,10764711936,7748788224
LoadMicroBatch,1704463529.642172,1704463529.642546,0.00037384033203125,2,10764711936,7749172224
ForwardPass,1704463529.6429203,1704463530.6527119,1.009791612625122,2,11607254016,10583733760
BackwardPass,1704463530.653385,1704463533.6457994,2.9924144744873047,2,11992543232,8904660992
SendGrad,1704463533.6463842,1704463533.685557,0.03917264938354492,2,11992543232,8904276992
RecvActivation,1704463533.686221,1704463533.7570622,0.07084131240844727,2,11992543232,8970196992
LoadMicroBatch,1704463533.757589,1704463533.757961,0.0003719329833984375,2,11992543232,8970196992
ForwardPass,1704463533.7590413,1704463534.7683654,1.009324073791504,2,12829327360,10583734272
BackwardPass,1704463534.768925,1704463537.7625725,2.993647575378418,2,12829327360,8903612928
SendGrad,1704463537.763132,1704463537.8028,0.03966784477233887,2,12829327360,8903228928
RecvActivation,1704463537.8033907,1704463537.8735354,0.0701446533203125,2,12829327360,8969148928
LoadMicroBatch,1704463537.8740454,1704463537.874425,0.0003795623779296875,2,12829327360,8969148928
ForwardPass,1704463537.8747911,1704463538.8850377,1.0102465152740479,2,12830376448,10585831936
BackwardPass,1704463538.8856096,1704463541.8922064,3.006596803665161,2,12830376448,8903613440
SendGrad,1704463541.8927524,1704463541.9316382,0.03888583183288574,2,12830376448,8903229440
ReduceTiedGrads,1704463541.9328713,1704463541.9329913,0.00011992454528808594,2,12830376448,8903229440
ReduceGrads,1704463541.9338064,1704463541.9391773,0.0053708553314208984,2,12830376448,8903229440
OptimizerStep,1704463541.9414926,1704463545.1106222,3.1691296100616455,2,12830376448,8903229440
RecvActivation,1704463545.7977574,1704463546.717786,0.9200286865234375,2,12830376448,8970683904
LoadMicroBatch,1704463546.7183235,1704463546.7187023,0.0003788471221923828,2,12830376448,8970683904
ForwardPass,1704463546.719067,1704463547.7288773,1.009810209274292,2,12830376448,10584221184
BackwardPass,1704463547.7294402,1704463550.7361631,3.006722927093506,2,12830376448,8906099200
SendGrad,1704463550.736734,1704463550.7742534,0.03751945495605469,2,12830376448,8905715200
RecvActivation,1704463550.7748623,1704463550.846744,0.07188177108764648,2,12830376448,8971635200
LoadMicroBatch,1704463550.847261,1704463550.8476398,0.0003788471221923828,2,12830376448,8971635200
ForwardPass,1704463550.8480282,1704463551.8590324,1.0110042095184326,2,12831814144,10587269632
BackwardPass,1704463551.860102,1704463554.8584,2.998298168182373,2,12831814144,8908196864
SendGrad,1704463554.8589609,1704463554.893938,0.03497719764709473,2,12831814144,8907812864
RecvActivation,1704463554.894588,1704463554.969998,0.0754098892211914,2,12831814144,8973732864
LoadMicroBatch,1704463554.9705296,1704463554.9709044,0.00037479400634765625,2,12831814144,8973732864
ForwardPass,1704463554.971266,1704463555.9808054,1.0095393657684326,2,12832863232,10588318720
BackwardPass,1704463555.9813843,1704463558.9841619,3.002777576446533,2,12832863232,8908295168
SendGrad,1704463558.9847293,1704463559.0191061,0.03437685966491699,2,12832863232,8907911168
RecvActivation,1704463559.0198543,1704463559.0945904,0.07473611831665039,2,12832863232,8973831168
LoadMicroBatch,1704463559.0951097,1704463559.0954857,0.00037598609924316406,2,12832863232,8973831168
ForwardPass,1704463559.0958714,1704463560.1068885,1.011017084121704,2,12832961536,10587368448
BackwardPass,1704463560.1079721,1704463563.1236062,3.015634059906006,2,12832961536,8906100224
SendGrad,1704463563.1242135,1704463563.1559858,0.03177237510681152,2,12832961536,8905716224
ReduceTiedGrads,1704463563.1566548,1704463563.1567395,8.463859558105469e-05,2,12832961536,8905716224
ReduceGrads,1704463563.1571114,1704463563.1622643,0.00515294075012207,2,12832961536,8905716224
OptimizerStep,1704463563.1626747,1704463566.2675388,3.1048641204833984,2,12832961536,8905716224
RecvActivation,1704463566.3113682,1704463567.299356,0.987987756729126,2,12832961536,8971634176
LoadMicroBatch,1704463567.2998753,1704463567.300308,0.00043272972106933594,2,12832961536,8971634176
ForwardPass,1704463567.3006697,1704463568.3113112,1.0106415748596191,2,12832961536,10587268608
BackwardPass,1704463568.3118968,1704463571.3152945,3.0033977031707764,2,12832961536,8907245568
SendGrad,1704463571.3158894,1704463571.3463717,0.03048229217529297,2,12832961536,8906861568
RecvActivation,1704463571.3491275,1704463571.4250247,0.075897216796875,2,12832961536,8972781568
LoadMicroBatch,1704463571.4255488,1704463571.4259148,0.00036597251892089844,2,12832961536,8972781568
ForwardPass,1704463571.426281,1704463572.4357557,1.009474754333496,2,12832961536,10587367424
BackwardPass,1704463572.4363856,1704463575.4448006,3.0084149837493896,2,12832961536,8906721792
SendGrad,1704463575.4453695,1704463575.4694967,0.02412724494934082,2,12832961536,8906337792
RecvActivation,1704463575.4705865,1704463575.5560193,0.08543276786804199,2,12832961536,8972257792
LoadMicroBatch,1704463575.5565927,1704463575.55696,0.0003674030303955078,2,12832961536,8972257792
ForwardPass,1704463575.5573256,1704463576.5664744,1.0091488361358643,2,12832961536,10584746496
BackwardPass,1704463576.5670488,1704463579.584491,3.017442226409912,2,12832961536,8905149440
SendGrad,1704463579.5851,1704463579.6102111,0.02511119842529297,2,12832961536,8904765440
RecvActivation,1704463579.6125114,1704463579.69654,0.08402872085571289,2,12832961536,8970685440
LoadMicroBatch,1704463579.6970582,1704463579.6974304,0.00037217140197753906,2,12832961536,8970685440
ForwardPass,1704463579.6977973,1704463580.707299,1.0095016956329346,2,12832961536,10584222720
BackwardPass,1704463580.707896,1704463583.725259,3.0173630714416504,2,12832961536,8905149952
SendGrad,1704463583.7258267,1704463583.752416,0.026589155197143555,2,12832961536,8904765952
ReduceTiedGrads,1704463583.7538943,1704463583.7539873,9.298324584960938e-05,2,12832961536,8904765952
ReduceGrads,1704463583.7548997,1704463583.7604022,0.005502462387084961,2,12832961536,8904765952
OptimizerStep,1704463583.761115,1704463586.8691812,3.1080660820007324,2,12832961536,8904765952
RecvActivation,1704463586.9134095,1704463587.9421625,1.0287530422210693,2,12832961536,8970683904
LoadMicroBatch,1704463587.946759,1704463587.9471495,0.0003905296325683594,2,12832961536,8970683904
ForwardPass,1704463587.9480405,1704463588.9617825,1.0137419700622559,2,12832961536,10584221184
BackwardPass,1704463588.9623535,1704463591.9823067,3.0199532508850098,2,12832961536,8905148416
SendGrad,1704463591.9828703,1704463592.0062387,0.023368358612060547,2,12832961536,8904764416
RecvActivation,1704463592.007488,1704463592.093123,0.08563494682312012,2,12832961536,8970684416
LoadMicroBatch,1704463592.0936534,1704463592.0940266,0.0003731250762939453,2,12832961536,8970684416
ForwardPass,1704463592.0943978,1704463593.1036634,1.009265661239624,2,12832961536,10585270272
BackwardPass,1704463593.1042838,1704463596.1241617,3.0198779106140137,2,12832961536,8905148928
SendGrad,1704463596.1247525,1704463596.1437888,0.019036293029785156,2,12832961536,8904764928
RecvActivation,1704463596.1450644,1704463596.2349691,0.08990478515625,2,12832961536,8970684928
LoadMicroBatch,1704463596.23551,1704463596.2358787,0.0003685951232910156,2,12832961536,8970684928
ForwardPass,1704463596.2368147,1704463597.2461205,1.009305715560913,2,12832961536,10585270784
BackwardPass,1704463597.2466934,1704463600.2594848,3.012791395187378,2,12832961536,8905149440
SendGrad,1704463600.260051,1704463600.2802267,0.020175695419311523,2,12832961536,8904765440
RecvActivation,1704463600.281545,1704463600.370426,0.08888101577758789,2,12832961536,8970685440
LoadMicroBatch,1704463600.3709626,1704463600.3713324,0.00036978721618652344,2,12832961536,8970685440
ForwardPass,1704463600.3717043,1704463601.3825765,1.0108721256256104,2,12832961536,10586319872
BackwardPass,1704463601.3831668,1704463604.3952327,3.012065887451172,2,12832961536,8905149952
SendGrad,1704463604.3957984,1704463604.4140658,0.018267393112182617,2,12832961536,8904765952
ReduceTiedGrads,1704463604.4155471,1704463604.415672,0.00012493133544921875,2,12832961536,8904765952
ReduceGrads,1704463604.4167016,1704463604.4222054,0.00550389289855957,2,12832961536,8904765952
OptimizerStep,1704463604.4240081,1704463607.5390902,3.115082025527954,2,12832961536,8904765952
RecvActivation,1704463607.5833678,1704463608.5721853,0.9888174533843994,2,12832961536,8970683904
LoadMicroBatch,1704463608.572721,1704463608.5730898,0.0003688335418701172,2,12832961536,8970683904
ForwardPass,1704463608.573455,1704463609.5828695,1.0094144344329834,2,12832961536,10585269760
BackwardPass,1704463609.5834446,1704463612.59587,3.012425422668457,2,12832961536,8906196992
SendGrad,1704463612.5964706,1704463612.6142704,0.017799854278564453,2,12832961536,8905812992
RecvActivation,1704463612.6154273,1704463612.7063432,0.09091591835021973,2,12832961536,8971732992
LoadMicroBatch,1704463612.7068748,1704463612.7072432,0.00036835670471191406,2,12832961536,8971732992
ForwardPass,1704463612.7076178,1704463613.7176504,1.0100326538085938,2,12832961536,10585270272
