task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1704462342.8854387,1704462344.9989252,2.1134865283966064,2,9597316096,6777674240
LoadMicroBatch,1704462344.999387,1704462344.9996805,0.00029349327087402344,2,9597316096,6778058240
ForwardPass,1704462345.0000021,1704462346.0710077,1.0710055828094482,2,10714390016,9690869760
BackwardPass,1704462346.0713909,1704462347.1178288,1.0464379787445068,2,13615898624,8690414080
SendGrad,1704462347.1182175,1704462347.161727,0.043509483337402344,2,13615898624,8690030080
RecvActivation,1704462347.1623,1704462347.2264671,0.06416702270507812,2,13615898624,8755950080
LoadMicroBatch,1704462347.2269266,1704462347.2272136,0.00028705596923828125,2,13615898624,8756334080
ForwardPass,1704462347.227502,1704462347.540914,0.3134119510650635,2,13615898624,11657480192
BackwardPass,1704462347.541281,1704462348.5872684,1.0459873676300049,2,14835730432,9911327232
SendGrad,1704462348.5876603,1704462348.8060772,0.21841692924499512,2,14835730432,9910943232
RecvActivation,1704462348.8066216,1704462349.1825223,0.3759007453918457,2,14835730432,9976863232
LoadMicroBatch,1704462349.1829941,1704462349.1832924,0.0002982616424560547,2,14835730432,9976863232
ForwardPass,1704462349.1841154,1704462349.497509,0.31339359283447266,2,14835730432,11656985088
BackwardPass,1704462349.4978654,1704462350.5439584,1.0460929870605469,2,14837828096,9912343552
SendGrad,1704462350.5443099,1704462350.814143,0.2698330879211426,2,14837828096,9911959552
RecvActivation,1704462350.8147614,1704462351.1373298,0.322568416595459,2,14837828096,9977879552
LoadMicroBatch,1704462351.1377666,1704462351.1380634,0.0002968311309814453,2,14837828096,9977879552
ForwardPass,1704462351.1383545,1704462351.45185,0.313495397567749,2,14837828096,11658001408
BackwardPass,1704462351.4522233,1704462352.4984853,1.0462620258331299,2,14837828096,9911295488
SendGrad,1704462352.4988785,1704462352.583577,0.08469843864440918,2,14837828096,9910911488
ReduceTiedGrads,1704462352.5843024,1704462352.5843763,7.390975952148438e-05,2,14837828096,9910911488
ReduceGrads,1704462352.5848846,1704462352.59423,0.009345293045043945,2,14837828096,9910911488
OptimizerStep,1704462352.5964725,1704462355.5783076,2.981835126876831,2,14837828096,9910911488
RecvActivation,1704462356.2454512,1704462357.1240625,0.8786113262176514,2,14837828096,9978365952
LoadMicroBatch,1704462357.1244857,1704462357.1247783,0.0002925395965576172,2,14837828096,9978365952
ForwardPass,1704462357.1250658,1704462357.438522,0.31345629692077637,2,14837828096,11658487808
BackwardPass,1704462357.4388893,1704462358.4848306,1.0459413528442383,2,14837828096,9913879040
SendGrad,1704462358.4852142,1704462358.522798,0.03758382797241211,2,14837828096,9913495040
RecvActivation,1704462358.523462,1704462358.5941718,0.0707097053527832,2,14837828096,9979415040
LoadMicroBatch,1704462358.59459,1704462358.5949123,0.0003223419189453125,2,14837828096,9979415040
ForwardPass,1704462358.5952203,1704462358.9085088,0.31328845024108887,2,14837828096,11659536896
BackwardPass,1704462358.9092195,1704462359.9550266,1.045807123184204,2,14838315520,9912830976
SendGrad,1704462359.955443,1704462360.099328,0.14388513565063477,2,14838315520,9912446976
RecvActivation,1704462360.0998733,1704462360.5481672,0.44829392433166504,2,14838315520,9978366976
LoadMicroBatch,1704462360.5486112,1704462360.548909,0.00029778480529785156,2,14838315520,9978366976
ForwardPass,1704462360.549196,1704462360.8625424,0.31334638595581055,2,14838315520,11658488832
BackwardPass,1704462360.8629324,1704462361.9090755,1.0461430549621582,2,14839364608,9912831488
SendGrad,1704462361.9094677,1704462362.050951,0.14148330688476562,2,14839364608,9912447488
RecvActivation,1704462362.0513878,1704462362.5009062,0.44951844215393066,2,14839364608,9978367488
LoadMicroBatch,1704462362.5013323,1704462362.5016253,0.0002930164337158203,2,14839364608,9978367488
ForwardPass,1704462362.5019238,1704462362.815206,0.3132822513580322,2,14839364608,11658489344
BackwardPass,1704462362.8159583,1704462363.8616173,1.045659065246582,2,14839364608,9913880576
SendGrad,1704462363.861973,1704462363.9294937,0.0675206184387207,2,14839364608,9913496576
ReduceTiedGrads,1704462363.930226,1704462363.9303129,8.678436279296875e-05,2,14839364608,9913496576
ReduceGrads,1704462363.930831,1704462363.9401834,0.009352445602416992,2,14839364608,9913496576
OptimizerStep,1704462363.9405968,1704462366.9380467,2.9974498748779297,2,14839364608,9913496576
RecvActivation,1704462366.9832606,1704462367.8888538,0.9055931568145752,2,14839364608,9979414528
LoadMicroBatch,1704462367.889296,1704462367.8895903,0.0002942085266113281,2,14839364608,9979414528
ForwardPass,1704462367.8898878,1704462368.203298,0.31341028213500977,2,14839364608,11659536384
BackwardPass,1704462368.2036781,1704462369.2497263,1.0460481643676758,2,14839364608,9913879040
SendGrad,1704462369.2501109,1704462369.2773309,0.02722001075744629,2,14839364608,9913495040
RecvActivation,1704462369.278435,1704462369.3591135,0.08067846298217773,2,14839364608,9979415040
LoadMicroBatch,1704462369.3595402,1704462369.3598325,0.0002923011779785156,2,14839364608,9979415040
ForwardPass,1704462369.3601384,1704462369.6735122,0.3133738040924072,2,14839364608,11659536896
BackwardPass,1704462369.6738842,1704462370.7202349,1.0463507175445557,2,14839757312,9914272768
SendGrad,1704462370.7206287,1704462370.8141444,0.09351563453674316,2,14839757312,9913888768
RecvActivation,1704462370.814626,1704462371.3177447,0.5031187534332275,2,14839757312,9979808768
LoadMicroBatch,1704462371.318171,1704462371.3184667,0.0002956390380859375,2,14839757312,9979808768
ForwardPass,1704462371.318792,1704462371.63225,0.3134579658508301,2,14839757312,11658882048
BackwardPass,1704462371.6325917,1704462372.6786637,1.046072006225586,2,14840282112,9913748992
SendGrad,1704462372.6790788,1704462372.7710712,0.09199237823486328,2,14840282112,9913364992
RecvActivation,1704462372.772002,1704462373.2692547,0.4972527027130127,2,14840282112,9979284992
LoadMicroBatch,1704462373.2697067,1704462373.2700045,0.00029778480529785156,2,14840282112,9979284992
ForwardPass,1704462373.2702975,1704462373.5836654,0.3133678436279297,2,14840282112,11659406848
BackwardPass,1704462373.5840764,1704462374.630039,1.0459625720977783,2,14840282112,9912832000
SendGrad,1704462374.6304238,1704462374.6875176,0.05709385871887207,2,14840282112,9912448000
ReduceTiedGrads,1704462374.6881566,1704462374.6882167,6.008148193359375e-05,2,14840282112,9912448000
ReduceGrads,1704462374.688656,1704462374.6979768,0.009320735931396484,2,14840282112,9912448000
OptimizerStep,1704462374.698417,1704462377.6963072,2.9978902339935303,2,14840282112,9912448000
RecvActivation,1704462377.740505,1704462378.647641,0.9071359634399414,2,14840282112,9978365952
LoadMicroBatch,1704462378.648108,1704462378.6484017,0.000293731689453125,2,14840282112,9978365952
ForwardPass,1704462378.6490612,1704462378.962457,0.31339573860168457,2,14840282112,11658487808
BackwardPass,1704462378.9628232,1704462380.0086966,1.0458734035491943,2,14840282112,9913879040
SendGrad,1704462380.009083,1704462380.0285196,0.01943659782409668,2,14840282112,9913495040
RecvActivation,1704462380.0291224,1704462380.1181111,0.0889887809753418,2,14840282112,9979415040
LoadMicroBatch,1704462380.118541,1704462380.1188734,0.0003323554992675781,2,14840282112,9979415040
ForwardPass,1704462380.1191666,1704462380.4325297,0.31336307525634766,2,14840282112,11658488320
BackwardPass,1704462380.432902,1704462381.4787998,1.0458977222442627,2,14840282112,9912830976
SendGrad,1704462381.4791877,1704462381.570194,0.09100627899169922,2,14840282112,9912446976
RecvActivation,1704462381.5707967,1704462382.072966,0.5021693706512451,2,14840282112,9978366976
LoadMicroBatch,1704462382.073414,1704462382.0737097,0.0002956390380859375,2,14840282112,9978366976
ForwardPass,1704462382.0743756,1704462382.3877463,0.3133707046508789,2,14840282112,11657440256
BackwardPass,1704462382.388092,1704462383.4337723,1.045680284500122,2,14840282112,9913224704
SendGrad,1704462383.4341545,1704462383.529993,0.09583854675292969,2,14840282112,9912840704
RecvActivation,1704462383.5305507,1704462384.0302463,0.4996955394744873,2,14840282112,9978760704
LoadMicroBatch,1704462384.0307224,1704462384.0310142,0.0002918243408203125,2,14840282112,9978760704
ForwardPass,1704462384.0313077,1704462384.3447673,0.3134596347808838,2,14840282112,11658882560
BackwardPass,1704462384.3451476,1704462385.391133,1.045985460281372,2,14840282112,9913880576
SendGrad,1704462385.3915305,1704462385.4442894,0.05275893211364746,2,14840282112,9913496576
ReduceTiedGrads,1704462385.4448946,1704462385.4449515,5.698204040527344e-05,2,14840282112,9913496576
ReduceGrads,1704462385.445363,1704462385.4546585,0.009295463562011719,2,14840282112,9913496576
OptimizerStep,1704462385.4555664,1704462388.4536507,2.998084306716919,2,14840282112,9913496576
RecvActivation,1704462388.4988053,1704462389.4044588,0.9056534767150879,2,14840282112,9979414528
LoadMicroBatch,1704462389.404906,1704462389.4051986,0.0002925395965576172,2,14840282112,9979414528
