task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1704464412.2274375,1704464413.1730564,0.9456188678741455,1,10524364800,7419477504
ForwardPass,1704464413.1736171,1704464414.998983,1.8253657817840576,1,10524364800,8021350912
SendActivation,1704464414.9995813,1704464415.0475814,0.04800009727478027,1,10524364800,8021350912
RecvActivation,1704464415.0492458,1704464415.0879073,0.03866147994995117,1,10524364800,8087270912
ForwardPass,1704464415.0884717,1704464416.384633,1.296161413192749,1,10524364800,8677478912
SendActivation,1704464416.385205,1704464485.6311648,69.24595975875854,1,10524364800,8677478912
RecvActivation,1704464485.6330698,1704464485.6502085,0.01713871955871582,1,10524364800,8744447488
ForwardPass,1704464485.6507244,1704464486.9489255,1.298201084136963,1,10524364800,9334655488
RecvGrad,1704464486.9494786,1704464502.4690585,15.519579887390137,1,10524364800,9400191488
SendActivation,1704464502.4695766,1704464502.5043433,0.03476667404174805,1,10524364800,9400191488
BackwardPass,1704464502.5055964,1704464506.6608832,4.15528678894043,1,12053913088,9692032512
SendGrad,1704464506.6614692,1704464506.70484,0.043370723724365234,1,12053913088,9559527936
RecvActivation,1704464506.7058268,1704464506.7727935,0.06696677207946777,1,12053913088,9625447936
ForwardPass,1704464506.7733178,1704464508.0694766,1.296158790588379,1,12053913088,10216704512
RecvGrad,1704464508.0700538,1704464511.6259494,3.5558955669403076,1,12053913088,10216704512
SendActivation,1704464511.6264777,1704464511.6599176,0.03343987464904785,1,12053913088,10216704512
BackwardPass,1704464511.6613224,1704464515.8275135,4.166191101074219,1,12053913088,9692556800
SendGrad,1704464515.828563,1704464515.8711636,0.04260063171386719,1,12053913088,9560052224
RecvGrad,1704464515.8722148,1704464520.8350637,4.962848901748657,1,12053913088,9560052224
BackwardPass,1704464520.8355703,1704464525.0080655,4.172495126724243,1,12053913088,9036428800
SendGrad,1704464525.0086677,1704464525.0423741,0.0337064266204834,1,12053913088,8902875648
RecvGrad,1704464525.0441144,1704464530.1409707,5.096856355667114,1,12053913088,8902875648
BackwardPass,1704464530.1414933,1704464534.3108616,4.169368267059326,1,12053913088,8377155072
SendGrad,1704464534.3114429,1704464534.3452058,0.03376293182373047,1,12053913088,8245699072
ReduceTiedGrads,1704464534.347419,1704464534.3475454,0.00012636184692382812,1,12053913088,8245699072
ReduceGrads,1704464534.3486037,1704464534.3566098,0.008006095886230469,1,12053913088,8245699072
OptimizerStep,1704464534.3571088,1704464536.131164,1.7740552425384521,1,12053913088,8245699072
RecvActivation,1704464536.8568978,1704464537.3195822,0.46268439292907715,1,12053913088,8313155584
ForwardPass,1704464537.3200996,1704464538.6170564,1.2969567775726318,1,12053913088,8903363584
SendActivation,1704464538.617613,1704464538.648949,0.03133583068847656,1,12053913088,8903363584
RecvActivation,1704464538.6504982,1704464538.684938,0.034439802169799805,1,12053913088,8969283584
ForwardPass,1704464538.6854548,1704464539.9814134,1.2959585189819336,1,12053913088,9559491584
SendActivation,1704464539.981973,1704464540.1141863,0.13221335411071777,1,12053913088,9559491584
RecvActivation,1704464540.1154273,1704464540.1375718,0.022144556045532227,1,12053913088,9625411584
ForwardPass,1704464540.1380758,1704464541.4323676,1.2942917346954346,1,12053913088,10215619584
RecvGrad,1704464541.4329317,1704464554.8146355,13.381703853607178,1,12053913088,10215619584
SendActivation,1704464554.815169,1704464554.8412232,0.02605414390563965,1,12053913088,10215619584
BackwardPass,1704464554.8420508,1704464559.010456,4.168405294418335,1,12053913088,9692520448
SendGrad,1704464559.0110364,1704464559.042283,0.031246662139892578,1,12053913088,9561064448
RecvActivation,1704464559.0435486,1704464559.124199,0.08065032958984375,1,12053913088,9626984448
ForwardPass,1704464559.1247115,1704464560.4193416,1.2946300506591797,1,12053913088,10217192448
RecvGrad,1704464560.4198818,1704464564.0610964,3.641214609146118,1,12053913088,10217192448
SendActivation,1704464564.0616088,1704464564.0882673,0.02665853500366211,1,12053913088,10217192448
BackwardPass,1704464564.0897126,1704464568.263233,4.17352032661438,1,12053913088,9694289920
SendGrad,1704464568.263825,1704464568.2957234,0.03189849853515625,1,12053913088,9562833920
RecvGrad,1704464568.2977736,1704464573.3218484,5.0240747928619385,1,12053913088,9562833920
BackwardPass,1704464573.3223598,1704464577.5035572,4.18119740486145,1,12053913088,9035343872
SendGrad,1704464577.5041163,1704464577.532728,0.02861166000366211,1,12053913088,8903887872
RecvGrad,1704464577.5343916,1704464582.5533714,5.018979787826538,1,12053913088,8903887872
BackwardPass,1704464582.5538893,1704464586.7277844,4.1738951206207275,1,12053913088,8379740160
SendGrad,1704464586.7283726,1704464586.7532656,0.02489304542541504,1,12053913088,8248284160
ReduceTiedGrads,1704464586.7545586,1704464586.7548482,0.00028967857360839844,1,12053913088,8248284160
ReduceGrads,1704464586.755832,1704464586.7626297,0.00679779052734375,1,12053913088,8248284160
OptimizerStep,1704464586.7634284,1704464588.426624,1.6631956100463867,1,12053913088,8248284160
RecvActivation,1704464588.6456978,1704464589.1308134,0.48511552810668945,1,12053913088,8314204160
ForwardPass,1704464589.1318984,1704464590.4281516,1.2962532043457031,1,12053913088,8904412160
SendActivation,1704464590.4287279,1704464590.4504776,0.02174973487854004,1,12053913088,8904412160
RecvActivation,1704464590.4520237,1704464590.4762938,0.024270057678222656,1,12053913088,8970332160
ForwardPass,1704464590.4769077,1704464591.7731528,1.2962450981140137,1,12053913088,9561588736
SendActivation,1704464591.7737062,1704464591.869395,0.0956888198852539,1,12053913088,9561588736
RecvActivation,1704464591.8701017,1704464591.8892944,0.01919269561767578,1,12053913088,9627508736
ForwardPass,1704464591.8898008,1704464593.1862433,1.2964425086975098,1,12053913088,10217716736
RecvGrad,1704464593.1868021,1704464606.5725765,13.385774374008179,1,12053913088,10217716736
SendActivation,1704464606.5730789,1704464606.5946412,0.02156233787536621,1,12053913088,10217716736
BackwardPass,1704464606.5954647,1704464610.774935,4.1794703006744385,1,12053913088,9692717056
SendGrad,1704464610.77552,1704464610.7990887,0.02356863021850586,1,12053913088,9561261056
RecvActivation,1704464610.8000457,1704464610.8878412,0.08779549598693848,1,12053913088,9627181056
ForwardPass,1704464610.8884077,1704464612.1847653,1.2963576316833496,1,12053913088,10217389056
RecvGrad,1704464612.1853368,1704464615.8306623,3.6453254222869873,1,12053913088,10217389056
SendActivation,1704464615.831175,1704464615.8514154,0.020240306854248047,1,12053913088,10217389056
BackwardPass,1704464615.852308,1704464620.0269988,4.1746907234191895,1,12053913088,9691799552
SendGrad,1704464620.027585,1704464620.055586,0.028001070022583008,1,12053913088,9560343552
RecvGrad,1704464620.0564647,1704464625.0972745,5.040809869766235,1,12053913088,9560343552
BackwardPass,1704464625.0978162,1704464629.280137,4.182320833206177,1,12053913088,9034819584
SendGrad,1704464629.2812712,1704464629.302934,0.02166271209716797,1,12053913088,8903363584
RecvGrad,1704464629.3037305,1704464634.38675,5.083019495010376,1,12053913088,8903363584
BackwardPass,1704464634.3872702,1704464638.5739965,4.186726331710815,1,12053913088,8379740160
SendGrad,1704464638.5745647,1704464638.5966616,0.022096872329711914,1,12053913088,8248284160
ReduceTiedGrads,1704464638.59791,1704464638.5980172,0.00010728836059570312,1,12053913088,8248284160
ReduceGrads,1704464638.5992875,1704464638.6061165,0.006829023361206055,1,12053913088,8248284160
OptimizerStep,1704464638.607031,1704464640.2735045,1.666473388671875,1,12053913088,8248284160
RecvActivation,1704464640.3901837,1704464640.871764,0.4815802574157715,1,12053913088,8314204160
ForwardPass,1704464640.8723595,1704464642.1668231,1.2944636344909668,1,12053913088,8904412160
SendActivation,1704464642.1673849,1704464642.1897771,0.02239227294921875,1,12053913088,8904412160
RecvActivation,1704464642.192611,1704464642.212012,0.019401073455810547,1,12053913088,8970332160
ForwardPass,1704464642.2127352,1704464643.507449,1.2947137355804443,1,12053913088,9561588736
SendActivation,1704464643.5080087,1704464643.600994,0.09298539161682129,1,12053913088,9561588736
RecvActivation,1704464643.6016908,1704464643.616726,0.015035152435302734,1,12053913088,9627508736
ForwardPass,1704464643.617231,1704464644.9116418,1.2944109439849854,1,12053913088,10217716736
RecvGrad,1704464644.9122531,1704464658.3235698,13.411316633224487,1,12053913088,10217716736
SendActivation,1704464658.3241,1704464658.3451223,0.021022319793701172,1,12053913088,10217716736
BackwardPass,1704464658.3457172,1704464662.5181656,4.172448396682739,1,12053913088,9692717056
SendGrad,1704464662.518782,1704464662.5401094,0.021327495574951172,1,12053913088,9561261056
RecvActivation,1704464662.5424793,1704464662.63054,0.08806061744689941,1,12053913088,9627181056
ForwardPass,1704464662.6310682,1704464663.9255114,1.294443130493164,1,12053913088,10218437632
RecvGrad,1704464663.926079,1704464667.6062925,3.680213451385498,1,12053913088,10218437632
SendActivation,1704464667.6068206,1704464667.626918,0.02009749412536621,1,12053913088,10218437632
BackwardPass,1704464667.6278718,1704464671.81187,4.183998346328735,1,12053913088,9692684288
SendGrad,1704464671.8124914,1704464671.8346117,0.022120237350463867,1,12053913088,9561228288
RecvGrad,1704464671.8354802,1704464676.8973937,5.06191349029541,1,12053913088,9561228288
